Name (Abbreviation)	RA	DEC	r_h			d	M_V	v_ los	_ los	Ref	r_h_value	r_h_err_minus	r_h_err_plus	_value	_err_minus	_err_plus	_value	_err_minus	_err_plus	d_value	d_err_minus	d_err_plus	M_V_value	M_V_err_minus	M_V_err_plus	v_ los_value	v_ los_err_minus	v_ los_err_plus	_ los_value	_ los_err_minus	_ los_err_plus
	deg	deg	arcmin			kpc					arcmin	arcmin	arcmin							kpc	kpc	kpc									
Antlia II(Ant II)	143.8868	-36.7673	76.20 +/- 7.20	0.38 +/- 0.08	156.0 +/- 6.0	132.0 +/- 6.0	-9.03 +/- 0.15	290.7+/-0.5	5.71+/-1.08	a	76.20	7.20	7.20	0.38	0.08	0.08	156.0	6.0	6.0	132.0	6.0	6.0	-9.03	0.15	0.15	290.7	0.5	0.5	5.71	1.08	1.08
Aquarius II(Aqu II)	338.4813	-9.3274	5.10 +/- 0.80	0.39 +/- 0.09	121.0 +/- 9.0	107.9 +/- 3.3	-4.36 +/- 0.14	-71.1+/-2.5	5.4+/-2.15	b	5.10	0.80	0.80	0.39	0.09	0.09	121.0	9.0	9.0	107.9	3.3	3.3	-4.36	0.14	0.14	-71.1	2.5	2.5	5.4	2.15	2.15
Bootes I(Boo I)	210.0200	14.5135	9.97 +/- 0.27	0.3 +/- 0.03	6.0 +/- 3.0	66.0 +/- 3.0	-6.02 +/- 0.25	101.8+/-0.7	4.6+/-0.7	c,d,e	9.97	0.27	0.27	0.3	0.03	0.03	6.0	3.0	3.0	66.0	3.0	3.0	-6.02	0.25	0.25	101.8	0.7	0.7	4.6	0.7	0.7
Bootes II(Boo II)	209.5141	12.8553	3.17 +/- 0.42	0.25 +/- 0.11	-68.0 +/- 27.0	42.0 +/- 2.0	-2.94 +/- 0.74	-117.0+/-5.2	10.5+/-7.4	f,e,g	3.17	0.42	0.42	0.25	0.11	0.11	-68.0	27.0	27.0	42.0	2.0	2.0	-2.94	0.74	0.74	-117.0	5.2	5.2	10.5	7.4	7.4
Bootes III(Boo III)	209.3000	26.8000	33.03 +/- 2.50	0.33 +/- 0.085	-81.0 +/- 8.0	46.5 +/- 2.0	-5.75 +/- 0.5	197.5+/-3.8	14.0+/-3.2	h,i,j	33.03	2.50	2.50	0.33	0.085	0.085	-81.0	8.0	8.0	46.5	2.0	2.0	-5.75	0.5	0.5	197.5	3.8	3.8	14.0	3.2	3.2
Bootes IV(Boo IV)	233.6890	43.7260	7.60 +/- 0.80	0.64 +/- 0.05	3.0 +/- 4.0	209.0 +/- 19.0	-4.53 +/- 0.22			k	7.60	0.80	0.80	0.64	0.05	0.05	3.0	4.0	4.0	209.0	19.0	19.0	-4.53	0.22	0.22						
Canes Venatici I(CVn I)	202.0091	33.5521	7.12 +/- 0.21	0.44 +/- 0.03	80.0 +/- 2.0	210.0 +/- 6.0	-8.8 +/- 0.06	30.9+/-0.6	7.6+/-0.4	l,e,m	7.12	0.21	0.21	0.44	0.03	0.03	80.0	2.0	2.0	210.0	6.0	6.0	-8.8	0.06	0.06	30.9	0.6	0.6	7.6	0.4	0.4
Canes Venatici II(CVn II)	194.2927	34.3226	1.52 +/- 0.24	0.4 +/- 0.13	9.0 +/- 15.0	160.0 +/- 4.5	-5.17 +/- 0.32	-128.9+/-1.2	4.6+/-0.8	n,e,m	1.52	0.24	0.24	0.4	0.13	0.13	9.0	15.0	15.0	160.0	4.5	4.5	-5.17	0.32	0.32	-128.9	1.2	1.2	4.6	0.8	0.8
Carina(Car)	100.4065	-50.9593	10.10 +/- 0.10	0.36 +/- 0.01	60.0 +/- 1.0	105.6 +/- 5.4	-9.43 +/- 0.05	222.9+/-0.1	6.6+/-1.2	o,e,p	10.10	0.10	0.10	0.36	0.01	0.01	60.0	1.0	1.0	105.6	5.4	5.4	-9.43	0.05	0.05	222.9	0.1	0.1	6.6	1.2	1.2
Carina II(Car II)	114.1066	-57.9991	8.69 +/- 0.75	0.34 +/- 0.07	170.0 +/- 9.0	37.4 +/- 0.4	-4.57 +/- 0.1	477.2+/-1.2	3.4+/-1.0	q,r	8.69	0.75	0.75	0.34	0.07	0.07	170.0	9.0	9.0	37.4	0.4	0.4	-4.57	0.1	0.1	477.2	1.2	1.2	3.4	1.0	1.0
Carina III(Car III)	114.6298	-57.8997	3.75 +/- 1.00	0.55 +/- 0.18	150.0 +/- 14.0	27.8 +/- 0.6	-2.4 +/- 0.2	284.6+/-3.25	5.6+/-3.2	q,r	3.75	1.00	1.00	0.55	0.18	0.18	150.0	14.0	14.0	27.8	0.6	0.6	-2.4	0.2	0.2	284.6	3.25	3.25	5.6	3.2	3.2
Centaurus I(Cen I)	189.5850	-40.9020	2.90 +/- 0.45	0.4 +/- 0.1	20.0 +/- 11.0	116.3 +/- 1.1	-5.55 +/- 0.11			s	2.90	0.45	0.45	0.4	0.1	0.1	20.0	11.0	11.0	116.3	1.1	1.1	-5.55	0.11	0.11						
