key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method,table,confirmed_star_cluster
antlia_2,143.8079,-36.6991,Antlia II,mw,1,1,104.6,8.6,8.6,156.0,2.4,2.4,0.6,0.04,0.04,,Ji2021ApJ...921...32J,20.47,0.09,0.09,Vivas2022ApJ...926...78V,10.74,0.08,0.08,Ji2021ApJ...921...32J,288.8,0.4,0.4,5.98,0.36,0.37,,Ji2021ApJ...921...32J,-0.093,0.008,0.008,0.1,0.009,0.009,Pace2022ApJ...940..136P,-1.9,0.04,0.04,0.34,0.03,0.03,,Ji2021ApJ...921...32J,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,Putman2021ApJ...913...53P,,,,,,,,,-9.73,0.08,0.08,6.13,124.17,5.04,5.25,264.8009334,11.2542678,-74.02,34.73,-93.45,125.15,879.41,493.69,125.15,,1.99,-1.9,0.04,0.04,spectroscopic,49.29,-21.51,7.9,0.07,0.07,,3761.92,337.74,352.06,2379.32,247.72,248.01,30.72,,dwarf_mw,
aquarius_2,338.4813,-9.3274,Aquarius II,mw,1,1,5.1,0.8,0.8,121.0,9.0,9.0,0.39,0.09,0.09,,Torrealba2016MNRAS.463..712T,20.16,0.07,0.07,Torrealba2016MNRAS.463..712T,15.8,0.14,0.14,Torrealba2016MNRAS.463..712T,-65.3,1.8,1.8,4.7,1.2,1.8,,Bruce2023ApJ...950..167B,-0.179,0.113,0.119,-0.466,0.095,0.096,Pace2022ApJ...940..136P,-2.57,0.17,0.17,0.36,0.14,0.2,,Bruce2023ApJ...950..167B,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,Putman2021ApJ...913...53P,,,,,,,,,-4.36,0.14,0.14,3.98,107.65,3.41,3.53,55.1082438,-53.0084997,8.72,-92.52,54.33,105.13,726.03,344.53,105.13,,3.26,-2.57,0.17,0.17,spectroscopic,54.14,101.99,6.39,0.34,0.26,,158.77,25.14,25.66,123.69,21.67,21.85,29.67,,dwarf_mw,
aquarius_3,357.218,-3.489,Aquarius III,mw,1,1,2.1,0.5,0.7,119.0,11.0,17.0,0.47,0.28,0.14,,Cerny2025ApJ...979..164C,19.66,0.11,0.11,Cerny2025ApJ...979..164C,17.16,0.5,0.3,Cerny2025ApJ...979..164C,-13.1,0.9,1.0,,,,3.5,Cerny2025ApJ...979..164C,1.01,0.25,0.25,-0.1,0.2,0.2,Cerny2025ApJ...979..164C,-2.51,0.18,0.18,0.45,0.12,0.18,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,0.5,0.3,3.23,85.51,4.22,4.44,87.9166898,-62.0297168,26.07,-78.41,21.98,85.75,719.96,334.92,85.75,,,-2.51,0.18,0.18,spectroscopic,95.36,153.63,,,,5.64,51.65,14.77,15.2,36.28,12.68,13.78,28.87,,dwarf_mw,
aquarius_4,330.474,-2.575,Aquarius IV,mw,0,0,0.6,0.17,0.14,,,,,,,0.61,Cerny2026arXiv260802601C,20.16,0.1,0.1,Cerny2026arXiv260802601C,18.26,1.0,0.6,Cerny2026arXiv260802601C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,1.0,0.6,2.99,107.65,4.84,5.07,56.6932334,-42.6245097,12.83,-81.06,69.66,104.63,723.37,341.72,104.63,,,,,,,,,,,,,18.6,4.82,4.93,18.6,4.82,4.93,28.02,cmd,dwarf_mw,
bootes_1,210.02,14.5135,Bootes I,mw,1,1,9.97,0.27,0.27,6.0,3.0,3.0,0.3,0.03,0.03,,Munoz2018ApJ...860...66M,19.11,0.08,0.08,DallOra2006ApJ...653L.109D,13.09,0.25,0.25,Munoz2018ApJ...860...66M,103.0,0.4,0.4,4.0,0.3,0.4,,Sandford2026ApJ...998...47S,-0.385,0.017,0.017,-1.068,0.013,0.013,Pace2022ApJ...940..136P,-2.43,0.04,0.04,0.28,0.03,0.03,,Sandford2026ApJ...998...47S,11.9,1.0,1.0,37.5,0.9,0.9,Munoz2018ApJ...860...66M,11.26,0.27,0.27,0.64,0.03,0.03,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.25,Spekkens2014ApJ...795L...5S,,,,,,,,,-6.02,0.25,0.25,4.64,66.37,2.4,2.49,358.1019462,69.6365762,-17.5,60.19,21.83,64.0,812.83,426.48,64.0,,2.41,-2.43,0.04,0.04,spectroscopic,111.95,72.97,6.38,0.08,0.08,,192.24,8.63,8.97,160.86,8.04,8.28,28.58,,dwarf_mw,
bootes_2,209.5141,12.8553,Bootes II,mw,1,1,3.17,0.42,0.42,-68.0,27.0,27.0,0.25,0.11,0.11,,Munoz2018ApJ...860...66M,18.1,0.06,0.06,Walsh2008ApJ...688..245W,15.16,0.25,0.25,Munoz2018ApJ...860...66M,-128.4,0.7,0.7,1.92,0.6,0.77,,Geha2026ApJ...999..140G,-2.426,0.077,0.08,-0.414,0.061,0.061,Pace2022ApJ...940..136P,-2.51,0.12,0.12,0.38,0.09,0.12,,Geha2026arXiv260210202G,2.5,1.47,1.47,12.9,8.1,8.1,Munoz2018ApJ...860...66M,3.05,0.45,0.45,0.71,0.43,0.43,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.091,Spekkens2014ApJ...795L...5S,,,,,,,,,-2.94,0.25,0.25,3.41,41.69,1.14,1.17,353.731375,68.864902,-12.1,37.67,13.14,39.51,799.81,412.38,39.51,,1.57,-2.51,0.12,0.12,spectroscopic,-126.19,-167.27,5.04,0.38,0.28,,38.25,5.12,5.22,33.0,5.03,5.02,28.22,,dwarf_mw,
bootes_3,209.557,26.553,Bootes III,mw,1,1,40.6,3.8,4.2,279.0,9.0,7.0,0.33,0.09,0.08,,Moskowitz2020ApJ...892...27M,18.43,0.09,0.09,Li2026arXiv260707803L,12.6,0.5,0.5,Correnti2009MNRAS.397L..26C,191.22,0.8,0.64,1.69,0.85,1.03,,Li2026arXiv260707803L,-1.176,0.019,0.019,-0.89,0.015,0.015,Pace2022ApJ...940..136P,-2.34,0.11,0.11,0.36,0.08,0.1,,Li2026arXiv260707803L,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,Putman2021ApJ...913...53P,,,,,,,,,-5.83,0.5,0.5,4.57,48.53,1.97,2.05,34.5274015,75.1011906,-2.77,45.27,17.25,47.48,794.13,407.23,47.48,,2.07,-2.34,0.11,0.11,spectroscopic,237.26,212.3,6.09,0.69,0.39,,570.46,59.59,62.19,466.6,58.1,57.79,31.09,rrl,dwarf_mw,
bootes_4,233.689,43.726,Bootes IV,mw,1,0,7.6,0.8,0.8,3.0,4.0,4.0,0.64,0.05,0.05,,Homma2019PASJ...71...94H,21.6,0.2,0.2,Homma2019PASJ...71...94H,16.26,0.17,0.29,Homma2024PASJ...76..733H,,,,,,,,,0.469,0.244,0.18,0.489,0.255,0.256,Pace2022ApJ...940..136P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.34,0.17,0.29,4.37,208.93,18.38,20.16,70.6822501,53.3050038,49.41,153.89,132.4,207.48,791.95,429.84,207.48,,,,,,,,,,,,,458.32,61.88,66.99,274.07,41.52,44.98,30.42,,dwarf_mw,
bootes_5,213.909,32.914,Bootes V,mw,1,0,0.76,0.07,0.08,18.0,13.0,15.0,0.2,0.1,0.1,,Cerny2023ApJ...953....1C,20.04,0.15,0.15,Cerny2023ApJ...953....1C,16.84,0.3,0.3,Cerny2023ApJ...953....1C,5.1,13.4,13.4,,,,,Smith2023AJ....166...76S,-0.22,0.05,0.05,-0.28,0.07,0.07,Cerny2023ApJ...953....1C,-2.85,0.1,0.1,,,,,Smith2023AJ....166...76S,,,,,,,,,,,,,,,,,,,-2.2,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,-3.2,0.3,0.3,3.51,101.86,6.8,7.28,55.6679502,70.9176811,4.81,92.05,43.35,100.68,804.96,422.5,100.68,,,-2.85,0.1,0.1,spectroscopic,81.14,66.21,,,,,22.37,2.6,2.82,19.93,2.63,2.74,26.87,,dwarf_mw,
canes_venatici_1,202.0091,33.5521,Canes Venatici I,mw,1,1,7.12,0.21,0.21,80.0,2.0,2.0,0.44,0.03,0.03,,Munoz2018ApJ...860...66M,21.62,0.06,0.06,Kuehn2008ApJ...674L..81K,12.89,0.06,0.06,Munoz2018ApJ...860...66M,30.5,0.6,0.6,7.66,0.41,0.44,,Geha2026ApJ...999..140G,-0.096,0.031,0.03,-0.116,0.02,0.02,Pace2022ApJ...940..136P,-2.34,0.02,0.02,0.19,0.02,0.02,,Geha2026arXiv260210202G,6.7,0.5,0.5,30.9,1.0,1.0,Munoz2018ApJ...860...66M,7.67,0.23,0.23,0.78,0.04,0.04,Munoz2018ApJ...860...66M,,,,,,,,,,,,0.104,Spekkens2014ApJ...795L...5S,,,,,,,,,-8.73,0.06,0.06,5.73,210.86,5.75,5.91,74.3042831,79.8287591,16.87,202.63,55.84,210.63,853.68,485.75,210.63,,3.04,-2.34,0.02,0.02,spectroscopic,80.53,61.53,7.25,0.05,0.05,,436.17,17.35,17.85,326.44,15.7,15.89,27.41,,dwarf_mw,
