Dwarf	N	N_mem, F	_ _F	__F	N_mem, G	_ _G	__G	_, sys	N_mem, F_value	N_mem, F_err_minus	N_mem, F_err_plus	_ _F_value	_ _F_err_minus	_ _F_err_plus	__F_value	__F_err_minus	__F_err_plus	N_mem, G_value	N_mem, G_err_minus	N_mem, G_err_plus	_ _G_value	_ _G_err_minus	_ _G_err_plus	__G_value	__G_err_minus	__G_err_plus
Col I	54	5.7_-0.3^+0.3	0.169_-0.073^+0.071	-0.400_-0.079^+0.079	5.6_-0.3^+0.3	0.168_-0.073^+0.071	-0.400_-0.081^+0.081	0.023	5.7	0.3	0.3	0.169	0.073	0.071	-0.400	0.079	0.079	5.6	0.3	0.3	0.168	0.073	0.071	-0.400	0.081	0.081
CB	265	35.5_-0.9^+0.9	0.423_-0.027^+0.026	-1.721_-0.024^+0.024	35.7_-1.1^+1.0	0.423_-0.025^+0.026	-1.720_-0.024^+0.024	0.022	35.5	0.9	0.9	0.423	0.027	0.026	-1.721	0.024	0.024	35.7	1.1	1.0	0.423	0.025	0.026	-1.720	0.024	0.024
Cra II	9310	390.3_-13.4^+13.8	-0.072_-0.020^+0.020	-0.112_-0.013^+0.013	371.2_-12.9^+13.2	-0.053_-0.021^+0.020	-0.103_-0.013^+0.013	0.018	390.3	13.4	13.8	-0.072	0.020	0.020	-0.112	0.013	0.013	371.2	12.9	13.2	-0.053	0.021	0.020	-0.103	0.013	0.013
Dra	5678	1517.6_-4.0^+4.0	0.044_-0.006^+0.005	-0.188_-0.006^+0.006	1506.3_-4.7^+4.7	0.046_-0.006^+0.006	-0.188_-0.006^+0.006	0.021	1517.6	4.0	4.0	0.044	0.006	0.005	-0.188	0.006	0.006	1506.3	4.7	4.7	0.046	0.006	0.006	-0.188	0.006	0.006
Dra II	247	20.0_-0.8^+0.6	1.027_-0.065^+0.067	0.887_-0.072^+0.072	19.5_-1.1^+0.8	1.030_-0.068^+0.069	0.889_-0.072^+0.077	0.022	20.0	0.8	0.6	1.027	0.065	0.067	0.887	0.072	0.072	19.5	1.1	0.8	1.030	0.068	0.069	0.889	0.072	0.077
Eri II	23	19.5_-0.5^+0.5	0.125_-0.100^+0.101	0.013_-0.127^+0.123	19.5_-0.8^+2.1	0.136_-0.100^+0.098	0.003_-0.121^+0.125	0.023	19.5	0.5	0.5	0.125	0.100	0.101	0.013	0.127	0.123	19.5	0.8	2.1	0.136	0.100	0.098	0.003	0.121	0.125
For	17007	16222.9_-5.6^+5.6	0.381_-0.001^+0.001	-0.359_-0.002^+0.002	16198.2_-9.8^+9.8	0.381_-0.001^+0.001	-0.358_-0.002^+0.002	0.019	16222.9	5.6	5.6	0.381	0.001	0.001	-0.359	0.002	0.002	16198.2	9.8	9.8	0.381	0.001	0.001	-0.358	0.002	0.002
Gru I	74	9.3_-0.4^+0.3	0.069_-0.050^+0.051	-0.248_-0.072^+0.071	9.4_-0.4^+0.3	0.070_-0.050^+0.050	-0.246_-0.072^+0.073	0.022	9.3	0.4	0.3	0.069	0.050	0.051	-0.248	0.072	0.071	9.4	0.4	0.3	0.070	0.050	0.050	-0.246	0.072	0.073
Gru II	204	32.8_-3.1^+3.2	0.384_-0.033^+0.033	-1.484_-0.040^+0.039	34.4_-3.4^+3.5	0.384_-0.032^+0.033	-1.478_-0.040^+0.038	0.022	32.8	3.1	3.2	0.384	0.033	0.033	-1.484	0.040	0.039	34.4	3.4	3.5	0.384	0.032	0.033	-1.478	0.040	0.038
Her	184	40.9_-1.5^+1.4	-0.035_-0.042^+0.042	-0.339_-0.036^+0.035	41.0_-1.4^+1.3	-0.031_-0.041^+0.040	-0.334_-0.034^+0.034	0.022	40.9	1.5	1.4	-0.035	0.042	0.042	-0.339	0.036	0.035	41.0	1.4	1.3	-0.031	0.041	0.040	-0.334	0.034	0.034
Hor I	50	19.1_-0.4^+0.5	0.847_-0.035^+0.034	-0.607_-0.035^+0.035	19.2_-0.6^+0.6	0.846_-0.034^+0.034	-0.606_-0.036^+0.036	0.023	19.1	0.4	0.5	0.847	0.035	0.034	-0.607	0.035	0.035	19.2	0.6	0.6	0.846	0.034	0.034	-0.606	0.036	0.036
Hor II	40	3.9_-0.3^+0.3	0.967_-0.171^+0.173	-0.771_-0.230^+0.220	3.8_-0.4^+0.3	0.976_-0.179^+0.177	-0.762_-0.237^+0.233	0.023	3.9	0.3	0.3	0.967	0.171	0.173	-0.771	0.230	0.220	3.8	0.4	0.3	0.976	0.179	0.177	-0.762	0.237	0.233
Hyd II	82	17.5_-0.5^+0.4	-0.394_-0.140^+0.140	0.000_-0.104^+0.103	17.3_-0.6^+0.5	-0.395_-0.142^+0.139	0.001_-0.106^+0.106	0.023	17.5	0.5	0.4	-0.394	0.140	0.140	0.000	0.104	0.103	17.3	0.6	0.5	-0.395	0.142	0.139	0.001	0.106	0.106
Hyi I	1801	102.4_-4.0^+4.0	3.781_-0.016^+0.016	-1.496_-0.015^+0.015	92.3_-4.0^+3.9	3.783_-0.016^+0.016	-1.495_-0.015^+0.015	0.021	102.4	4.0	4.0	3.781	0.016	0.016	-1.496	0.015	0.015	92.3	4.0	3.9	3.783	0.016	0.016	-1.495	0.015	0.015
Leo I	1031	920.7_-1.1^+1.1	-0.050_-0.014^+0.014	-0.120_-0.010^+0.010	920.6_-1.8^+1.8	-0.047_-0.014^+0.014	-0.118_-0.010^+0.010	0.022	920.7	1.1	1.1	-0.050	0.014	0.014	-0.120	0.010	0.010	920.6	1.8	1.8	-0.047	0.014	0.014	-0.118	0.010	0.010
Leo II	343	264.4_-0.5^+0.5	-0.109_-0.028^+0.028	-0.150_-0.026^+0.026	263.9_-0.8^+1.0	-0.108_-0.028^+0.028	-0.149_-0.027^+0.027	0.023	264.4	0.5	0.5	-0.109	0.028	0.028	-0.150	0.026	0.026	263.9	0.8	1.0	-0.108	0.028	0.028	-0.149	0.027	0.027
