elves_host	_r	recno	PGC	RAJ2000	DEJ2000	OType	MType	logD25	e_logD25	logR25	e_logR25	PA	e_PA	o_ANames	ANames	LEDA	Simbad	NED	sep_arcsec
												deg	deg						arcsec
---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---
M31	0.042	47168	2557	00 42 44.3	+41 16 10	G	Sb	3.3	0.06	0.45	0.07	35.0	6.0	5	NGC224                UGC454                MCG7-02-016           CGCG535-17            GIN801	LEDA	Simbad	NED	2.5
NGC253	0.041	52261	2789	00 47 33.0	-25 17 18	G	SBc	2.46	0.06	0.69	0.08	53.0	1.0	8	NGC253                ESO474-29             MCG-4-03-009          UGCA13                ESO-LV4740290         IRAS00450-2533        DUKST474-1            MRC0045-255	LEDA	Simbad	NED	2.5
NGC628	0.022	102515	5974	01 36 41.8	+15 47 00	G	Sc	1.97	0.08	0.03	0.06	--	--	6	NGC628                UGC1149               MCG3-05-011           CGCG460-14            IRAS01340+1532        IRAS01340+1532	LEDA	Simbad	NED	1.4
NGC891	0.049	143503	9031	02 22 33.1	+42 20 56	G	Sb	2.09	0.07	0.7	0.09	22.0	5.0	6	NGC891                UGC1831               MCG7-05-046           CGCG538-52            IRAS02193+4207        IRAS02195+4209	LEDA	Simbad	NED	3.0
NGC1023	0.025	159674	10123	02 40 23.9	+39 03 47	G	E-SO	1.88	0.03	0.42	0.09	87.0	6.0	5	NGC1023               UGC2154               MCG6-06-073           CGCG523-83            ARP135	LEDA	Simbad	NED	1.5
NGC1291	0.204	194704	12209	03 17 17.5	-41 06 28	G	SO-a	2.02	0.09	0.11	0.09	156.0	19.0	6	NGC1291               ESO301-2              MCG-7-07-008          ESO-LV3010020         IRAS03154-4117        DUKST301-1	LEDA	Simbad	NED	12.2
NGC1808	0.109	279252	16779	05 07 42.7	-37 30 52	G	SBa	1.87	0.12	0.34	0.15	136.0	6.0	6	NGC1808               ESO305-8              MCG-6-12-005          ESO-LV3050080         IRAS05059-3734        MRC0505-375	LEDA	Simbad	NED	6.6
NGC2683	0.165	377012	24930	08 52 41.7	+33 25 10	G	Sb	1.94	0.05	0.53	0.08	44.0	6.0	6	NGC2683               UGC4641               MCG6-20-011           CGCG180-17            KUG0849+336           IRAS08495+3336	LEDA	Simbad	NED	9.9
NGC2903	0.097	394990	27077	09 32 09.7	+21 30 02	G	SBbc	2.06	0.06	0.34	0.05	23.0	6.0	7	NGC2903               NGC2905               UGC5079               MCG4-23-009           CGCG122-14            KIG347                IRAS09293+2143	LEDA	Simbad	NED	5.8
M81	0.106	407117	28630	09 55 34.1	+69 03 59	GM	Sab	2.33	0.05	0.32	0.09	157.0	8.0	6	NGC3031               UGC5318               MCG12-10-010          CGCG333-7             KPG218A               IRAS09514+6918	LEDA	Simbad	NED	6.3
NGC3115	0.042	413623	29265	10 05 14.1	-07 43 07	G	E-SO	1.89	0.05	0.29	0.17	15.0	41.0	4	NGC3115               MCG-1-26-018          UGCA199               GIN775	LEDA	Simbad	NED	2.6
NGC3344	0.038	444112	31968	10 43 31.0	+24 55 19	G	SBbc	1.83	0.05	0.02	0.03	--	--	6	NGC3344               UGC5840               MCG4-25-046           CGCG124-60            KIG435                IRAS10407+2511	LEDA	Simbad	NED	2.3
NGC3379	0.024	447651	32256	10 47 49.7	+12 34 54	G	E	1.71	0.07	0.04	0.04	--	--	5	NGC3379               UGC5902               MCG2-28-011           CGCG66-18             GIN773	LEDA	Simbad	NED	1.5
NGC3521	0.079	461846	33550	11 05 48.8	-00 02 06	G	SBbc	2.0	0.1	0.32	0.07	164.0	1.0	7	NGC3521               UGC6150               MCG0-28-030           CGCG10-74             KIG461                IRAS11032+0014        MRC1103+002	LEDA	Simbad	NED	4.8
NGC3556	0.118	467077	34030	11 11 30.2	+55 40 24	G	SBc	1.89	0.05	0.46	0.09	79.0	1.0	7	NGC3556               UGC6225               MCG9-18-098           CGCG268-1             CGCG267-48            KIG469                IRAS11085+5556	LEDA	Simbad	NED	7.1
NGC3621	0.045	473727	34554	11 18 16.2	-32 48 43	G	SBcd	2.04	0.09	0.36	0.05	161.0	2.0	7	NGC3621               ESO377-37             MCG-5-27-008          UGCA232               ESO-LV3770370         IRAS11159-3235        IRASF11158-3232	LEDA	Simbad	NED	2.7
NGC3627	0.14	475535	34695	11 20 15.0	+12 59 21	GM		1.93	0.05	0.35	0.06	173.0	7.0	10	NGC3627               UGC6346               MCG2-29-019           CGCG67-57             (ARP317)              ARP16                 (VV308)               ARK288                IRAS11176+1315        MRC1117+132	LEDA	Simbad	NED	8.4
NGC4258	0.023	531902	39600	12 18 57.5	+47 18 14	G	SBbc	2.25	0.07	0.41	0.07	--	--	6	NGC4258               UGC7353               MCG8-22-104           CGCG244-3             CGCG243-67            VV448	LEDA	Simbad	NED	1.4
NGC4517	0.019	544009	41618	12 32 45.6	+00 06 53	GM	Sc	2.0	0.07	0.81	0.05	86.0	8.0	9	NGC4517               NGC4437               UGC7694               MCG0-32-020           CGCG14-63             FGC1455               KPG344B               UM505                 IRASF12301+0023	LEDA	Simbad	NED	1.2
NGC4565	0.155	546825	42038	12 36 21.2	+25 59 07	G	Sb	2.14	0.09	0.8	0.06	135.0	1.0	7	NGC4565               UGC7772               MCG4-30-006           CGCG129-10            KUG1233+262           FGC1471               IRAS12338+2615	LEDA	Simbad	NED	9.3
M104	0.033	549640	42407	12 39 59.3	-11 37 23	G	Sa	1.93	0.09	0.23	0.08	90.0	1.0	4	NGC4594               MCG-2-32-020          UGCA293               IRAS12373-1120	LEDA	Simbad	NED	1.9
NGC4631	0.077	551379	42637	12 42 07.7	+32 32 27	GM	SBcd	2.13	0.08	0.74	0.09	86.0	5.0	8	NGC4631               UGC7865               MCG6-28-020           CGCG188-16            KUG1239+328B          (ARP281)              KPG350A               IRAS12396+3249	LEDA	Simbad	NED	4.6
NGC4736	0.11	559081	43495	12 50 52.6	+41 07 09	G	Sab	2.06	0.11	0.06	0.04	105.0	34.0	6	NGC4736               UGC7996               MCG7-26-058           CGCG216-34            CGCG217-1             IRAS12485+4123	LEDA	Simbad	NED	6.6
NGC4826	0.047	565236	44182	12 56 43.8	+21 41 00	G	Sab	1.99	0.08	0.3	0.06	115.0	8.0	6	NGC4826               UGC8062               MCG4-31-001           CGCG130-1             KIG559                IRAS12542+2157	LEDA	Simbad	NED	2.8
NGC5055	0.015	585546	46153	13 15 49.2	+42 01 46	G	Sbc	2.12	0.08	0.22	0.04	102.0	3.0	5	NGC5055               UGC8334               MCG7-27-054           CGCG217-23            IRAS13135+4217	LEDA	Simbad	NED	0.9
CENA	0.015	595633	46957	13 25 27.7	-43 01 09	GM		2.41	0.1	0.16	0.11	33.0	2.0	7	NGC5128               (ESO270-9)            MCG-7-28-001          ESO-LV2700090         ARP153                IRAS13225-4245        MRC1322-427	LEDA	Simbad	NED	1.0
NGC5194	0.083	601229	47404	13 29 52.3	+47 11 40	GM		2.0	0.11	0.12	0.09	163.0	18.0	9	NGC5194               UGC8493               MCG8-25-012           CGCG246-8             (ARP85)               KPG379A               (VV1)                 VV403                 IRAS13277+4727	LEDA	Simbad	NED	5.0
NGC5236	0.198	609737	48082	13 37 00.2	-29 52 04	G	SBc	2.14	0.05	0.03	0.04	--	--	8	NGC5236               ESO444-81             MCG-5-32-050          UGCA366               ESO-LV4440810         IRAS13342-2933        IRASF13341-2936       MRC1334-296	LEDA	Simbad	NED	11.8
NGC5457	0.049	635836	50063	14 03 12.4	+54 20 53	GM		2.34	0.06	0.02	0.03	--	--	9	NGC5457               UGC8981               MCG9-23-028           CGCG272-21            (ARP26)               (VV344)               VV456                 KIG610                IRAS14013+5435	LEDA	Simbad	NED	3.0
NGC6744	0.131	790137	62836	19 09 45.2	-63 51 22	G	SBbc	2.24	0.07	0.2	0.04	16.0	1.0	4	NGC6744               ESO104-42             ESO-LV1040420         IRAS19050-6354	LEDA	Simbad	NED	7.9
