PA_offset_range	GAMA_All_N	GAMA_All_frac	GAMA_Field_N	GAMA_Field_frac	GAMA_Groups_N	GAMA_Groups_frac	Cluster_N	Cluster_frac
0-180deg	486	1.00	192	1.00	294	1.00	136	1.00
>30deg	55	0.11+/-0.01	14	0.07+/-0.02	41	0.14+/-0.02	15	0.11+/-0.03
>40deg	42	0.09+/-0.01	11	0.06+/-0.02	31	0.11+/-0.02	9	0.07+/-0.02
30-150deg	38	0.08+/-0.01	12	0.06+/-0.02	26	0.09+/-0.02	11	0.08+/-0.02
40-140deg	24	0.05+/-0.01	8	0.04+/-0.01	16	0.05+/-0.01	5	0.04+/-0.02
>140deg	18	0.04+/-0.01	3	0.02+/-0.01	15	0.05+/-0.01	4	0.03+/-0.01
>150deg	17	0.03+/-0.01	2	0.01+/-0.01	15	0.05+/-0.01	4	0.03+/-0.01
