recno	Seq	CatId	RAJ2000	DEJ2000	zsp	PAs	e_PAs	PAg	e_PAg	DPA	e_DPA	Flag	FAGN	Type	logMstar	SimbadName
     466	 465	    382154	135.4670	+01.9933	 0.0568	 71.4	10.6	341.9	 1.5	 89.5	12.1	l	  	 0.0	10.8000000	GAMA 382154
     385	 384	    323593	132.3878	+01.7280	 0.0689	288.6	 2.5	200.1	 0.5	 88.5	 3.0	l	r 	 0.5	11.1300000	GAMA 323593
     720	 719	    543537	211.9120	-00.9553	 0.0539	163.9	17.6	255.4	 4.5	 91.5	22.1	l	  	 0.0	11.4200000	GAMA 543537
     775	 774	     56181	184.8369	-00.2415	 0.0506	 47.3	 9.6	135.8	 2.5	 88.5	12.1	a	  	 0.0	10.3200000	GAMA 56181
     980	 979	      7992	180.2212	+00.8138	 0.0816	 43.2	 9.1	134.8	 0.5	 91.5	 9.6	l	  	 1.0	10.9500000	GAMA 7992
     524	 523	    417440	131.1279	+02.2949	 0.0506	 79.4	 4.0	173.0	 0.5	 93.5	 4.5	l	  	 0.0	11.2100000	GAMA 417440
     242	 241	    238922	215.7872	+01.6716	 0.0262	310.7	 2.0	 45.2	 0.5	 94.5	 2.5	l	  	 0.0	10.7400000	GAMA 238922
     953	 952	      7139	175.8283	+00.7479	 0.0757	267.5	 5.0	182.0	 2.5	 85.5	 7.5	l	  	 1.0	10.6300000	GAMA 7139
    1085	1084	9388000122	336.8388	-30.7345	 0.0564	  0.0	 0.5	 94.5	 7.0	 94.5	 7.5	 	  	 0.0	10.8175320	2MASX J22272133-3044036
      80	  79	     16828	220.4529	+00.6870	 0.0063	176.0	 8.6	260.4	 1.0	 84.5	 9.6	s	  	 3.0	 8.9300000	GAMA 16828
     610	 609	    492941	218.8567	-01.3991	 0.0557	192.1	 6.5	 96.5	13.6	 95.5	20.1	 	  	 0.0	10.3500000	GAMA 492941
     790	 789	    570206	222.7625	-00.5271	 0.0431	177.0	 2.0	 92.5	 0.5	 84.5	 2.5	l	  	 1.5	10.5000000	GAMA 570206
     823	 822	    586330	184.5455	-00.1637	 0.0384	309.7	 2.0	214.2	 4.0	 95.5	 6.0	l	  	 1.0	10.1800000	GAMA 586330
    1259	1258	     91545	212.6103	+00.4441	 0.0529	 40.2	 6.5	124.7	 5.0	 84.5	11.6	s	  	 0.0	10.4700000	GAMA 91545
     403	 402	    346839	135.2307	+02.2282	 0.0586	 20.1	 1.5	283.6	 8.0	 96.5	 9.6	 	  	 1.0	10.3900000	GAMA 346839
     491	 490	    388558	140.5926	+02.5859	 0.0876	335.9	 1.5	238.3	 3.0	 97.5	 4.5	l	  	 1.0	11.1100000	GAMA 388558
     330	 329	    300691	130.4123	+01.1166	 0.0456	 25.1	23.6	286.6	10.1	 98.5	33.7	a	  	 0.0	10.3500000	GAMA 300691
    1089	1088	9388000135	337.2251	-30.6287	 0.0599	349.9	 2.5	 88.5	 2.0	 98.5	 4.5	 	  	 0.0	11.5906650	2MASX J22285399-3037437
     675	 674	    517278	131.6832	+02.5374	 0.0281	 70.4	 2.0	150.8	 0.5	 80.5	 2.5	l	  	 0.5	11.0600000	GAMA 517278
      39	  38	    136880	176.3371	-01.8128	 0.0268	240.3	 4.0	160.9	 9.1	 79.5	13.1	a	  	 1.5	 9.7800000	GAMA 136880
    1076	1075	9388000001	336.9770	-30.5755	 0.0580	170.9	 2.0	250.4	 0.5	 79.4	 2.5	l	  	 0.0	11.5379020	2dFGRS TGS338Z021
     206	 205	    228564	217.8525	+01.2344	 0.0300	358.0	 2.0	254.4	 3.0	103.6	 5.0	 	  	 2.0	10.6500000	GAMA 228564
     498	 497	   3913888	138.1609	-00.8696	 0.0813	223.2	 4.0	326.8	 8.6	103.6	12.6	 	  	 1.0	10.3200000	GAMA 3913888
     188	 187	    227278	212.8299	+01.3095	 0.0250	287.6	 4.0	  3.0	 4.5	 75.4	 8.6	l	  	 1.0	10.1100000	GAMA 227278
     540	 539	    422355	130.5050	+02.5284	 0.0285	 89.5	10.6	 14.1	 0.5	 75.4	11.1	s	  	 3.0	 9.2600000	GAMA 422355
     948	 947	     70114	178.5511	+00.1366	 0.0038	183.0	17.6	258.4	 0.5	 75.4	18.1	s	  	 0.0	 9.0300000	GAMA 70114
    1260	1259	     91568	212.7591	+00.6085	 0.0266	 17.1	 4.5	301.7	 5.5	 75.4	10.1	a	  	 0.5	 9.9500000	GAMA 91568
     223	 222	     23265	180.9158	+01.2046	 0.0780	104.6	 6.5	178.0	 7.0	 73.4	13.6	 	  	 0.0	11.0000000	GAMA 23265
     323	 322	    298590	220.6776	+01.3198	 0.0337	244.4	 2.5	136.8	 4.5	107.6	 7.0	a	bl	 0.0	10.5500000	GAMA 298590
     774	 773	    561488	183.8699	-00.4996	 0.0209	200.1	18.6	271.5	 0.5	 71.4	19.1	s	  	 1.5	 9.3200000	GAMA 561488
     274	 273	    272820	180.9651	+01.2951	 0.0832	226.3	13.6	335.9	 1.5	109.6	15.1	l	  	 0.0	10.8200000	GAMA 272820
     690	 689	    534655	174.3644	-00.8466	 0.0464	149.8	 4.0	 80.5	 8.0	 69.4	12.1	l	  	 0.5	11.1300000	GAMA 534655
     409	 408	    347471	137.8833	+02.2398	 0.0550	 11.1	 2.5	 79.4	 8.6	 68.4	11.1	l	  	 0.5	10.8700000	GAMA 347471
     624	 623	    505341	219.3785	-01.9642	 0.0504	119.7	 4.5	188.0	 1.0	 68.4	 5.5	l	  	 1.0	10.6500000	GAMA 505341
     638	 637	    508414	217.0410	-01.6728	 0.0305	250.4	 9.6	182.0	 0.5	 68.4	10.1	s	  	 3.0	 9.6800000	GAMA 508414
     807	 806	    575339	139.4849	-00.1014	 0.0576	318.8	21.1	207.2	10.6	111.6	31.7	l	  	 0.0	10.4100000	GAMA 575339
     939	 938	    663440	140.6379	-00.9705	 0.0231	199.1	 6.0	267.5	 8.6	 68.4	14.6	l	  	 0.5	 9.9500000	GAMA 663440
     754	 753	    551505	140.5722	-00.5469	 0.0563	195.1	 1.5	127.7	 2.5	 67.4	 4.0	l	  	 0.5	11.3400000	GAMA 551505
    1241	1240	9091700037	355.3741	-29.3208	 0.0522	212.2	 7.0	279.6	11.6	 67.4	18.6	a	bl	 0.0	11.5953080	ICRF J234129.7-291915
    1167	1166	9011900281	014.2904	-01.3803	 0.0401	321.8	 1.5	 27.1	26.6	 65.4	28.2	 	  	 0.5	10.5948280	2MASX J00570966-0122486
      22	  21	    107137	218.6906	+00.8887	 0.0141	 43.2	 2.0	105.6	 3.0	 62.4	 5.0	a	  	 0.5	10.1600000	GAMA 107137
     557	 556	    460767	213.7961	-01.6352	 0.0477	213.2	 2.5	275.5	18.1	 62.4	20.6	 	  	 1.5	10.1500000	GAMA 460767
    1031	1030	9008500848	010.7161	-09.8078	 0.0552	279.6	 0.5	341.9	 0.5	 62.4	 1.0	s	  	 1.0	10.6716260	2MASX J00425188-0948282
     614	 613	    496978	212.9077	-01.1591	 0.0049	 83.5	 0.5	325.8	 0.5	117.7	 1.0	s	  	 3.0	 8.8500000	GAMA 496978
     701	 700	    536963	183.5387	-00.9386	 0.0829	 16.1	 3.5	258.4	 4.0	117.7	 7.5	 	  	 0.5	10.9200000	GAMA 536963
     107	 106	    186470	184.6530	-01.5168	 0.0691	130.7	 4.0	192.1	23.1	 61.3	27.1	 	  	 1.0	10.4900000	GAMA 186470
     612	 611	    493838	222.6039	-01.1947	 0.0432	 27.1	 2.0	325.8	 5.0	 61.3	 7.0	 	  	 1.0	10.4000000	GAMA 493838
