survey	host_name	host_id	pgc	n_satellites_in_survey	ba_survey	PA_survey_deg	sersic_survey	logR25_hyperleda	ba_hyperleda	PA_hyperleda_deg	ba_ungc	inclination_ungc_deg	W50_ungc_kms	vAmp_ungc_kms	Kmag_ungc	Bmag_ungc	dist_Mpc	has_orientation	has_inplane_rotation
						deg				deg		deg	km/s	km/s	mag	mag	Mpc		
SAGA-DR3	ESO079-003	pgc1952	1952	5	0.196	131.575	1.514	0.75	0.178	129							33.760	YES	NO
SAGA-DR3	ESO121-026	pgc18880	18880	2	0.770	119.905	4.300	0.14	0.724	112							34.995	YES	NO
SAGA-DR3	ESO287-013	pgc66669	66669	3	0.274	61.890	1.752	0.59	0.257	44							33.775	YES	NO
SAGA-DR3	ESO288-025	pgc67782	67782	2	0.165	53.211	1.222	0.93	0.117	54							34.056	YES	NO
SAGA-DR3	IC1783	pgc8279	8279	1	0.445	3.201	1.530	0.41	0.389	6							37.154	YES	NO
SAGA-DR3	NGC0157	nsa127226	2081	4	0.711	34.669	0.626	0.24	0.575	26							27.669	YES	NO
SAGA-DR3	NGC0514	nsa129387	5139	1	0.708	101.416	1.549	0.12	0.759	108							37.228	YES	NO
SAGA-DR3	NGC0636	nsa130133	6110	3	0.904	31.820	5.650	0.08	0.832	168							29.201	YES	NO
SAGA-DR3	NGC0895	nsa155005	8974	5	0.661	120.918	1.985	0.17	0.676	101							34.802	YES	NO
SAGA-DR3	NGC0986	pgc9747	9747	4	0.782	22.892	1.774	0.14	0.724	18							25.328	YES	NO
SAGA-DR3	NGC1015	nsa132339	9988	2	0.996	129.815	4.000	0.06	0.871	8							37.047	YES	NO
SAGA-DR3	NGC1032	nsa132368	10060	2	0.239	67.440	2.612	0.58	0.263	67							37.660	YES	NO
SAGA-DR3	NGC1079	pgc10330	10330	2	0.611	83.000	3.021	0.19	0.646	99							31.362	YES	NO
SAGA-DR3	NGC1199	nsa133115	11527	7	0.833	52.906	4.311	0.09	0.813	44							37.946	YES	NO
SAGA-DR3	NGC1209	nsa133141	11638	2	0.457	85.389	4.472	0.38	0.417	83							38.334	YES	NO
SAGA-DR3	NGC1289	pgc12342	12342	2	0.571	97.000	5.219	0.23	0.589	97							39.319	YES	NO
SAGA-DR3	NGC1309	nsa133355	12626	3	0.923	53.319	1.532	0.03	0.933								34.324	YES	NO
SAGA-DR3	NGC1353	pgc13108	13108	3	0.421	137.845	1.244	0.39	0.407	138							26.669	YES	NO
SAGA-DR3	NGC1357	pgc13166	13166	9	0.813	80.636	3.797	0.11	0.776	79							26.485	YES	NO
SAGA-DR3	NGC1665	pgc16044	16044	3	0.547	47.961	4.131	0.25	0.562	72							37.549	YES	NO
SAGA-DR3	NGC2543	nsa33446	23028	3	0.525	47.649	3.235	0.27	0.537	45							37.630	YES	NO
SAGA-DR3	NGC2608	nsa135296	24111	1	0.719	53.877	3.034	0.25	0.562	61							40.607	YES	NO
SAGA-DR3	NGC2701	nsa135591	25237	3	0.679	30.182	1.548	0.15	0.708	24							36.541	YES	NO
SAGA-DR3	NGC2778	nsa135739	25955	12	0.800	44.945	2.483	0.12	0.759	48							32.214	YES	NO
SAGA-DR3	NGC2782	pgc26034	26034	2	0.896	16.226	3.222	0.15	0.708								39.902	YES	NO
SAGA-DR3	NGC2785	nsa47117	26100	8	0.360	123.285	1.734	0.45	0.355	120							40.416	YES	NO
SAGA-DR3	NGC2906	nsa157300	27074	4	0.554	81.789	1.397	0.23	0.589	75							33.544	YES	NO
SAGA-DR3	NGC2962	nsa157374	27635	4	0.610	1.953	4.278	0.26	0.550	2							34.802	YES	NO
SAGA-DR3	NGC2967	nsa32	27723	2	0.962	146.213	1.379	0.03	0.933								29.910	YES	NO
SAGA-DR3	NGC3067	nsa85746	28805	2	0.371	103.806	0.965	0.47	0.339	107							25.005	YES	NO
SAGA-DR3	NGC3182	nsa16559	30176	4	0.782	134.074	2.657	0.08	0.832	155							34.376	YES	NO
SAGA-DR3	NGC3433	nsa158901	32605	1	0.750	40.000	1.752	0.02	0.955								39.709	YES	NO
SAGA-DR3	NGC3583	nsa159488	34232	6	0.768	122.646	1.553	0.23	0.589	134							34.104	YES	NO
SAGA-DR3	NGC3595	nsa159520	34325	3	0.418	175.670	3.203	0.38	0.417	176							34.574	YES	NO
SAGA-DR3	NGC3614	nsa159593	34561	3	0.645	101.106	1.758	0.18	0.661	87							36.062	YES	NO
SAGA-DR3	NGC3689	nsa139467	35294	3	0.602	90.675	1.536	0.18	0.661	97							39.791	YES	NO
SAGA-DR3	NGC3780	nsa160302	36138	3	0.767	80.831	0.980	0.08	0.832	90							37.470	YES	NO
SAGA-DR3	NGC3818	pgc36304	36304	9	0.643	99.672	6.000	0.17	0.676	96							30.144	YES	NO
SAGA-DR3	NGC3976	nsa140458	37483	4	0.394	54.356	4.750	0.53	0.295	53							35.853	YES	NO
SAGA-DR3	NGC4045	nsa13927	38031	0	0.703	88.560	3.522	0.21	0.617	91							29.389	YES	NO
SAGA-DR3	NGC4158	nsa161174	38802	5	0.733	78.711	1.766	0.10	0.794	77							36.200	YES	NO
SAGA-DR3	NGC4348	nsa3469	40284	1	0.237	37.672	1.443	0.68	0.209	18							29.709	YES	NO
SAGA-DR3	NGC4378	nsa141315	40490	3	0.830	167.679	4.300	0.03	0.933								37.233	YES	NO
SAGA-DR3	NGC4454	nsa141465	41083	4	0.961	38.925	3.665	0.04	0.912								35.327	YES	NO
SAGA-DR3	NGC4799	nsa14409	44017	1	0.313	88.819	1.979	0.36	0.437	91							40.123	YES	NO
SAGA-DR3	NGC4814	nsa52773	44025	2	0.729	128.160	1.599	0.14	0.724	135							38.373	YES	NO
SAGA-DR3	NGC4995	pgc45643	45643	2	0.699	92.904	1.036	0.19	0.646	94							28.029	YES	NO
SAGA-DR3	NGC5290	nsa163956	48767	9	0.237	94.537	1.582	0.58	0.263	95							37.120	YES	NO
SAGA-DR3	NGC5297	nsa143856	48815	7	0.288	146.879	1.271	0.65	0.224	146							35.503	YES	NO
SAGA-DR3	NGC5320	nsa56434	49112	6	0.519	15.271	1.447	0.29	0.513	19							37.799	YES	NO
SAGA-DR3	NGC5347	nsa94340	49342	2	0.743	111.299	3.424	0.13	0.741	121							34.557	YES	NO
SAGA-DR3	NGC5375	nsa94217	49604	2	0.680	174.288	4.000	0.12	0.759	0							34.503	YES	NO
SAGA-DR3	NGC5383	nsa144151	49618	3	0.727	105.874	3.063	0.11	0.776	107							35.818	YES	NO
SAGA-DR3	NGC5403	nsa67593	49820	4	0.348	141.202	1.560	0.53	0.295	144							39.294	YES	NO
SAGA-DR3	NGC5448	nsa69028	50031	5	0.369	107.341	2.108	0.29	0.513	115							33.543	YES	NO
SAGA-DR3	NGC5493	pgc50670	50670	5	0.956	106.837	5.062	0.08	0.832	66							40.476	YES	NO
SAGA-DR3	NGC5534	pgc51055	51055	1	0.865	44.897	5.429	0.07	0.851	30							39.319	YES	NO
SAGA-DR3	NGC5576	nsa164865	51275	5	0.669	84.039	5.631	0.18	0.661	92							25.200	YES	NO
SAGA-DR3	NGC5602	nsa144953	51340	5	0.533	167.206	3.773	0.28	0.525	166							34.036	YES	NO
SAGA-DR3	NGC5604	nsa35340	51471	3	0.569	15.536	1.471	0.29	0.513	160							39.029	YES	NO
SAGA-DR3	NGC5633	nsa51348	51620	1	0.667	13.248	0.816	0.20	0.631	5							34.571	YES	NO
SAGA-DR3	NGC5665	nsa165162	51953	5	0.639	149.669	1.238	0.21	0.617	146							31.611	YES	NO
SAGA-DR3	NGC5687	nsa145297	52116	3	0.639	103.000	5.435	0.21	0.617	105							32.996	YES	NO
SAGA-DR3	NGC5690	nsa145372	52273	4	0.226	141.254	1.384	0.51	0.309	166							26.297	YES	NO
SAGA-DR3	NGC5707	nsa165316	52266	6	0.343	35.376	3.013	0.72	0.191	35							33.456	YES	NO
SAGA-DR3	NGC5750	nsa165536	52735	1	0.545	64.948	1.539	0.29	0.513	79							25.263	YES	NO
SAGA-DR3	NGC5777	nsa165707	53043	3	0.201	143.305	2.814	0.81	0.155	144							33.377	YES	NO
SAGA-DR3	NGC5792	nsa145729	53499	3	0.150	81.000	3.470	0.52	0.302	88							28.275	YES	NO
SAGA-DR3	NGC5812	pgc53630	53630	13	0.927	64.031	5.527	0.06	0.871	100							27.227	YES	NO
SAGA-DR3	NGC5864	nsa165956	54111	2	0.304	64.461	1.535	0.51	0.309	68							26.832	YES	NO
SAGA-DR3	NGC5869	nsa145879	54119	0	0.629	116.409	4.435	0.19	0.646	102							30.060	YES	NO
SAGA-DR3	NGC5894	nsa165980	54234	1	0.177	13.690	0.890	0.85	0.141	13							36.578	YES	NO
SAGA-DR3	NGC5962	nsa166313	55588	3	0.684	110.783	3.007	0.18	0.661	107							27.891	YES	NO
SAGA-DR3	NGC6010	nsa146486	56337	3	0.263	102.896	2.111	0.64	0.229	94							26.936	YES	NO
SAGA-DR3	NGC6070	pgc57345	57345	3	0.490	58.371	3.025	0.28	0.525	73							26.158	YES	NO
SAGA-DR3	NGC6181	nsa147100	58470	10	0.414	177.330	0.825	0.37	0.427	177							33.620	YES	NO
SAGA-DR3	NGC6278	nsa147606	59426	9	0.544	126.046	5.082	0.30	0.501	128							39.316	YES	NO
SAGA-DR3	NGC6909	pgc64725	64725	4	0.483	67.577	2.864	0.28	0.525	69							35.563	YES	NO
SAGA-DR3	NGC7029	pgc66318	66318	7	0.601	67.898	3.504	0.23	0.589	67							38.072	YES	NO
SAGA-DR3	NGC7051	pgc66566	66566	5	0.876	73.874	2.944	0.10	0.794	159							36.983	YES	NO
SAGA-DR3	NGC7079	pgc66934	66934	4	0.617	76.040	3.767	0.21	0.617	78							36.392	YES	NO
SAGA-DR3	NGC7097	pgc67146	67146	5	0.700	21.818	3.236	0.15	0.708	16							32.689	YES	NO
SAGA-DR3	NGC7140	pgc67532	67532	5	0.469	20.493	3.415	0.57	0.269	19							32.211	YES	NO
SAGA-DR3	NGC7155	pgc67663	67663	4	0.992	160.216	4.551	0.09	0.813	126							26.485	YES	NO
SAGA-DR3	NGC7166	pgc67817	67817	7	0.522	14.402	5.253	0.28	0.525	10							33.466	YES	NO
SAGA-DR3	NGC7219	pgc68312	68312	5	0.615	34.557	2.683	0.24	0.575	36							39.902	YES	NO
SAGA-DR3	NGC7328	nsa149977	69349	1	0.414	86.888	1.376	0.45	0.355	88							38.894	YES	NO
SAGA-DR3	NGC7371	pgc69677	69677	3	0.964	86.673	3.011	0.04	0.912								38.726	YES	NO
SAGA-DR3	NGC7416	nsa150307	70025	0	0.284	109.474	1.116	0.66	0.219	110							39.306	YES	NO
SAGA-DR3	NGC7479	nsa150578	70419	2	0.461	15.412	3.043	0.12	0.759	29							32.466	YES	NO
SAGA-DR3	NGC7541	nsa150887	70795	6	0.324	99.152	0.683	0.48	0.331								38.089	YES	NO
SAGA-DR3	NGC7716	nsa61945	71883	4	0.818	29.507	5.400	0.12	0.759	19							34.650	YES	NO
SAGA-DR3	NGC7721	nsa169439	72001	0	0.354	15.685	1.946	0.52	0.302	17							31.827	YES	NO
SAGA-DR3	NGC7723	pgc72009	72009	1	0.691	40.725	1.543	0.16	0.692	40							25.258	YES	NO
SAGA-DR3	NGC7727	pgc72060	72060	4	0.848	89.653	3.905	0.11	0.776	66							25.906	YES	NO
SAGA-DR3	NGC7798	nsa153017	73163	1	0.874	54.967	1.088	0.04	0.912								34.040	YES	NO
SAGA-DR3	NGC7817	nsa126115	279	3	0.258	46.260	0.775	0.61	0.245	47							32.352	YES	NO
