phi1_deg	Vrad_kms	e_Vrad_kms
50	35.097	2.042
67	91.084	2.258
77	111.054	4.072
85	121.997	2.296
95	132.123	3.092
105	132.763	2.741
115	116.263	3.964
120	103.205	13.798
