Misalignment_range_deg	Whole	StarForming	NonStarForming	LateType	EarlyType
All misaligned [30deg-180deg] (+ kin. unc.)	11.7+2.7 -0.9% (169/1445)	4.4+2.3 -0.6% (43/982)	31+4 -2% (120/387)	3.0+2.4 -0.3% (28/947)	30+3 -2% (137/452)
Unstable [30deg-150deg]	6.6+3.1 -0.9% (95/1445)	1.7+2.5 -0.4% (17/982)	20+5 -2% (76/387)	1.0+2.0 -0.2% (9/947)	19+4 -2% (84/452)
Stable/counter-rotating (150deg-180deg]	3.7+0.1 -0.4% (53/1445)	1.9+0.1 -0.2% (19/982)	8.3+0.3 -1.0% (32/387)	1.4+0.1 -0.1% (13/947)	8.4+0.2 -1.1% (38/452)
Aligned [0deg-30deg)	88.3+0.8 -2.7% (1276/1445)	95.6+0.6 -2.3% (939/982)	69+2 -4% (267/387)	97.0+0.3 -2.4% (919/947)	70+2 -3% (315/452)
Counter-rotating to aligned ratio	4.2+0.2 -0.5%	2.0+0.1 -0.3%	12+1 -2%	1.4+0.2 -0.1 %	12.1+0.7 -2.0 %
