Stream_label	n_stars	n_HRV	n_HRV_credible	probable_name	median_sep_deg	next_best_sep_deg	ratio	ra_med	de_med
1	118	5	5	Jhelum	0.2707	21.572	79.68	346.77	-51.222
2	30	3	2	Gaia-2	0.1141	3.4723	30.42	6.208	-16.507
3	77	0	0	Kwando	0.6714	6.0683	9.04	22.284	-21.103
4	46	10	10	AAU-ATLAS	0.1791	4.2582	23.77	25.76	-30.296
5	237	67	67	Leiptr	0.3162	6.1187	19.35	85.599	-25.03
6	102	35	35	NGC3201-Gjoll	0.4708	5.3839	11.43	78.891	-11.246
7	7	3	3	C-5	0.0745	23.1695	310.98	115.974	35.271
8	811	216	215	GD-1	0.2879	13.1093	45.54	153.67	41.399
9	388	4	4	NGC3201	0.3204	16.511	51.54	155.187	-46.493
10	218	30	30	Orphan-Chenab	0.3602	4.1292	11.46	168.979	-21.935
11	181	29	29	Slidr	1.1508	7.6507	6.65	168.736	6.947
12	165	19	19	Sylgr	0.8475	6.0875	7.18	178.86	-2.783
13	699	32	32	Ylgr	0.6871	3.953	5.75	173.821	-21.971
14	106	8	8	Gaia-1	0.2895	2.9918	10.33	191.451	-8.625
15	79	5	5	Gaia-8	0.4753	1.5863	3.34	191.448	-18.945
16	1006	33	33	Fimbulthul	1.0449	1.2536	1.2	201.479	-25.989
17	13	0	0	C-4	0.367	11.5613	31.5	229.02	83.311
18	42	3	3	Kshir	0.1761	1.9651	11.16	222.486	68.009
19	48	29	29	Pal5	0.226	20.9846	92.83	229.92	0.733
20	125	9	9	Svol	0.6536	18.1773	27.81	243.952	25.83
21	44	7	7	Gaia-9	0.8186	3.8029	4.65	234.676	64.487
22	184	29	29	M68-Fjorm	0.9002	13.116	14.57	205.477	34.04
23	37	2	2	M5	0.273	2.1827	8.0	200.483	16.325
24	84	9	9	M92	0.6256	6.7829	10.84	260.29	42.553
25	28	0	0	Gaia-11	0.1823	3.3523	18.39	273.325	37.009
26	276	13	13	NGC6397	0.385	3.398	8.83	265.309	-53.81
27	120	10	10	C-7	0.5067	2.49	4.91	281.723	-51.291
28	61	8	8	Gunnthra	1.1599	8.837	7.62	292.241	-70.147
29	233	24	24	Hrid	0.4123	8.1632	19.8	280.397	42.549
30	365	41	41	Phlegethon	0.7849	13.5575	17.27	323.194	-14.981
31	8	0	0	C-8	0.1905	13.5647	71.21	340.436	-79.095
32	22	2	2	M68	0.1632	1.0834	6.64	188.207	-36.99
