TrackFileBase	StreamName	StreamShortName	TrackRef	TrackType	InfoFlags	has_empirical_track	has_D	has_pm	has_vrad	D_caveat	pm_caveat	vrad_caveat	sky_status	D_status	pm_status	vrad_status	usable_3d	usable_6d	data_defects	n_track_points	track_length_deg	pole_ra_deg	pole_dec_deg	pole_l_deg	pole_b_deg	orbit_inc_to_disc_deg	mid_l_deg	mid_b_deg	mid_distance_kpc	b_min_deg	b_max_deg	absb_min_deg	absb_max_deg	dist_min_kpc	dist_max_kpc	z_min_kpc	z_max_kpc	absz_max_kpc	R_gc_min_kpc	R_gc_max_kpc	width_phi2	width_pm_phi1_cosphi2	width_pm_phi2	dist_ptp_kpc	pmra_ptp_masyr	rv_ptp_kms
track.ep.Acheron.grillmair2009	Acheron	Ach	grillmair2009	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	GEOMETRIC_INTERPOLATION	ABSENT	ABSENT	0	0		200	36.5321	142.33943	49.45318	168.73906	45.58913	44.4109	24.20198	38.58676	3.65638	29.9666	43.8772	29.9666	43.8772	3.5	3.8	1.9127	2.4402	2.4402	6.0425	6.4107	0.0	0.0	0.0	0.3	0.0	0.0
track.ep.Cocytos.grillmair2009	Cocytos	Coc	grillmair2009	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	75.1397	103.52717	68.19509	147.1868	25.29078	64.7092	6.51906	58.58033	11.0	29.6197	64.7088	29.6197	64.7088	11.0	11.0	5.4391	9.9563	9.9563	8.415	12.5065	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Gaia-3.malhan2018	Gaia-3	Gaia3	malhan2018	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	GEOMETRIC_INTERPOLATION	ABSENT	ABSENT	0	0		200	18.4983	255.07828	21.0584	41.30005	33.4329	56.5671	283.8829	34.89427	12.04802	29.4158	42.8308	29.4158	42.8308	9.0	14.0	6.1382	6.9504	6.9504	11.8449	14.0006	0.0	0.0	0.0	5.0	0.0	0.0
track.ep.Gaia-4.malhan2018	Gaia-4	Gaia4	malhan2018	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	GEOMETRIC_INTERPOLATION	ABSENT	ABSENT	0	0		200	8.9295	78.47371	26.13876	178.47266	-7.4115	82.5885	260.54736	46.6674	11.11444	42.1176	50.8875	42.1176	50.8875	10.7	11.5	7.1997	8.9472	8.9472	14.1077	14.838	0.0	0.0	0.0	0.8	0.0	0.0
track.ep.Gaia-5.malhan2018	Gaia-5	Gaia5	malhan2018	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	GEOMETRIC_INTERPOLATION	ABSENT	ABSENT	0	0		200	23.7049	32.91085	29.83377	142.99594	-29.89408	60.1059	192.36663	48.55987	19.55202	39.6387	55.0977	39.6387	55.0977	18.5	20.5	11.8559	16.8634	16.8634	24.8738	26.011	0.0	0.0	0.0	2.0	0.0	0.0
track.ep.Jet.jethwa2018	Jet	Jet	jethwa2018	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	12.4602	64.56852	34.09622	164.49947	-11.59933	78.4007	250.85686	17.19866	28.6	11.1041	23.2838	11.1041	23.2838	28.6	28.6	5.5509	11.3495	11.3495	31.99	32.1535	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Lethe.grillmair2009	Lethe	Let	grillmair2009	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	81.2303	37.91849	64.55967	133.43779	3.75223	86.2478	32.56382	70.83039	13.0	30.5	86.244	30.5	86.244	13.0	13.0	6.5972	12.9914	12.9914	9.9052	16.8255	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.NGC5053.lauchner2006	NGC5053	NGC5053	lauchner2006	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	4.7711	84.73138	52.27889	159.25843	11.02643	78.9736	323.5553	78.55715	17.4	77.7092	78.9521	77.7092	78.9521	17.4	17.4	17.0155	17.0905	17.0905	17.8713	18.1089	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Pal13.shipp2020	Pal13	Pal13	shipp2020	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	10.9226	248.98471	30.60701	51.09166	41.23222	48.7678	88.24139	-42.2847	23.6	-44.5666	-39.6267	39.6267	44.5666	23.6	23.6	-16.5466	-15.0271	16.5466	24.127	25.4246	0.0	0.0	0.0	0.0	0.0	0.0
track.ep.Palca.shipp2018	Palca	Pca	shipp2018	ep	0000	0	0	0	0	0	0	0	GREAT_CIRCLE_ASSUMED	ABSENT	ABSENT	ABSENT	0	0		200	57.3215	286.61727	-9.85728	25.80531	-7.78925	82.2108	205.11525	-82.21019	36.3	-82.2106	-60.2966	60.2966	82.2106	36.3	36.3	-35.9328	-31.4799	35.9328	36.3882	39.6259	0.0	0.0	0.0	0.0	0.0	0.0
