Name	Type	T	D	r_ang	r_kpc	PA0	i0	PAbar	PA1	i1	Delta_i	Comm	Ref
Arp 220	S?	9.3	81.3	0.3	0.12	40	40	--	--	--	90^*	CO, w	
IC 1548	S0	-4.0	85.1	1.5	0.62	78	59	--	349	--	--	HII	
IC 1689	S0?	-2.0	67.6	10	3.28	164	90	--	74	30	90	HII+s, r	
M 31	SA(s)b	3.0	0.78	180	0.70	35	77	--	325	40	88	CO+HII, r	
Mrk 33	Im pec?	9.9	24.2	12	1.41	116	59	--	163	47	39, 86	HII+s	
Mrk 370	pec?	0.0	12.0	11	0.61	346	45	--	260	--	55-70^*	HII, w	
NGC 253	SAB(s)c	5.1	3.4	5	0.083	230	79	--	324	>60	78-90	HII, r	
NGC 474	SA0^0(s)	-2.0	32.7	>10	>1.65	330	26	--	256	--	--	HII, r?	,
NGC 1068	(R)SA(rs)b	3.0	16.1	2	0.16	278	40	48	--	--	>90^*	CO, w	
NGC 2217	(R)SB0^+(rs)	-0.6	20.7	3	0.30	6	21	111	20	--	90^*	HII, w	
NGC 2655	SAB0/a(s)	0.1	24.2	>15	>1.76	85	54	90	20	--	--	HI+HII, r	
NGC 2681	(R')SAB0/a(rs)	0.4	13.2	5	0.32	148	25	25	90	--	--	HII+s	
NGC 2732	S0	-2.0	32.4	5	0.78	67	90	--	351	30-70	77-83	HII	
NGC 2768	E6?	-4.5	23.6	16	1.83	95	90	--	347	30-60	74-81	HII+CO	
NGC 2787	SB0^+(r)	-1.0	7.5	6	0.22	109	62	149	72	50	32,76	HII	
NGC 2841	SA(r)b?	3.0	12.6	5	0.31	150	65	154	68	--	--	HII	
NGC 2855	(R)SA0/a(rs)	-0.2	26.5	4	0.51	117	42	--	--	--	73^*	HII, w	
NGC 2911	SA0(s)? pec	-2.0	47.0	4	0.91	140	56	--	63	75	71,88	HII+s	
NGC 3227	SAB(s)a pec	1.5	18.3	0.9	0.08	158	56	138	--	--	>90^*	CO, w	
NGC 3368	SAB(rs)ab	2.2	13.7	3	0.20	135	48	125	35	--	--	HII	
NGC 3379	E1	-4.8	14.3	3	0.21	253	40	--	296	--	--	HII+s	
NGC 3384	SB0^-(s)?	-2.7	13.7	5	0.33	55	57	132	226	--	--	s	
NGC 3414	S0 pec	-2.0	25.2	9	1.10	179	52	--	68	>60	56, 86	HII	
NGC 3599	SA0?	-2.0	20.3	>7	0.69	47	28	--	335-290	--	40-60^*	HII, w, r	
NGC 3607	SA0^0(s)?	-3.2	22.8	2	0.22	300	34	--	320	--	--	HII	
NGC 3608	E2	-4.8	22.9	4	0.44	255	47	--	195	--	--	HII	
NGC 3626	(R)SA0^+(rs)	-0.9	20.0	4	0.39	341	32	--	190	--	58,87^*	HII	
NGC 4100	(R')SA(rs)bc	4.1	19.7	12	1.14	346	73	--	358	60	25,55^*	HII	
NGC 4111	SA0^+(r)?	-1.3	14.9	>8	>0.59	150	84	--	60		84-90	HII	
NGC 4233	S0^0	-2.0	35.1	7	1.19	176	87	200	76	90	-- 80	HII	
NGC 4424	SB(s)a?	1.0	16.8	3	0.21	95	63	--	--	--	--	HII	
NGC 4548	SB(rs)b	3.1	15.6	3	0.23	145	37	110	236	--	--	HII	
NGC 4552	E0-1	-4.6	15.6	5	0.38	110	14	--	32	--	--	HII	,
NGC 4579	SAB(rs)b	2.9	23.6	18	2.06	96	39	58	154	--	--	HII	
NGC 4672	SA(s)a pec	1.1	45.7	6	1.32	46	90	--	134	--	88-90	s	
NGC 4698	SA(s)ab	1.7	16.1	5	0.39	170	74	--	--	--	--	HII+s	
NGC 4941	(R)SAB(r)ab?	2.1	21.2	2	0.21	15	37	0	--	--	--	HII	
NGC 5014	Sa?	1.4	19.5	22	2.08	100	81	--	47	80	52-56	HI,r	
NGC 5198	E1-2?	-4.8	39.3	4	0.76	14	49	--	32	--	--	HII+s	
NGC 5850	SB(r)b	3.1	38.7	6	1.13	335	37	115	35	--	--	HII	
NGC 6340	SA0/a(s)	0.4	22.4	12	1.30	70	20	85	330	40-60	40,65^*	HII, w	
NGC 7049	SA0^0(s)	-1.9	29.9	5	0.73	58	60	--	--	--	89^*	HII	
NGC 7217	(R)SA(r)ab	2.5	16.7	3	0.24	268	30	60	329	--	--	HII+s	
NGC 7280	SAB0^+(r)	-1.3	28.2	2	0.27	258	52	60	9	>80	68-80	HII	
NGC 7468	E3? pec	9.0	31.8	6	0.92	180	45	--	120	60	49,87	HII	
NGC 7742	SA(r)b	2.8	24.7		0.36	128	9	--	130	>35	>26	HII	
UGC 5600	S0?	-1.8	44.7	10	2.17	182	50	--	260	60	65,80^*	HII, w, r	
