phi1_deg	phi2_deg	sigma_phi2_deg
12.4	-1.2511	1.7699
28.0	-1.4023	0.3595
43.6	-1.4896	0.1656
59.2	-0.2057	0.1936
74.8	0.9761	0.1461
90.4	2.9812	0.1412
106.0	2.9882	0.2027
121.6	1.4035	1.2939
