Name	PAphot	e_PAphot	eps	e_eps	PAkin	e_PAkin	Psi	k5k1	e_k5k1	k1max	Morph	Dust	KinStruct	Group
IC0719	51.9	0.1	0.71	0.01	46.0	26.8	5.9	0.294	0.129	26.9	N	D	NRR/2s	d
NGC0448	114.2	0.2	0.57	0.06	119.0	2.8	4.8	0.050	0.020	72.0	N	N	RR/2s	d
NGC0661	54.2	3.5	0.31	0.01	236.0	12.0	1.8	0.186	0.063	41.3	N	N	NRR/CRC	c
NGC1289	96.6	3.2	0.41	0.02	92.0	10.0	4.6	0.176	0.056	42.0	N	N	NRR/CRC	c
NGC3414	19.4	2.2	0.22	0.06	197.5	7.5	1.9	0.159	0.051	47.5	I	N	NRR/CRC	c
NGC3522	113.3	0.5	0.48	0.03	113.5	89.8	0.2	0.229	0.170	19.2	N	N	NRR/KDC	c
NGC3608	82.0	23.7	0.20	0.04	265.5	35.2	3.5	0.190	0.102	20.0	N	N	NRR/CRC	c
NGC3796	124.4	0.3	0.40	0.01	125.5	14.2	1.1	0.212	0.136	23.1	B	N	NRR/2s	d
NGC4168	125.4	2.0	0.17	0.05	320.0	89.8	14.6	0.343	0.170	13.3	N	N	NRR/KDC	c
NGC4191	3.6	2.9	0.26	0.04	182.5	4.8	1.1	0.424	0.144	20.3	N	N	NRR/2s	d
NGC4259	142.7	0.5	0.58	0.03	146.0	6.2	3.3	0.289	0.176	39.7	N	N	NRR/2s	d
NGC4365	40.9	2.1	0.24	0.02	145.0	6.5	75.9	0.347	0.067	60.9	N	N	NRR/KDC	c
NGC4406	118.1	3.7	0.31	0.06	199.5	12.0	81.4	0.097	0.024	67.3	N	N	NRR/KDC	c
NGC4458	4.9	3.5	0.08	0.02	25.0	29.2	20.1	0.374	0.172	39.4	N	N	NRR/KDC	c
NGC4472	154.7	4.6	0.19	0.03	169.0	5.5	14.3	0.197	0.075	58.9	N	N	NRR/CRC	c
NGC4473	92.2	1.2	0.43	0.03	92.0	3.8	0.2	0.062	0.010	68.2	N	N	NRR/2s	d
NGC4489	155.6	1.1	0.09	0.00	156.5	30.5	0.9	0.063	0.121	36.1	N	N	RR/CRC	c
NGC4528	5.8	0.8	0.41	0.02	5.0	11.0	0.8	1.025	0.250	18.1	B	N	NRR/2s	d
NGC4550	178.9	0.4	0.68	0.01	358.5	2.5	0.4	0.396	0.217	13.2	N	N	NRR/2s	d
NGC4803	9.1	1.7	0.37	0.01	3.5	22.2	5.6	0.118	0.098	35.5	N	N	RR/2s	d
NGC5322	91.8	1.1	0.36	0.03	273.0	7.2	1.2	0.488	0.172	73.3	N	N	NRR/CRC	c
NGC5481	110.0	2.4	0.27	0.07	241.0	19.0	49.0	0.229	0.136	48.9	N	N	NRR/KDC	c
NGC5631	137.7	64.8	0.07	0.02	119.0	8.8	18.7	0.323	0.165	58.9	N	D	NRR/KDC	c
NGC5813	133.2	2.0	0.27	0.03	152.5	8.0	19.3	0.225	0.071	91.6	N	N	NRR/KDC	c
NGC5831	131.1	4.8	0.10	0.02	110.5	22.5	20.6	0.299	0.144	30.1	N	N	NRR/KDC	c
NGC7465	155.0	1.1	0.33	0.02	166.5	29.0	11.5	0.125	0.044	62.8	I	F	NRR/KDC	c
NGC7710	133.7	0.1	0.59	0.02	134.0	41.5	0.3	0.055	0.062	50.8	N	N	RR/2s	d
PGC028887	32.2	1.0	0.33	0.02	212.0	9.5	0.2	0.279	0.121	75.3	N	N	NRR/KDC	c
PGC050395	10.5	0.9	0.27	0.03	185.5	40.5	5.0	0.195	0.151	16.5	N	N	NRR/CRC	c
PGC056772	9.9	1.7	0.45	0.02	191.0	5.5	1.1	0.037	0.025	69.5	N	D	RR/2s	d
