Description	E	E-S0	S0	S0-ESpirals	ESpirals	ESpirals-LSpirals	LSpirals	Unknown_or_NA
Description	E	E - S0	S0	S0 - ESpirals	ESpirals	ESpirals - LSpirals	LSpirals	Unknown	NA
All GAMA	17	16	29	48	102	57	202	3	12
GAMA >30deg	9	8	11	5	4	2	12	0	3
FracGAMA >30deg	0.53	0.50	0.38	0.10	0.04	0.04	0.06	0.00	0.25
GAMA >40deg	8	7	9	4	3	2	6	0	2
FracGAMA >40deg	0.47	0.44	0.31	0.08	0.03	0.04	0.03	0.00	0.17
GAMA 30-150deg	6	5	9	2	2	1	11	0	2
FracGAMA 30-150deg	0.35	0.31	0.31	0.04	0.02	0.02	0.05	0.00	0.17
GAMA 40-140deg	5	4	7	1	1	1	4	0	1
FracGAMA 40-140deg	0.29	0.25	0.24	0.02	0.01	0.02	0.02	0.00	0.08
AllClusters	19	10	16	21	31	15	19	0	1
Clus >30deg	6	1	0	3	2	2	0	0	0
FracClus >30deg	0.32	0.10	0.00	0.14	0.06	0.13	0.00	0.00	0.00
Clus >40deg	3	1	0	2	0	2	0	0	0
FracClus >40deg	0.16	0.10	0.00	0.10	0.00	0.13	0.00	0.00	0.00
Clus 30-150deg	5	1	0	2	2	1	0	0	0
FracClus 30-150deg	0.26	0.10	0.00	0.10	0.06	0.07	0.00	0.00	0.00
Clus 40-140deg	2	1	0	1	0	1	0	0	0
FracClus 40-140deg	0.11	0.10	0.00	0.05	0.00	0.07	0.00	0.00	0.00
All GAMA + Clusters	36	26	45	69	133	72	221	3	13
All >30deg	15	9	11	8	6	4	12	0	3
FracAll >30deg	0.42	0.35	0.24	0.12	0.05	0.06	0.05	0.00	0.23
All >40deg	11	8	9	6	3	4	6	0	2
FracAll >40deg	0.31	0.31	0.20	0.09	0.02	0.06	0.03	0.00	0.15
All 30-150deg	11	6	9	4	4	2	11	0	2
FracAll 30-150deg	0.31	0.23	0.20	0.06	0.03	0.03	0.05	0.00	0.15
All 40-140deg	7	5	7	2	1	2	4	0	1
FracAll 40-140deg	0.19	0.19	0.16	0.03	0.01	0.03	0.02	0.00	0.08
