C:\Users\henry\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:3045: RuntimeWarning: invalid value encountered in divide
  c /= stddev[:, None]
C:\Users\henry\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\_function_base_impl.py:3046: RuntimeWarning: invalid value encountered in divide
  c /= stddev[None, :]
gal:res_mean       within: U3 0.0981  U2 0.1401  fixhalo 0.1140  halo-isolated 0.0827
gal:res_out_in     within: U3 0.1187  U2 0.1471  fixhalo 0.1459  halo-isolated 0.0301
gal:res_slope      within: U3 0.2146  U2 0.2630  fixhalo 0.2587  halo-isolated 0.0527
gal:rz_1           within: U3 0.1619  U2 0.1773  fixhalo 0.1751  halo-isolated 0.0359
gal:dz_1           within: U3 0.1387  U2 0.1501  fixhalo 0.1407  halo-isolated 0.0545
gal:res_6          within: U3 0.1059  U2 0.1573  fixhalo 0.1331  halo-isolated 0.0869
clu:wl_lA          within: U3 0.4695  U2 0.3741  fixhalo 0.3325  halo-isolated 0.0473
clu:t_lA           within: U3 0.0622  U2 0.1099  fixhalo 0.1038  halo-isolated 0.0191
clu:h_lA           within: U3 0.0805  U2 0.1109  fixhalo 0.0995  halo-isolated 0.0402
clu:d_lA           within: U3 0.0447  U2 0.0610  fixhalo 0.0571  halo-isolated 0.0207
clu:wl_slope       within: U3 1.9763  U2 2.2907  fixhalo 2.1094  halo-isolated 0.8234
clu:t_slope        within: U3 0.0555  U2 0.1142  fixhalo 0.0908  halo-isolated 0.0661
clu:sl_res         within: U3 0.0000  U2 0.0157  fixhalo 0.0102  halo-isolated 0.0119
wrote CL_closure.json
