case,comparison,aperture,profile_L1,centroid_km_s,reference_L1_mjy_beam,passed,original_failure_retained,signed_replay_centroid_delta_km_s,positive_centroid_delta_km_s,positive_delta_below_0p5_diagnostic_only,signed_difference_identity_km_s,signed_difference_triangle_bound_km_s,coarse_cancellation_kappa,fine_cancellation_kappa,coarse_capture,fine_capture,coarse_positive_centroid_km_s,fine_positive_centroid_km_s,coarse_signed_centroid_km_s,fine_signed_centroid_km_s
h0p1_newton_p10_boxcar_independent_s-1_sys-30_sig20,planar,2,0.0011466913669755606,0.9936334858070666,15.508178599501532,False,True,0.9936334858072939,0.00948784574848105,True,-0.9936334858072607,1.186813626602242,4.554513810787874,4.533807923184486,0.8828738666306697,0.88302205707196,-79.32192895785575,-79.31244111210727,-253.33498929267844,-252.34135580687115
h0p1_newton_p10_boxcar_independent_s-1_sys-30_sig20,joint,2,0.001050573663800043,0.9711262888527585,15.511688091625674,False,True,0.9711262888521048,0.008856067690956593,True,-0.9711262888521138,1.076642717160052,4.554513810787874,4.534299746701594,0.8828738666306697,0.8830196668496731,-79.32192895785575,-79.31307289016479,-253.33498929267844,-252.36386300382634
h0p1_newton_p10_boxcar_independent_s-1_sys-30_sig20,fine_vertical_planar,2,0.001151676724614373,0.9940158589584769,15.511688091625674,False,True,0.9940158589572547,0.009498853792507589,True,-0.9940158589572587,1.1925385081032684,4.55501406764123,4.534299746701594,0.882871474219299,0.8830196668496731,-79.3225717439573,-79.31307289016479,-253.3578788627836,-252.36386300382634
h0p1_newton_p10_boxcar_hanning_full_s-1_sys-30_sig20,planar,2,0.0011401545823240356,1.1471667865190511,15.366476016167171,False,True,1.147166786519108,0.009408356873905177,True,-1.1471667865191635,1.3667307828997513,4.8992934597868985,4.875398812532031,0.8790712957846987,0.8792202297873438,-79.12466649180591,-79.115258134932,-270.2814929436718,-269.1343261571527
h0p1_newton_p10_boxcar_hanning_full_s-1_sys-30_sig20,joint,2,0.0010431929111663313,1.1205988015402681,15.36995510526233,False,True,1.1205988015398702,0.008779310046620026,True,-1.1205988015398598,1.2384978858069178,4.8992934597868985,4.875977042813862,0.8790712957846987,0.8792177411313067,-79.12466649180591,-79.11588718175929,-270.2814929436718,-269.16089414213195
h0p1_newton_p10_boxcar_hanning_full_s-1_sys-30_sig20,fine_vertical_planar,2,0.0011452046732003153,1.1476472957342025,15.36995510526233,False,True,1.1476472957334636,0.009419315493602198,True,-1.1476472957335764,1.3734565351606265,4.899882224257225,4.875977042813862,0.8790688025895321,0.8792177411313067,-79.1253064972529,-79.11588718175929,-270.3085414378654,-269.16089414213195
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,planar,2,0.001145866773121239,1.0112741762655446,15.490444704834582,False,True,1.0112741762655446,0.009477776295369722,True,-1.0112741762655615,1.2075137249178414,4.595403504525531,4.574330843214062,0.8823946526600739,0.8825429410030456,-79.29725659621081,-79.28777881991545,-255.34329978318135,-254.3320256069158
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,joint,2,0.0010496439857406732,0.9883028273338539,15.493950399433011,False,True,0.9883028273334276,0.008846338207362692,True,-0.9883028273333827,1.095267760204769,4.595403504525531,4.57483256326463,0.8823946526600739,0.8825405383104125,-79.29725659621081,-79.28841025800345,-255.34329978318135,-254.35499695584792
h0p1_newton_p10_boxcar_hanning_decimated_s-1_sys-30_sig20,fine_vertical_planar,2,0.0011508603123873298,1.0116675238466257,15.493950399433011,False,True,1.0116675238460857,0.009488778226298678,True,-1.0116675238460435,1.2133531888183804,4.595913893434911,4.57483256326463,0.8823922474814025,0.8825405383104125,-79.29789903622975,-79.28841025800345,-255.366664479694,-254.35499695584792
h0p1_newton_plus_log_p10_boxcar_independent_s-1_sys-30_sig20,planar,0,0.0027168602408760103,1.036403654059086,3.652642503357761,False,True,1.0364036540570396,0.0027099697463484063,True,-1.0364036540570722,7.87544997731471,7.804446481535091,7.826227481222761,0.8273886411339268,0.8274522850128917,-82.53783742227476,-82.53512745252841,331.7215203283442,332.7579239824012
