model,tau_seconds,heldout_day,delta_log_likelihood,standardized_beta,physical_beta,null_rho,alternative_rho,null_innovation_sigma,alternative_innovation_sigma
memory,300.0,0,-0.4386502760644362,-3.2147007620606323e-15,-0.001284285287391335,0.04266322712417984,0.037522235183205285,4.2743765566051125e-14,4.264101735163841e-14
memory,300.0,1,1.535578008468292,-2.2792037881426536e-15,-0.0009105506573501097,0.02923828014962904,0.026635615235656544,4.32679775138645e-14,4.3216434228369946e-14
memory,300.0,2,-0.13655028378525458,-3.176309120760643e-15,-0.0012689476794054593,0.05293043238696082,0.047992878245921494,4.293643038521227e-14,4.28398550036472e-14
memory,300.0,3,-0.4942211653033155,-3.142105554506412e-15,-0.0012552832234675865,0.01943644579040626,0.014371027773985924,4.2424154056973946e-14,4.2321896785954075e-14
memory,300.0,4,0.8477609865276463,-2.6501153932396934e-15,-0.001058731266559748,0.019953151240895733,0.0163637243585463,4.299195662309679e-14,4.2919667852000226e-14
memory,300.0,5,0.7523373239582725,-2.6271897817796367e-15,-0.0010495723968291396,0.022419648351024533,0.018742513587043434,4.210071625307321e-14,4.2027461490996394e-14
memory,300.0,6,1.0076786315694335,-2.5278464036726588e-15,-0.0010098843361522995,0.027656718672844922,0.02431374101738743,4.226216779365252e-14,4.219537949648558e-14
memory,1800.0,0,-0.1818973178833403,-2.0968124863822474e-15,-0.0002108264154506523,0.04266322712417984,0.04044239656322235,4.2743765566051125e-14,4.2700453989111824e-14
memory,1800.0,1,0.7276877523636358,-1.3723217889176243e-15,-0.00013798166764139838,0.02923828014962904,0.02824427687535916,4.32679775138645e-14,4.3249317567573344e-14
memory,1800.0,2,-0.19478276985500997,-2.1464807738455435e-15,-0.00021582037035862127,0.05293043238696082,0.05060813117019431,4.293643038521227e-14,4.2892468388247946e-14
memory,1800.0,3,-0.37159766957483953,-2.1244280697042265e-15,-0.0002136030559371828,0.01943644579040626,0.017072411697461255,4.2424154056973946e-14,4.237756376528519e-14
memory,1800.0,4,0.2893647976779903,-1.769879090588527e-15,-0.0001779545223395893,0.019953151240895733,0.018290236585800132,4.299195662309679e-14,4.295964269584897e-14
memory,1800.0,5,0.6163230281017604,-1.46496317191609e-15,-0.00014729640170884755,0.022419648351024533,0.021233414956532425,4.210071625307321e-14,4.2078081927409967e-14
memory,1800.0,6,0.20950839390025067,-1.798740834303417e-15,-0.00018085645945155494,0.027656718672844922,0.025944643106827606,4.226216779365252e-14,4.2228429116769267e-14
