galaxy	point_index	outer_fold	team_release_kin	radius_kpc	log_radius_over_r1	log_surface_density	enclosed_mass_fraction	log_total_profile_mass	log_distance	log_r1_kpc	profile_concentration	log_radius_squared	log_surface_density_squared	radius_surface_interaction	profile_contrast_mod	x_q0p25	edge_valid_q0p25	sharpness_mod_q0p25	outer_mass_mod_q0p25	x_q0p5	edge_valid_q0p5	sharpness_mod_q0p5	outer_mass_mod_q0p5	x_q1	edge_valid_q1	sharpness_mod_q1	outer_mass_mod_q1	x_q2	edge_valid_q2	sharpness_mod_q2	outer_mass_mod_q2	x_q4	edge_valid_q4	sharpness_mod_q4	outer_mass_mod_q4
WALLABY J100539-282633	0	0	Hydra Kin TR2	5.412126362543e-01	-1.284698453889e+00	1.037824750588e+00	2.415429633957e-02	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	1.650450117424e+00	1.077080212934e+00	-1.333291852488e+00	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	5.191603853417e-02	1	7.464724821192e-01	-9.580177753728e-01	5.832086769412e-02	1	6.565918568111e-01	-8.663750372626e-01	7.365083917254e-02	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	1	0	Hydra Kin TR2	1.627245993005e+00	-8.066131710662e-01	1.034628456625e+00	9.624548339403e-02	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	6.506248077375e-01	1.070456043259e+00	-8.345449402739e-01	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.560942225261e-01	1	7.464724821192e-01	-9.580177753728e-01	1.753514088670e-01	1	6.565918568111e-01	-8.663750372626e-01	2.214435231121e-01	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	2	0	Hydra Kin TR2	2.713279349755e+00	-5.845718723526e-01	1.006893707948e+00	2.090142230727e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	3.417242739458e-01	1.013834939105e+00	-5.886017401151e-01	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	2.602724065180e-01	1	7.464724821192e-01	-9.580177753728e-01	2.923819500398e-01	1	6.565918568111e-01	-8.663750372626e-01	3.692362070517e-01	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	3	0	Hydra Kin TR2	3.799312706505e+00	-4.383613417587e-01	9.420080530223e-01	3.450062986946e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	1.921606659485e-01	8.873791719589e-01	-4.129399140704e-01	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	3.644505905099e-01	1	7.464724821192e-01	-9.580177753728e-01	4.094124912127e-01	1	6.565918568111e-01	-8.663750372626e-01	5.170288909912e-01	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	4	0	Hydra Kin TR2	4.885346063256e+00	-3.291710485951e-01	8.500332576897e-01	4.864973912875e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	1.083535792332e-01	7.225565391786e-01	-2.798063387744e-01	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	4.686287745018e-01	1	7.464724821192e-01	-9.580177753728e-01	5.264430323856e-01	1	6.565918568111e-01	-8.663750372626e-01	6.648215749308e-01	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	5	0	Hydra Kin TR2	5.971379420006e+00	-2.419917148325e-01	7.419390777291e-01	6.213359972893e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	5.855999004756e-02	5.504735950615e-01	-1.795431097209e-01	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	5.728069584936e-01	1	7.464724821192e-01	-9.580177753728e-01	6.434735735584e-01	1	6.565918568111e-01	-8.663750372626e-01	8.126142588703e-01	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	6	0	Hydra Kin TR2	7.057412776756e+00	-1.694208624926e-01	6.374897295124e-01	7.466764097520e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	2.870342864774e-02	4.063931552338e-01	-1.080040598042e-01	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	6.769851424855e-01	1	7.464724821192e-01	-9.580177753728e-01	7.605041147313e-01	1	6.565918568111e-01	-8.663750372626e-01	9.604069428099e-01	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	7	0	Hydra Kin TR2	8.144167750355e+00	-1.072196713462e-01	5.051499783198e-01	8.533192830169e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	1.149605792359e-02	2.551765005965e-01	-5.416201465599e-02	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	7.812325478622e-01	1	7.464724821192e-01	-9.580177753728e-01	8.776124170611e-01	1	6.565918568111e-01	-8.663750372626e-01	1.108297827868e+00	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100539-282633	8	0	Hydra Kin TR2	9.230201107105e+00	-5.285521834458e-02	3.138672203689e-01	9.311012449091e-01	9.346074164568e+00	1.172731797754e+00	1.018066381857e+00	5.677727854872e-01	2.793674106253e-03	9.851263202212e-02	-1.658952046381e-02	8.186397984887e-01	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	1.000000000000e+00	0	0.000000000000e+00	0.000000000000e+00	8.854107318540e-01	1	7.464724821192e-01	-9.580177753728e-01	9.946429582340e-01	1	6.565918568111e-01	-8.663750372626e-01	1.256090511808e+00	1	3.535200233308e-01	-5.504532605274e-01
WALLABY J100916-431959	0	1	Vela Kin TR1	2.388898391737e+00	-1.251211259115e+00	7.218106152125e-01	2.021212527079e-02	1.039478647154e+01	1.817561547854e+00	1.629408937183e+00	5.925631889430e-01	1.565529614935e+00	5.210105642335e-01	-9.031375687024e-01	7.944593386953e-01	4.447573134449e-02	1	7.715588647176e-01	-9.912840397241e-01	4.895861201701e-02	1	7.202893252952e-01	-9.441257790594e-01	5.607751250520e-02	1	6.616076490637e-01	-8.338096663718e-01	6.554115132089e-02	1	5.153368864475e-01	-6.441455375774e-01	1.224635354212e-01	1	-2.221533151301e-01	2.663933135870e-01
