hostname,pl_name,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,st_mass,st_masserr1,st_masserr2,pl_refname
"14 Her","14 Her b",2002,1765.03890000000,1.67709000000,-1.87256000000,2.7740000000,0.1090000000,-0.1200000000,0.910000,0.113000,-0.113000,"<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>"
"14 Her","14 Her b",2002,1766.41000000000,0.67000000000,-0.68000000000,2.8300000000,0.0410000000,-0.0410000000,0.969205,0.042098,-0.042098,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"14 Her","HD 145675 c",2021,15732.45889000000,2654.17497000000,-1896.09685000000,11.9240000000,1.2960000000,-1.1530000000,0.910000,0.113000,-0.113000,"<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>"
"14 Her","HD 145675 c",2021,25000.00000000000,24000.00000000000,-9200.00000000000,16.4000000000,9.3000000000,-4.3000000000,0.969205,0.042098,-0.042098,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"16 Cyg B","16 Cyg B b",1996,799.45000000000,0.15000000000,-0.15000000000,1.6760000000,0.0250000000,-0.0250000000,0.982996,0.044563,-0.044563,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"47 UMa","47 UMa b",1996,1076.60000000000,1.30000000000,-1.10000000000,2.0590000000,0.0310000000,-0.0320000000,1.005192,0.046888,-0.046888,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"47 UMa","47 UMa c",2001,2287.00000000000,19.00000000000,-16.00000000000,3.4040000000,0.0540000000,-0.0560000000,1.005192,0.046888,-0.046888,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"47 UMa","47 UMa d",2009,19000.00000000000,11000.00000000000,-4000.00000000000,13.8000000000,4.8000000000,-2.1000000000,1.005192,0.046888,-0.046888,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"51 Peg","51 Peg b",1995,4.23079690000,0.00000730000,-0.00000780000,0.0523500000,0.0007600000,-0.0007900000,1.069296,0.047439,-0.047439,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
"55 Cnc","55 Cnc b",1996,14.65171000000,0.00005300000,-0.00005200000,0.1162000000,0.0018000000,-0.0018000000,0.974708,0.045056,-0.045056,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>"
