plateifu	manga_id	visual_class	axis_bin	axis_ratio	redshift	half_light_major_axis_arcsec	valid_pca_spaxels	valid_pca_luminosity_fraction	unique_kinematic_bins	usable_kinematic_luminosity_fraction	log10_stellar_mass_aperture	log10_circularized_radius_kpc	sersic_index	pymorph_axis_ratio	visual_class_proxy	mass_concentration_0p25	centroid_shift_profile	quadrupole_1p0	m3_1p0	m4_1p0	quadrupole_inner_outer_difference	quadrupole_profile_variance	axis_twist_inner_outer_sin2	m3_inner_outer_difference	m4_inner_outer_difference	outer_multipole_energy	profile_roughness_energy	inner_outer_centroid_alignment	log10_eta_ap	log10_eta_major_axis	log10_eta_uncorrected_sigma	log10_eta_mass_weighted
10220-6101	1-146543	1	2	7.573999762535e-01	7.781816273928e-02	6.465610504150e+00	379	9.303433907628e-01	165	1.000000000000e+00	1.106329794367e+01	9.183151595925e-01	4.739799976349e+00	7.573999762535e-01	0.000000000000e+00	2.650626430796e-01	1.583157648658e-02	2.981799951842e-01	5.402732526921e-03	9.303904360419e-03	1.186450091521e-02	5.313408789962e-04	6.084775843936e-03	-4.695454306123e-03	-1.279352657093e-02	2.983740298403e-01	8.932825688839e-04	9.797392892980e-01	-1.662730406228e-01	-1.059356842071e-01	-1.504121341643e-01	-1.557683725377e-01
10499-6104	1-605515	2	1	6.183000206947e-01	9.681049734354e-02	4.670978069305e+00	157	9.001463699108e-01	154	1.000000000000e+00	1.122954728065e+01	8.183515122040e-01	2.193200111389e+00	6.183000206947e-01	1.000000000000e+00	1.736845025640e-01	3.467960731038e-02	4.112279218794e-01	3.247825065719e-03	1.795978289276e-02	-3.229654500441e-02	7.346548277058e-03	1.073212554464e-02	2.936861518979e-04	-2.487375369694e-02	4.116327318162e-01	1.815000344648e-02	9.999951787804e-01	-2.019625923664e-01	-9.756222288386e-02	-1.840221278903e-01	-1.969033978217e-01
10510-3703	1-241570	1	2	8.289999961853e-01	6.433855742216e-02	3.320380687714e+00	82	6.456719876063e-01	82	1.000000000000e+00	1.067998128916e+01	5.727391212673e-01	4.851900100708e+00	8.289999961853e-01	0.000000000000e+00	1.884353758019e-01	5.266381316647e-02	2.057238956624e-01	1.847668039360e-02	6.954106230758e-03	4.326450412682e-02	7.176283992872e-04	1.370413874788e-01	5.118587006646e-04	-6.411204553427e-02	2.066689830583e-01	9.729246537003e-03	7.436983970297e-01	-5.746060804485e-02	-1.673787232077e-02	-5.402124401053e-02	-5.544311236439e-02
10512-6101	1-77016	2	0	3.582000136375e-01	2.705476991832e-02	9.519207000732e+00	346	8.814885769800e-01	346	1.000000000000e+00	1.065931734277e+01	4.909444751815e-01	4.974899768829e+00	3.582000136375e-01	1.000000000000e+00	3.144271862617e-01	6.214777204461e-03	6.565760969583e-01	1.090422789119e-03	2.985031888376e-02	6.156905780479e-02	3.544120690512e-03	1.465064692803e-02	-3.647060158239e-03	5.477598119721e-03	6.572552028370e-01	8.770229284014e-03	8.727436462729e-01	-1.679195114651e-01	5.501768951111e-02	-1.507710970779e-01	-1.688426545183e-01
11828-3702	1-80916	2	1	5.612999796867e-01	5.389729887247e-02	3.815974950790e+00	87	8.158673536601e-01	86	1.000000000000e+00	1.064514194768e+01	4.769121185511e-01	6.387000083923e+00	5.612999796867e-01	1.000000000000e+00	1.503736996174e-01	3.915816507700e-02	3.736411942766e-01	1.489423079729e-02	2.286472184715e-02	-2.521594673668e-01	9.181030412604e-03	1.584153179333e-01	-4.200058179566e-02	-6.314911470129e-02	3.746363245557e-01	3.059699899946e-02	8.168024636358e-01	-2.342325596116e-01	-1.088300728629e-01	-2.238999581877e-01	-2.332895180054e-01
11871-9102	1-521740	2	1	6.093000173569e-01	7.798989862204e-02	1.121301746368e+01	913	7.562357044708e-01	192	1.000000000000e+00	1.096228610856e+01	1.111051677318e+00	8.000000000000e+00	6.093000173569e-01	1.000000000000e+00	2.729986886206e-01	1.714859933775e-02	4.329130296019e-01	7.559991363017e-03	2.155123165636e-02	9.505199892908e-02	1.929005123899e-03	5.138153882338e-03	-7.218763395046e-04	2.719934798436e-03	4.335150519353e-01	2.962188702572e-03	9.520669894084e-01	1.009290206200e-02	1.176773068140e-01	1.277408747913e-02	2.001759020116e-02
11872-6102	1-150467	2	2	7.753000259399e-01	5.102229118347e-02	4.746654033661e+00	186	7.650485332159e-01	135	1.000000000000e+00	1.039593162708e+01	6.195010806381e-01	3.881599903107e+00	7.753000259399e-01	1.000000000000e+00	7.678216970174e-02	4.924986253258e-02	2.374243677710e-01	7.155316725654e-03	1.320019967907e-02	3.308276142115e-02	2.571602969320e-02	8.852698328221e-02	-7.577838085991e-04	4.167705429014e-03	2.378986638056e-01	5.706674891277e-02	8.635175520899e-01	-4.560357429922e-01	-4.007706422423e-01	-3.929025571796e-01	-4.515532550665e-01
11951-3702	1-249695	1	1	7.067000269890e-01	5.406517535448e-02	6.747047901154e+00	387	8.898896562354e-01	70	1.000000000000e+00	1.072224382309e+01	7.757049194613e-01	6.320700168610e+00	7.067000269890e-01	0.000000000000e+00	1.850580782878e-01	2.422185645176e-02	2.993954994463e-01	5.891514651073e-03	1.223815357281e-02	3.213477947046e-02	1.584002452646e-03	2.039733277768e-02	-3.726615124966e-03	4.368369893141e-03	2.997034324736e-01	6.266309160405e-03	7.649629210563e-01	-1.763544817709e-01	-1.009720357211e-01	-1.673037249724e-01	-1.729603878306e-01
11967-3701	1-632581	1	2	8.741999864578e-01	3.428176417947e-02	5.686401844025e+00	239	6.529001325661e-01	237	1.000000000000e+00	1.060170483316e+01	5.599778342149e-01	5.122000217438e+00	8.741999864578e-01	0.000000000000e+00	2.551809073909e-01	2.985354907600e-02	2.088789986626e-01	1.800139166186e-02	9.623723718028e-03	-6.298288089483e-02	8.378707401957e-03	1.216742829934e-01	-2.458892881491e-02	-1.761380902953e-02	2.098740151668e-01	1.853152230072e-02	9.979184301130e-01	1.596676324505e-02	4.516136553205e-02	2.502733391570e-02	4.902531541894e-03
11975-3702	1-325492	2	1	5.519000291824e-01	3.595609962940e-02	1.050255393982e+01	620	9.195131429419e-01	473	1.000000000000e+00	1.084101501812e+01	7.463996698318e-01	5.512899875641e+00	5.519000291824e-01	1.000000000000e+00	3.238966167820e-01	9.500805452990e-03	3.500593112180e-01	2.618704630263e-03	4.776728042588e-03	-4.241651303064e-02	3.566812299992e-03	1.590379710684e-02	-5.898312537577e-03	-1.690847094018e-02	3.501016939621e-01	8.151634436799e-03	7.498742639788e-01	-2.636163119790e-01	-1.345465204935e-01	-2.526194261810e-01	-2.652166502732e-01
