plateifu	manga_id	visual_class	axis_bin	axis_ratio	redshift	half_light_major_axis_arcsec	valid_pca_spaxels	valid_pca_luminosity_fraction	unique_kinematic_bins	usable_kinematic_luminosity_fraction	log10_stellar_mass_aperture	log10_circularized_radius_kpc	sersic_index	pymorph_axis_ratio	visual_class_proxy	mass_concentration_0p25	centroid_shift_profile	quadrupole_1p0	m3_1p0	m4_1p0	quadrupole_inner_outer_difference	quadrupole_profile_variance	axis_twist_inner_outer_sin2	m3_inner_outer_difference	m4_inner_outer_difference	outer_multipole_energy	profile_roughness_energy	inner_outer_centroid_alignment	log10_eta_ap	log10_eta_major_axis	log10_eta_uncorrected_sigma	log10_eta_mass_weighted
12078-6102	1-34944	1	2	8.810999989510e-01	4.773617535830e-02	5.163166522980e+00	245	7.823877398310e-01	245	1.000000000000e+00	1.088352093149e+01	6.565860809936e-01	5.341000080109e+00	8.810999989510e-01	0.000000000000e+00	1.549796101301e-01	6.143387816880e-02	3.384396898023e-01	8.117867527724e-02	5.452179187434e-02	1.738528003990e-01	6.338509122850e-03	4.724686361281e-02	5.049722773770e-02	2.399506484946e-02	3.522840143158e-01	1.939045067108e-02	-7.821919779813e-01	4.266345749538e-01	4.541219745911e-01	4.290192393673e-01	3.998730442048e-01
12674-1901	1-594481	2	0	4.736000001431e-01	2.987404540181e-02	5.752573013306e+00	132	6.679306482323e-01	132	1.000000000000e+00	1.039435853764e+01	3.744280506479e-01	6.969099998474e+00	4.736000001431e-01	1.000000000000e+00	2.863690829207e-01	3.290737912122e-02	5.299237109880e-01	2.381503082267e-03	2.998503997436e-02	-6.976591333032e-03	3.512772120971e-03	2.168648523516e-02	-1.701262082711e-02	-1.444395566905e-02	5.307767078975e-01	6.302852083842e-03	9.121962786192e-01	7.670244390396e-02	2.389965969809e-01	1.006727178678e-01	7.975873901566e-02
7961-3704	1-547552	2	2	8.618000149727e-01	4.901184141636e-02	3.495373249054e+00	112	8.066030619526e-01	110	1.000000000000e+00	1.028632449884e+01	4.931506480421e-01	4.815700054169e+00	8.618000149727e-01	1.000000000000e+00	1.961241618855e-01	4.320172065623e-02	1.241251032469e-01	6.462581380255e-04	8.325820118506e-03	-1.518974486280e-01	1.694057053570e-02	1.333131262418e-01	-4.001662498339e-02	-1.620487107085e-02	1.244056999750e-01	1.672888290542e-02	9.219483375673e-01	-3.242547298278e-01	-2.919579784766e-01	-2.772962048488e-01	-3.077999203322e-01
7964-6103	1-179135	2	1	7.477999925613e-01	4.890354209793e-02	6.089806556702e+00	324	8.755662546794e-01	191	1.000000000000e+00	1.032963873122e+01	7.025451113334e-01	5.023200035095e+00	7.477999925613e-01	1.000000000000e+00	2.793412533861e-01	1.683554232235e-02	2.471367929050e-01	1.693188026150e-02	1.196997541589e-02	-6.747756250733e-02	2.133518625100e-03	5.551577152885e-02	-3.123723823098e-03	6.889452194013e-04	2.480051678656e-01	1.914057582809e-03	1.355848568821e-01	-5.510965528234e-01	-4.879892810724e-01	-4.467246081195e-01	-5.580719198949e-01
7977-3702	1-114928	1	0	5.281000137329e-01	2.732887930961e-02	1.038727760315e+01	536	7.993845015459e-01	518	1.000000000000e+00	1.060471832649e+01	6.173755649115e-01	6.218500137329e+00	5.281000137329e-01	0.000000000000e+00	3.362497332264e-01	1.096731238461e-02	3.440627385791e-01	1.076784765993e-03	4.335012024037e-03	-1.396480386513e-01	7.850478923190e-03	2.039084364248e-02	-5.378806026451e-03	-2.016883693783e-02	3.440917317711e-01	8.389516265829e-03	-6.731433913309e-01	-1.506280805821e-01	-1.198616997314e-02	-1.194151136046e-01	-1.433372719363e-01
7990-3701	1-23894	1	1	6.306999921799e-01	3.039395823218e-02	7.152552127838e+00	405	9.685847968482e-01	351	1.000000000000e+00	1.042392598185e+01	5.384547586725e-01	4.337900161743e+00	6.306999921799e-01	0.000000000000e+00	2.626399893234e-01	7.801888879478e-03	3.793083687610e-01	8.464965043426e-04	1.656010495973e-02	9.129572020989e-03	3.071603632259e-03	9.923843945560e-03	-2.430841348826e-03	-6.981773634428e-03	3.796706365321e-01	5.852479871331e-03	7.647422472836e-01	-2.618664927758e-01	-1.617779055800e-01	-2.394639457468e-01	-2.584902984172e-01
8078-9102	1-36878	1	0	4.411999881268e-01	2.316906008137e-02	1.063255977631e+01	541	8.722313782473e-01	541	1.000000000000e+00	1.046201194404e+01	5.189330969454e-01	4.253300189972e+00	4.411999881268e-01	0.000000000000e+00	3.510377390179e-01	2.376578033365e-02	6.208028755884e-01	1.706812726643e-03	2.093655149938e-02	5.802907548837e-03	3.368750981610e-04	4.868438577550e-02	-4.655978166208e-03	-1.523758560406e-02	6.211581624169e-01	7.419209962123e-04	9.498564473482e-01	-3.991338440068e-01	-2.214515900472e-01	-3.813078397762e-01	-4.059476721455e-01
8092-3702	1-40814	1	2	8.496000170708e-01	4.309347644448e-02	4.736951828003e+00	234	9.503410703674e-01	90	1.000000000000e+00	1.006629729703e+01	5.692228857111e-01	5.049300193787e+00	8.496000170708e-01	0.000000000000e+00	1.464839172240e-01	1.808444688923e-02	1.238270018908e-01	4.601403196729e-03	7.060742566891e-03	-7.202729609820e-02	5.394199122633e-03	5.812892679854e-02	-1.718206611339e-02	-1.008868558757e-02	1.241134698340e-01	6.966753691509e-03	5.938321294836e-01	7.513972852564e-02	1.105324722939e-01	1.063725288788e-01	7.595585161705e-02
8131-3701	1-338090	1	1	6.808000206947e-01	8.061658796345e-02	6.844741344452e+00	391	8.548107722317e-01	306	1.000000000000e+00	1.114792513387e+01	9.338403878328e-01	3.413500070572e+00	6.808000206947e-01	0.000000000000e+00	6.218212756542e-02	2.672214617776e-02	3.297809289153e-01	3.436958714201e-03	1.783406840901e-02	-3.886449009916e-03	2.422575769344e-02	7.464482306820e-02	-2.779227503019e-03	-6.794035043983e-03	3.302806802668e-01	5.719201804583e-02	9.664315669137e-01	-2.864083644098e-01	-2.029181445488e-01	-2.817035197443e-01	-2.920745284090e-01
8135-3701	1-43241	1	0	4.573000073433e-01	9.552666425346e-02	4.236130714417e+00	85	8.422581253033e-01	85	1.000000000000e+00	1.105862649696e+01	7.052575378253e-01	4.482100009918e+00	4.573000073433e-01	0.000000000000e+00	1.786802517593e-01	1.687065565521e-02	4.724518824697e-01	7.310860305788e-03	2.275435484431e-02	-3.220514358698e-02	4.844834511441e-03	2.873365536426e-02	-2.595689502661e-03	-1.616924189347e-02	4.730560121085e-01	9.227224863320e-03	-9.980855907405e-01	-2.096720199044e-01	-3.977262408166e-02	-2.073531632643e-01	-2.089876900614e-01
8141-6101	1-44100	1	0	5.436000227928e-01	4.581048550940e-02	6.162868976593e+00	153	6.688862177564e-01	153	1.000000000000e+00	1.087649549916e+01	6.116899664131e-01	3.256099939346e+00	5.436000227928e-01	0.000000000000e+00	2.958481050119e-01	2.630506974348e-02	4.034964615165e-01	1.936544717680e-02	8.137728249549e-03	6.916354534086e-02	8.099818739213e-03	7.267935681181e-03	-2.414851616892e-03	9.503006118173e-04	4.040428660696e-01	2.361334214023e-02	9.966002033898e-01	-2.006178972865e-01	-6.825763042155e-02	-1.833083568821e-01	-1.980528315294e-01
8148-3704	1-584701	2	2	8.136000037193e-01	2.261229977012e-02	1.759712982178e+01	698	7.414811977324e-01	684	1.000000000000e+00	1.042497396553e+01	8.603527403332e-01	4.987699985504e+00	8.136000037193e-01	1.000000000000e+00	6.019375987503e-01	5.014141853192e-03	5.816170465328e-02	4.481768782119e-04	5.532889303399e-04	-3.876365523097e-02	3.770453544711e-04	8.804610122198e-03	-5.581870795921e-03	-8.423347460006e-03	5.816606295195e-02	5.301188466298e-04	0.000000000000e+00	1.238719427278e-01	1.686664717778e-01	1.386488833464e-01	1.223047487467e-01
8158-3701	1-583694	1	0	4.988999962807e-01	2.670670965867e-02	6.571501255035e+00	250	8.872656911226e-01	250	1.000000000000e+00	1.065452252234e+01	3.965105935334e-01	3.231100082397e+00	4.988999962807e-01	0.000000000000e+00	1.489029084738e-01	1.136432099714e-02	5.808040762529e-01	6.539897830921e-03	4.114193127749e-02	1.325327604436e-01	4.516097910263e-03	4.159277701738e-03	-1.268550540691e-02	1.648888875414e-02	5.822961478190e-01	1.433472519886e-02	-1.280956102509e-01	-4.793408195108e-01	-3.283475698616e-01	-4.625827164140e-01	-4.801463347422e-01
8243-3702	1-47302	2	1	6.858999729156e-01	4.473402886992e-02	4.302302360535e+00	163	1.000000000000e+00	122	1.000000000000e+00	1.024518534680e+01	4.963271888886e-01	4.617300033569e+00	6.858999729156e-01	1.000000000000e+00	1.910707246175e-01	2.832188580102e-02	2.810569652571e-01	1.002316029683e-03	1.505793311573e-02	-7.061993584639e-02	1.811174972986e-03	1.701274837132e-02	-1.400957408614e-02	-2.738593811004e-02	2.814618334813e-01	2.736440081538e-03	9.649789313341e-01	-2.567261155460e-01	-1.748565084007e-01	-2.476016471600e-01	-2.586552929238e-01
8248-1901	1-482004	2	2	8.090000152588e-01	2.996085956693e-02	4.503034591675e+00	202	9.959496198497e-01	200	1.000000000000e+00	1.020854932187e+01	3.855545909162e-01	3.846699953079e+00	8.090000152588e-01	1.000000000000e+00	1.564543436298e-01	1.856176625562e-02	1.522192581160e-01	1.605680612817e-03	5.233052365116e-03	-1.104914565381e-01	1.765024401453e-03	2.710268942924e-02	-1.078048421706e-02	-1.925128077690e-02	1.523176470035e-01	7.311139789391e-03	6.578082309502e-01	-3.779178974725e-01	-3.318921623743e-01	-2.659996606259e-01	-3.813959323927e-01
8248-9102	1-481051	2	2	8.546000123024e-01	7.672137767076e-02	4.278502941132e+00	175	8.383718958486e-01	128	1.000000000000e+00	1.091448063672e+01	7.596060964798e-01	4.187500000000e+00	8.546000123024e-01	1.000000000000e+00	2.123234833247e-01	1.917037309276e-02	1.434652321874e-01	7.448087256230e-03	8.846178211696e-03	-1.546794651975e-01	4.639916390620e-03	4.986266248829e-02	-1.469488829184e-02	-6.092822830689e-03	1.439305447753e-01	5.292686677834e-03	-8.446679667879e-01	-2.099335407079e-01	-1.758149880744e-01	-2.062469651584e-01	-2.071645042297e-01
8255-6103	1-255963	1	1	7.434999942780e-01	8.980802439793e-02	1.134805297852e+01	1085	9.003077771105e-01	178	1.000000000000e+00	1.114568672106e+01	1.214803010574e+00	7.966000080109e+00	7.434999942780e-01	0.000000000000e+00	3.982165120238e-01	7.182925552667e-03	1.788130983645e-01	1.889829847523e-03	1.882033763754e-03	-1.390895404215e-02	1.652371732919e-04	6.217156091569e-04	-1.577256217385e-03	-4.351690154827e-03	1.788329881611e-01	6.434453488265e-04	-9.901426294945e-01	2.528340125144e-02	8.964291649362e-02	3.464389132817e-02	2.482525292889e-02
8261-6103	1-258380	1	1	6.733000278473e-01	6.649526498685e-02	4.656167984009e+00	138	8.421350363676e-01	138	1.000000000000e+00	1.087014086536e+01	6.876278996855e-01	4.126399993896e+00	6.733000278473e-01	0.000000000000e+00	2.234092861254e-01	1.246870493634e-02	2.310790033851e-01	8.701707104675e-03	6.654777350716e-03	-9.456224213430e-02	2.980228569194e-03	4.975489448985e-03	-1.761732299068e-03	-2.129397145661e-02	2.313385215946e-01	2.777653735068e-03	4.274535768659e-01	-4.057784678685e-01	-3.198827840835e-01	-3.919189225049e-01	-4.006888967932e-01
8313-3701	1-633587	1	1	7.378000020981e-01	7.281789149380e-02	4.786808490753e+00	161	6.238438760637e-01	134	1.000000000000e+00	1.072487530009e+01	7.557462032086e-01	5.500800132751e+00	7.378000020981e-01	0.000000000000e+00	1.889975484409e-01	4.342439365925e-02	2.812463371832e-01	1.877785378498e-02	1.048008795799e-02	-6.970118644440e-02	1.051545807756e-03	9.446230504077e-02	-1.908592423299e-02	-1.681402765629e-02	2.820672654091e-01	1.627352203151e-03	5.877951338686e-01	3.352166179998e-02	9.955233573708e-02	3.971896343008e-02	3.588795782926e-02
8317-3704	1-284230	2	2	8.335999846458e-01	4.560492884792e-02	4.207025051117e+00	184	9.854696145057e-01	114	1.000000000000e+00	1.016184902256e+01	5.368741701474e-01	3.196199893951e+00	8.335999846458e-01	1.000000000000e+00	1.340640077197e-01	2.040451146024e-02	1.433143087422e-01	7.952372461038e-03	5.255826997630e-03	-1.977549971244e-02	3.746789254364e-03	1.602655927573e-02	-6.979331996045e-03	-5.050581900711e-03	1.436309682326e-01	7.508840151463e-03	6.526254056102e-01	-1.541400328660e-01	-1.146188818440e-01	-6.430505112570e-02	-1.492687580574e-01
8332-3701	1-575778	2	1	6.768000125885e-01	6.368001505797e-02	4.851712703705e+00	191	9.332844711947e-01	191	1.000000000000e+00	1.070881473957e+01	6.892667768310e-01	5.217299938202e+00	6.768000125885e-01	1.000000000000e+00	2.098795925822e-01	8.293849636159e-03	3.200302928617e-01	3.484365016231e-03	1.678582757457e-02	-5.513799259225e-02	6.585579103146e-03	1.018505126340e-01	1.354528352240e-03	-1.290148496051e-02	3.204891467056e-01	9.956529088541e-03	-1.378345936454e-01	-7.037459875685e-01	-6.189761666230e-01	-6.767625941991e-01	-6.948786491970e-01
8341-3701	1-259079	2	2	9.000999927521e-01	4.990704873924e-02	6.347087860107e+00	419	6.776528894855e-01	214	1.000000000000e+00	1.050347284881e+01	7.690739371461e-01	7.892499923706e+00	9.000999927521e-01	1.000000000000e+00	1.834006382920e-01	2.497835781685e-02	9.513618011562e-02	5.721111820633e-03	2.868221969854e-03	-1.517410892606e-01	3.015209426035e-02	5.500112505231e-02	-5.831881311712e-03	-1.061528820516e-02	9.535119603195e-02	3.389390548388e-02	-9.937468500624e-01	-1.400587716704e-01	-1.172041507725e-01	-1.212900590677e-01	-1.239830195307e-01
8441-1901	1-252463	2	0	4.575999975204e-01	3.171280026436e-02	3.519608497620e+00	69	9.250192817531e-01	69	1.000000000000e+00	1.013906445209e+01	1.785800575532e-01	2.975899934769e+00	4.575999975204e-01	1.000000000000e+00	1.394670566326e-01	2.987528774587e-02	5.445578312143e-01	8.460751782154e-03	2.900439517576e-02	-6.746459010767e-02	6.187370860438e-03	4.013752268059e-02	-3.706488687980e-02	-3.133283014544e-02	5.453953344108e-01	8.754754110186e-03	9.814088275458e-01	-6.219058266601e-01	-4.521488333759e-01	-4.780190958295e-01	-6.285409704935e-01
8441-6101	1-262174	1	1	5.823000073433e-01	2.904980070889e-02	8.887824058533e+00	557	8.778042186016e-01	305	1.000000000000e+00	1.034410488532e+01	5.965078160537e-01	4.632299900055e+00	5.823000073433e-01	0.000000000000e+00	2.830373533031e-01	7.539089681310e-03	3.803725163596e-01	3.714109799114e-03	1.996848294911e-02	2.489987477964e-02	1.630313002708e-04	2.987421935912e-02	-4.924362351163e-03	-9.508214412534e-05	3.809144078722e-01	5.663316131954e-04	4.478633755874e-01	8.885112900085e-02	2.062777312084e-01	1.090838953730e-01	9.454223885530e-02
8567-3702	1-378394	2	0	4.954000115395e-01	8.077188462620e-02	3.325766563416e+00	59	7.906869390369e-01	57	1.000000000000e+00	1.093614120191e+01	5.521008061504e-01	4.388199806213e+00	4.954000115395e-01	1.000000000000e+00	1.255860853147e-01	3.278754618856e-02	5.427892343546e-01	2.165324321380e-03	2.537770778990e-02	-2.254564734858e-02	2.530406732127e-03	3.489295058707e-02	-2.850052021450e-02	-3.138775391815e-02	5.433864827297e-01	5.864254583099e-03	2.382992667987e-01	-3.878881873636e-01	-2.353661935466e-01	-3.865058363744e-01	-3.885270323875e-01
8588-3704	1-95093	2	2	8.346999883652e-01	2.997864490934e-02	7.794943332672e+00	576	9.366436777749e-01	364	1.000000000000e+00	1.031999183297e+01	6.309016673281e-01	8.000000000000e+00	8.346999883652e-01	1.000000000000e+00	3.334448899590e-01	1.580945123475e-02	1.415536954027e-01	1.113095681834e-02	1.303447583023e-02	1.103063182431e-02	1.735254432576e-03	1.922843975608e-02	2.224499891908e-03	4.387273470292e-03	1.425876728263e-01	2.976057651059e-03	8.967781078974e-01	-6.360315077539e-01	-5.967967114778e-01	-4.174618442549e-01	-6.595637230699e-01
8612-1902	1-95825	2	0	3.736000061035e-01	3.315604582907e-02	3.753921508789e+00	67	1.000000000000e+00	67	1.000000000000e+00	1.041079363893e+01	1.811083998093e-01	2.795000076294e+00	3.736000061035e-01	1.000000000000e+00	1.189694241646e-01	1.662020721785e-02	6.170598853394e-01	6.087953985704e-03	3.583761842516e-02	-1.183658481579e-01	2.319442356559e-03	8.395226042369e-03	-2.208311510523e-02	-3.783082066147e-02	6.181296790910e-01	4.349389579052e-03	-4.631443243121e-01	-3.564018109477e-01	-1.426052482743e-01	-3.507639473578e-01	-3.587148722466e-01
8613-3704	1-176829	1	2	9.397000074387e-01	3.739790905525e-02	7.072679042816e+00	519	7.738125518351e-01	417	1.000000000000e+00	1.071518858874e+01	7.065796543919e-01	4.429900169373e+00	9.397000074387e-01	0.000000000000e+00	2.072445242399e-01	2.572899820873e-02	5.737231221998e-02	6.467945936558e-03	2.717294207359e-03	3.565579338225e-02	4.003536314280e-04	2.782191570204e-02	-4.599906095512e-02	-5.270038260007e-04	5.779965589789e-02	2.587896706539e-03	9.992450597498e-01	1.381673818474e-02	2.732212303812e-02	4.622846765378e-02	1.372468401423e-02
8723-3701	1-352623	2	0	4.627000093460e-01	6.712622195482e-02	6.714615821838e+00	250	8.494055790103e-01	178	1.000000000000e+00	1.090277231121e+01	7.689462826661e-01	5.542200088501e+00	4.627000093460e-01	1.000000000000e+00	1.746139190716e-01	1.118979671516e-02	5.410541809127e-01	3.956197361103e-03	3.172410830968e-02	-9.205922694887e-03	1.007564161399e-03	5.826803644098e-02	-1.329882376307e-02	-1.524865007556e-02	5.419978756680e-01	1.915361723669e-03	-1.391141183693e-01	-5.576226050039e-03	1.617740198139e-01	1.323878233746e-03	-5.843948227573e-03
8931-6102	1-455685	1	2	8.129000067711e-01	2.657530166198e-02	1.016773509979e+01	1026	9.380437528859e-01	226	9.841772542630e-01	1.004714873256e+01	6.900085020858e-01	4.873300075531e+00	8.129000067711e-01	0.000000000000e+00	2.417217475567e-01	1.208471563231e-02	1.476670457275e-01	5.186989364805e-03	2.117736741400e-03	4.845520202375e-02	1.522235006173e-03	1.628521265732e-02	2.673037822912e-04	-5.130860506178e-03	1.477732927882e-01	1.399629954426e-03	9.838297910705e-01	-5.429299254910e-01	-4.979484890762e-01	-4.248310111235e-01	-5.474622252278e-01
8977-6101	1-121277	2	0	5.407999753952e-01	5.412402863271e-02	7.448363780975e+00	377	9.834293672424e-01	124	1.000000000000e+00	1.080270874431e+01	7.609950884383e-01	4.542300224304e+00	5.407999753952e-01	1.000000000000e+00	3.097589293804e-01	7.913994678384e-03	4.428983082854e-01	8.538674572003e-04	1.968142333968e-02	5.997973350241e-02	8.143450814519e-04	2.515679316034e-02	-2.651641041072e-03	-4.779213237245e-03	4.433362143975e-01	2.358869951202e-03	9.990957760950e-01	-3.932946634945e-01	-2.598129950818e-01	-3.659812000859e-01	-3.911058295448e-01
8992-9102	1-149541	1	2	8.476999998093e-01	3.474204912234e-02	1.324394321442e+01	1559	8.691158784763e-01	648	1.000000000000e+00	1.098198619975e+01	9.260263589854e-01	4.221499919891e+00	8.476999998093e-01	0.000000000000e+00	4.543797974796e-01	8.572379179751e-03	9.754576253715e-02	2.046958861753e-03	4.212618296804e-03	-9.547995538352e-03	2.454086746770e-04	1.487722394778e-02	-1.039398119813e-02	-4.244842649363e-03	9.765813833189e-02	1.002739127666e-03	6.565487919500e-01	-1.957459999625e-01	-1.598670914923e-01	-1.882259451921e-01	-1.816552755174e-01
9041-3703	1-264054	1	0	5.388000011444e-01	3.159042886863e-02	6.279728412628e+00	190	6.159606727376e-01	190	1.000000000000e+00	1.053257856202e+01	4.638819932107e-01	3.812999963760e+00	5.388000011444e-01	0.000000000000e+00	2.180014036553e-01	2.841465752668e-02	4.724644724708e-01	1.313845193084e-03	3.246601493219e-02	-5.762433247298e-02	1.146400731138e-03	7.581120969690e-02	-2.836893638790e-02	-8.766647435556e-03	4.735804536315e-01	6.132869779592e-03	6.359001488237e-01	-1.894502963131e-02	1.153411763820e-01	-1.445534471643e-02	-1.627232149429e-02
9042-6103	1-375009	1	0	4.517999887466e-01	7.316254481843e-02	4.069692134857e+00	78	8.235108591867e-01	78	1.000000000000e+00	1.092444788586e+01	5.806415012026e-01	3.282399892807e+00	4.517999887466e-01	0.000000000000e+00	1.179570195086e-01	4.298686253961e-02	6.077388450303e-01	7.634375960192e-03	3.588287061049e-02	-8.422778994742e-02	1.659655189308e-03	9.328020512180e-03	-2.858960592767e-02	-3.929760855830e-02	6.088451099075e-01	6.240495650174e-03	9.664867005533e-01	-3.171858608156e-01	-1.446589686991e-01	-3.092097800455e-01	-3.186253166027e-01
9043-12702	1-632505	1	1	7.439000010490e-01	7.417215479292e-02	2.144613265991e+01	2109	9.201827347727e-01	178	1.000000000000e+00	1.122633440265e+01	1.416153683358e+00	8.000000000000e+00	7.439000010490e-01	0.000000000000e+00	5.713222439305e-01	3.403988532966e-03	2.952801593328e-01	2.049300423129e-03	1.394545956244e-03	2.060022191595e-02	4.772137368120e-04	8.847796208549e-03	-3.230224093757e-04	-8.302183690888e-03	2.952905634901e-01	5.235280886944e-04	0.000000000000e+00	2.589026130542e-01	3.231453333938e-01	2.673874797785e-01	2.593106051298e-01
