group,R_kpc,z_kpc,r_kpc,coarse_base_relative,base_fine_relative,converged,response_R,response_z,point_R,point_z,strength_ratio,vector_relative_to_point,angle_from_inward_degrees
grid,0.5,0.5,0.7071067811865476,0.001980028864922044,0.00023639073150487195,True,-261.52590988778985,-530.6101394366062,-3045.0692635812534,-3045.0692635812534,0.1373682713953254,0.8710526720538005,18.762339751937777
grid,0.5,2,2.0615528128088303,5.145894446821261e-06,3.234558708200956e-08,True,-220.1415706139482,-1447.1193559618002,-957.7184226306,-3830.8736905224,0.3706892099471485,0.631906569245312,5.386497331954098
grid,0.5,8,8.0156097709407,5.2472989733112775e-11,6.440126232631439e-14,True,-105.94099036276752,-2101.600416830291,-177.05111376945058,-2832.8178203112093,0.7413717304025926,0.2588363598979656,0.6905156141030993
grid,0.5,32,32.00390601161052,8.545700479825344e-17,8.89006245357464e-15,True,-16.870802518891548,-1125.3025107104268,-18.385933363774395,-1176.6997352815613,0.9563116053213794,0.043692774530679546,0.03624612410650682
grid,1,0.5,1.118033988749895,0.0031614062879561184,0.0007543457460650475,True,-511.01845201365575,-515.2673482535406,-3749.702484353441,-1874.8512421767205,0.17310325210849578,0.837842750133155,18.67215607181335
grid,1,2,2.23606797749979,1.1798152167470601e-05,1.2596275405224074e-07,True,-434.86658242919293,-1426.5230697472075,-1746.9659305945029,-3493.9318611890058,0.38177323070724006,0.6268354433830565,9.61153837892006
grid,1,8,8.06225774829855,8.499056726976116e-11,4.259905537184932e-14,True,-211.0833840679003,-2092.902335931134,-351.23837369531304,-2809.9069895625044,0.7428275616166948,0.257991781410697,1.3658236793163099
grid,1,32,32.01562118716424,8.287570090765797e-15,2.0621696607943178e-14,True,-33.72134670031107,-1124.607144599856,-36.746372761731294,-1175.8839283754014,0.9563559819519444,0.043661514256081925,0.07241119606855018
grid,2,0.5,2.0615528128088303,0.007848801741401474,0.001547299169966001,True,-951.6213649893559,-469.33754888986107,-3830.8736905224,-957.7184226306,0.26870767867694256,0.7395658023321148,12.21616955888863
grid,2,2,2.8284271247461903,4.738924461576998e-05,9.802143382850656e-07,True,-830.7960359698094,-1352.0839285244128,-2664.269602711935,-2664.269602711935,0.4211774737752214,0.598392843363957,13.43110646753714
