galaxy,model,x,r_kpc,g_extra_kms2_per_kpc,equivalent_halo_v_kms
CamB,Burkert-Flat,0.03,1.8377999999999999,173.80603873240202,17.87234562060639
CamB,Burkert-Flat,0.06,3.6755999999999998,339.6125305039998,35.3310036245859
CamB,Burkert-Flat,0.1,6.126,548.2602820700739,57.953796147976995
CamB,Burkert-Flat,0.2,12.252,1008.2421522658955,111.14397351886313
CamB,Burkert-Flat,0.4,24.504,1676.7088355754706,202.69699876155377
CamB,Burkert-Flat,0.7,42.882,2164.3483940397637,304.64994310390597
CamB,Burkert-Flat,1.0,61.26,2261.0122595320267,372.1687937199087
CamB,Burkert-Flat,1.5,91.89,2065.81472133783,435.69222479146123
CamB,Burkert-Flat,2.0,122.52,1769.581627721905,465.6276849892925
CamB,Burkert-Flat,0.045,2.7567,257.7089313634674,26.653821697641607
CamB,Burkert-Flat,0.08,4.9008,445.7096878468544,46.736859524361115
CamB,Burkert-Flat,0.15,9.189,789.1845361014169,85.1575992042749
CamB,Burkert-Flat,0.3,18.378,1382.5767356227764,159.40199260760633
CamB,Burkert-Flat,0.55,33.693000000000005,1985.3937231188997,258.63849425993243
CamB,Burkert-Flat,0.85,52.071,2246.638260060638,342.0302630464408
CamB,Burkert-Flat,1.25,76.575,2192.6629921053927,409.759891424808
CamB,Burkert-Flat,1.75,107.205,1918.4245737499816,453.5027082927585
CamB,Burkert-Flat,3.0,183.78,1272.8397442998523,483.6553403069451
CamB,Burkert-Flat,5.0,306.3,728.085058406575,472.24194370040226
CamB,Burkert-Flat,8.0,490.08,394.2274208433987,439.54860300873764
CamB,Burkert-Flat,12.0,735.12,220.13825760555125,402.2785551467948
CamB,NFW-Flat,0.03,1.5501,68.8401843590337,10.330013057829992
CamB,NFW-Flat,0.06,3.1002,66.24547872132646,14.330883892204845
CamB,NFW-Flat,0.1,5.167000000000001,63.033228973902055,18.046958029212345
CamB,NFW-Flat,0.2,10.334000000000001,56.05307558222847,24.06766467829293
CamB,NFW-Flat,0.4,20.668000000000003,45.435311833100705,30.644037347688467
CamB,NFW-Flat,0.7,36.169,34.74257578726752,35.4486138466609
CamB,NFW-Flat,1.0,51.67,27.6629051303256,37.80664370297797
CamB,NFW-Flat,1.5,77.505,20.133225712630406,39.50222346726092
CamB,NFW-Flat,2.0,103.34,15.466017583385,39.97822228497668
CamB,NFW-Flat,0.045,2.32515,67.52183558159253,12.529900079511403
CamB,NFW-Flat,0.08,4.1336,64.60576440371246,16.341798791417848
CamB,NFW-Flat,0.15,7.7505,59.37126634196844,21.451270353604386
CamB,NFW-Flat,0.3,15.501,50.27889539127652,27.917255550289635
CamB,NFW-Flat,0.55,28.4185,39.494311556001946,33.50177745962505
CamB,NFW-Flat,0.85,43.9195,30.869755682500564,36.820975471836476
CamB,NFW-Flat,1.25,64.5875,23.408155343730485,38.88282697108317
CamB,NFW-Flat,1.75,90.4225,17.548471341468684,39.83436518728461
CamB,NFW-Flat,3.0,155.01,10.1256982114147,39.61798177281867
CamB,NFW-Flat,5.0,258.35,5.490704279465615,37.663290490873756
CamB,NFW-Flat,8.0,413.36,2.9278486879809336,34.788727106115836
CamB,NFW-Flat,12.0,620.04,1.633000560361606,31.820208475850848
CamB,NFW-LCDM,0.03,0.4023,246.62229850545336,9.960730429478748
CamB,NFW-LCDM,0.06,0.8046,237.32667743362452,13.818576072196958
CamB,NFW-LCDM,0.1,1.3410000000000002,225.8186836149036,17.4018060765998
CamB,NFW-LCDM,0.2,2.6820000000000004,200.81204702025195,23.207281402790716
CamB,NFW-LCDM,0.4,5.364000000000001,162.77354777480156,29.548558514148127
CamB,NFW-LCDM,0.7,9.386999999999999,124.46645773009806,34.181378537332726
CamB,NFW-LCDM,1.0,13.41,99.10329715268882,36.45511232759484
CamB,NFW-LCDM,1.5,20.115000000000002,72.12796490610245,38.090077632977476
CamB,NFW-LCDM,2.0,26.82,55.40753326933284,38.549060199744254
CamB,NFW-LCDM,0.045,0.6034499999999999,241.89926923480715,12.081974756625854
CamB,NFW-LCDM,0.08,1.0728,231.4523452006778,15.757603749659626
CamB,NFW-LCDM,0.15,2.0115,212.69957811369883,20.684419290270277
CamB,NFW-LCDM,0.3,4.023,180.12585037600437,26.919255117158528
CamB,NFW-LCDM,0.55,7.375500000000001,141.4897125061739,32.30413866038353
CamB,NFW-LCDM,0.85,11.3985,110.59194817105418,35.50468027215231
CamB,NFW-LCDM,1.25,16.7625,83.8605115369066,37.492823641830405
CamB,NFW-LCDM,1.75,23.4675,62.86799458465065,38.410345779689216
CamB,NFW-LCDM,3.0,40.230000000000004,36.27565774442829,38.201697750994654
CamB,NFW-LCDM,5.0,67.05,19.670634563572904,36.316883779966076
CamB,NFW-LCDM,8.0,107.28,10.489117364068742,33.54508176793276
CamB,NFW-LCDM,12.0,160.92000000000002,5.850279969568718,30.682683270910292
D512-2,Burkert-Flat,0.03,0.048600000000000004,33.29682960303959,1.272095090277344
D512-2,Burkert-Flat,0.06,0.09720000000000001,65.06114886295175,2.5147452494196925
D512-2,Burkert-Flat,0.1,0.16200000000000003,105.03276711983656,4.124961608719956
D512-2,Burkert-Flat,0.2,0.32400000000000007,193.1536291111665,7.910864417496862
D512-2,Burkert-Flat,0.4,0.6480000000000001,321.2148944837517,14.427309230257428
D512-2,Burkert-Flat,0.7,1.134,414.63426819657116,21.68398626025463
D512-2,Burkert-Flat,1.0,1.62,433.152613597806,26.489757153066652
D512-2,Burkert-Flat,1.5,2.43,395.757715149014,31.011147154081613
D512-2,Burkert-Flat,2.0,3.24,339.00696636693567,33.14185527439391
D512-2,Burkert-Flat,0.045,0.0729,49.3704962000903,1.8971318280463756
D512-2,Burkert-Flat,0.08,0.12960000000000002,85.3866737709268,3.326576757075074
D512-2,Burkert-Flat,0.15,0.243,151.18774477324268,6.061239310561659
D512-2,Burkert-Flat,0.3,0.486,264.8666428100124,11.345712335753364
D512-2,Burkert-Flat,0.55,0.8910000000000001,380.35109122655723,18.409041862162802
D512-2,Burkert-Flat,0.85,1.377,430.3989197986515,24.344595140661983
D512-2,Burkert-Flat,1.25,2.0250000000000004,420.0586271771089,29.165368505020567
D512-2,Burkert-Flat,1.75,2.835,367.52150042833097,32.27883910109406
D512-2,Burkert-Flat,3.0,4.86,243.84381801129928,34.42500480079726
D512-2,Burkert-Flat,5.0,8.100000000000001,139.48263422313036,33.61263657030427
D512-2,Burkert-Flat,8.0,12.96,75.52397691358982,31.28563153909673
D512-2,Burkert-Flat,12.0,19.44,42.17290783485066,28.632871464620816
D512-2,NFW-Flat,0.03,0.29910000000000003,482.2794106137379,12.010402645813713
D512-2,NFW-Flat,0.06,0.5982000000000001,464.1014653144765,16.662097603576804
D512-2,NFW-Flat,0.1,0.9970000000000001,441.5971398342866,20.98266780976108
D512-2,NFW-Flat,0.2,1.9940000000000002,392.6956981098927,27.982766518540053
D512-2,NFW-Flat,0.4,3.9880000000000004,318.30994666770795,35.62892178147999
D512-2,NFW-Flat,0.7,6.979,243.3989555649368,41.21506169942845
D512-2,NFW-Flat,1.0,9.97,193.8003174502894,43.95667372515106
D512-2,NFW-Flat,1.5,14.955000000000002,141.04901549652155,45.928074494262006
D512-2,NFW-Flat,2.0,19.94,108.35156695331845,46.48150433289751
D512-2,NFW-Flat,0.045,0.44865,473.04334482908496,14.568146644565635
D512-2,NFW-Flat,0.08,0.7976000000000001,452.6139822108666,19.000129268280972
D512-2,NFW-Flat,0.15,1.4955,415.9422233598115,24.940761717209003
D512-2,NFW-Flat,0.3,2.991,352.2430432368905,32.45857270924801
D512-2,NFW-Flat,0.55,5.483500000000001,276.6885864291622,38.95153223795325
D512-2,NFW-Flat,0.85,8.4745,216.26681733882907,42.81066623562295
D512-2,NFW-Flat,1.25,12.4625,163.99246265597338,45.20792038846808
D512-2,NFW-Flat,1.75,17.4475,122.94078661375602,46.31424591249984
D512-2,NFW-Flat,3.0,29.910000000000004,70.93844693942668,46.06266327469844
D512-2,NFW-Flat,5.0,49.85,38.46668408010312,43.79000115772025
D512-2,NFW-Flat,8.0,79.76,20.51187330122762,40.447830776271736
D512-2,NFW-Flat,12.0,119.64000000000001,11.4404479754963,36.996421391647836
D512-2,NFW-LCDM,0.03,0.2298,868.6250162582897,14.128341329970585
D512-2,NFW-LCDM,0.06,0.4596,835.8850367285406,19.600325580980467
D512-2,NFW-LCDM,0.1,0.766,795.3528894796342,24.682793872278715
D512-2,NFW-LCDM,0.2,1.532,707.277357582367,32.91730413955837
D512-2,NFW-LCDM,0.4,3.064,573.3024809156909,41.91179787990104
D512-2,NFW-LCDM,0.7,5.362,438.38160427747175,48.483009004555434
D512-2,NFW-LCDM,1.0,7.66,349.0503641486455,51.70808243764822
D512-2,NFW-LCDM,1.5,11.49,254.04091628744268,54.02712400399189
D512-2,NFW-LCDM,2.0,15.32,195.1501132645625,54.678146779249
D512-2,NFW-LCDM,0.045,0.3447,851.9900996191005,17.137123076488187
D512-2,NFW-LCDM,0.08,0.6128,815.1951317107381,22.350650476268925
D512-2,NFW-LCDM,0.15,1.149,749.1462678629509,29.338866061498194
D512-2,NFW-LCDM,0.3,2.298,634.418787999153,38.1823830427339
D512-2,NFW-LCDM,0.55,4.213,498.33897652745475,45.820324181635456
D512-2,NFW-LCDM,0.85,6.511,389.51438438561837,50.35998567051783
D512-2,NFW-LCDM,1.25,9.575,295.36395791706263,53.17997646723694
D512-2,NFW-LCDM,1.75,13.405000000000001,221.42650177680798,54.48139367084979
D512-2,NFW-LCDM,3.0,22.98,127.76599678531267,54.18544644207045
D512-2,NFW-LCDM,5.0,38.3,69.2816723027037,51.51201849271247
D512-2,NFW-LCDM,8.0,61.28,36.9435764572515,47.58048302928809
D512-2,NFW-LCDM,12.0,91.92,20.605190870726588,43.5204451360184
D564-8,Burkert-Flat,0.03,0.06509999999999999,15.112892839399693,0.9918917903909276
D564-8,Burkert-Flat,0.06,0.13019999999999998,29.530204001292102,1.9608244594986648
D564-8,Burkert-Flat,0.1,0.217,47.67267553793794,3.21635983554896
D564-8,Burkert-Flat,0.2,0.434,87.66931065508213,6.168345063654079
D564-8,Burkert-Flat,0.4,0.868,145.79424938129438,11.249418138862273
D564-8,Burkert-Flat,0.7,1.519,188.19579333840403,16.907673112555603
D564-8,Burkert-Flat,1.0,2.17,196.60097103695296,20.654880952215336
