galaxy,model,R_kpc,z_kpc,gR,gz,return_gR,return_gz,relative_error
MilkyWay,NFW-author,0.5,0,-4365.875130852701,-0.0,-4365.875130852668,-0.0,7.499483673375378e-15
MilkyWay,NFW-author,0.5,0.5,-3045.0692635812534,-3045.0692635812534,-3045.069263581279,-3045.069263581279,8.36297944162099e-15
MilkyWay,NFW-author,0.5,2,-957.7184226306,-3830.8736905224,-957.718422630598,-3830.873690522392,2.136706395777862e-15
MilkyWay,NFW-author,0.5,8,-177.05111376945058,-2832.8178203112093,-177.05111376945058,-2832.8178203112093,0.0
MilkyWay,NFW-author,0.5,32,-18.385933363774395,-1176.6997352815613,-18.3859333637744,-1176.6997352815615,1.93229987757944e-16
MilkyWay,NFW-author,0.5,-0.5,-3045.0692635812534,3045.0692635812534,-3045.069263581279,3045.069263581279,8.36297944162099e-15
MilkyWay,NFW-author,0.5,-2,-957.7184226306,3830.8736905224,-957.718422630598,3830.873690522392,2.136706395777862e-15
MilkyWay,NFW-author,0.5,-8,-177.05111376945058,2832.8178203112093,-177.05111376945058,2832.8178203112093,0.0
MilkyWay,NFW-author,0.5,-32,-18.385933363774395,1176.6997352815613,-18.3859333637744,1176.6997352815615,1.93229987757944e-16
MilkyWay,NFW-author,1,0,-4224.538044410193,-0.0,-4224.538044410196,-0.0,6.458656725624827e-16
MilkyWay,NFW-author,1,0.5,-3749.702484353441,-1874.8512421767205,-3749.702484353466,-1874.851242176733,6.670157006621334e-15
MilkyWay,NFW-author,1,2,-1746.9659305945029,-3493.9318611890058,-1746.9659305945022,-3493.9318611890044,3.90460405886431e-16
MilkyWay,NFW-author,1,8,-351.23837369531304,-2809.9069895625044,-351.23837369531327,-2809.906989562506,6.473486169836064e-16
MilkyWay,NFW-author,1,32,-36.746372761731294,-1175.8839283754014,-36.746372761731294,-1175.8839283754014,0.0
MilkyWay,NFW-author,1,-0.5,-3749.702484353441,1874.8512421767205,-3749.702484353466,1874.851242176733,6.670157006621334e-15
MilkyWay,NFW-author,1,-2,-1746.9659305945029,3493.9318611890058,-1746.9659305945022,3493.9318611890044,3.90460405886431e-16
MilkyWay,NFW-author,1,-8,-351.23837369531304,2809.9069895625044,-351.23837369531327,2809.906989562506,6.473486169836064e-16
MilkyWay,NFW-author,1,-32,-36.746372761731294,1175.8839283754014,-36.746372761731294,1175.8839283754014,0.0
MilkyWay,NFW-author,2,0,-3963.928333304521,-0.0,-3963.9283333045346,-0.0,3.4416415685348547e-15
MilkyWay,NFW-author,2,0.5,-3830.8736905224,-957.7184226306,-3830.873690522392,-957.718422630598,2.136706395777862e-15
MilkyWay,NFW-author,2,2,-2664.269602711935,-2664.269602711935,-2664.269602711927,-2664.269602711927,3.072306311502582e-15
MilkyWay,NFW-author,2,8,-680.5811137565288,-2722.324455026115,-680.5811137565289,-2722.3244550261156,1.6704377395092747e-16
MilkyWay,NFW-author,2,32,-73.28948087132794,-1172.631693941247,-73.28948087132792,-1172.6316939412468,1.9390033257503297e-16
MilkyWay,NFW-author,2,-0.5,-3830.8736905224,957.7184226306,-3830.873690522392,957.718422630598,2.136706395777862e-15
MilkyWay,NFW-author,2,-2,-2664.269602711935,2664.269602711935,-2664.269602711927,2664.269602711927,3.072306311502582e-15
MilkyWay,NFW-author,2,-8,-680.5811137565288,2722.324455026115,-680.5811137565289,2722.3244550261156,1.6704377395092747e-16
MilkyWay,NFW-author,2,-32,-73.28948087132794,1172.631693941247,-73.28948087132792,1172.6316939412468,1.9390033257503297e-16
MilkyWay,NFW-author,4,0,-3517.0374747067162,-0.0,-3517.03747470672,-0.0,1.0343872743053675e-15
MilkyWay,NFW-author,4,0.5,-3483.6472983572285,-435.45591229465356,-3483.6472983572294,-435.4559122946537,2.6107542580496464e-16
MilkyWay,NFW-author,4,2,-3062.316476661018,-1531.158238330509,-3062.316476661019,-1531.1582383305094,2.9699565956180713e-16
MilkyWay,NFW-author,4,8,-1212.9109931494659,-2425.8219862989317,-1212.9109931494647,-2425.8219862989295,9.373056915447258e-16
MilkyWay,NFW-author,4,32,-144.97452131919235,-1159.7961705535388,-144.97452131919238,-1159.796170553539,1.9604623744766535e-16
MilkyWay,NFW-author,4,-0.5,-3483.6472983572285,435.45591229465356,-3483.6472983572294,435.4559122946537,2.6107542580496464e-16
MilkyWay,NFW-author,4,-2,-3062.316476661018,1531.158238330509,-3062.316476661019,1531.1582383305094,2.9699565956180713e-16
MilkyWay,NFW-author,4,-8,-1212.9109931494659,2425.8219862989317,-1212.9109931494647,2425.8219862989295,9.373056915447258e-16
MilkyWay,NFW-author,4,-32,-144.97452131919235,1159.7961705535388,-144.97452131919238,1159.796170553539,1.9604623744766535e-16
MilkyWay,NFW-author,8,0,-2840.5497992171845,-0.0,-2840.5497992171845,-0.0,0.0
MilkyWay,NFW-author,8,0.5,-2832.8178203112093,-177.05111376945058,-2832.8178203112093,-177.05111376945058,0.0
MilkyWay,NFW-author,8,2,-2722.324455026115,-680.5811137565288,-2722.3244550261156,-680.5811137565289,1.6704377395092747e-16
MilkyWay,NFW-author,8,8,-1717.7525343106415,-1717.7525343106415,-1717.7525343106408,-1717.7525343106408,3.9710087029703667e-16
MilkyWay,NFW-author,8,32,-277.7697310575514,-1111.0789242302055,-277.76973105755127,-1111.078924230205,4.0928447202931963e-16
MilkyWay,NFW-author,8,-0.5,-2832.8178203112093,177.05111376945058,-2832.8178203112093,177.05111376945058,0.0
MilkyWay,NFW-author,8,-2,-2722.324455026115,680.5811137565288,-2722.3244550261156,680.5811137565289,1.6704377395092747e-16
MilkyWay,NFW-author,8,-8,-1717.7525343106415,1717.7525343106415,-1717.7525343106408,1717.7525343106408,3.9710087029703667e-16
MilkyWay,NFW-author,8,-32,-277.7697310575514,1111.0789242302055,-277.76973105755127,1111.078924230205,4.0928447202931963e-16
MilkyWay,NFW-author,16,0,-1995.4647095852379,-0.0,-1995.4647095852374,-0.0,2.278904501302779e-16
MilkyWay,NFW-author,16,0.5,-1993.8779106997215,-62.3086847093663,-1993.8779106997213,-62.30868470936629,1.1403590672381673e-16
MilkyWay,NFW-author,16,2,-1970.3880418716308,-246.29850523395385,-1970.3880418716315,-246.29850523395393,3.461861378745293e-16
MilkyWay,NFW-author,16,8,-1659.817707474567,-829.9088537372835,-1659.817707474566,-829.908853737283,5.47948547408098e-16
MilkyWay,NFW-author,16,32,-475.2150350452078,-950.4300700904156,-475.21503504520786,-950.4300700904157,1.196162045996723e-16
MilkyWay,NFW-author,16,-0.5,-1993.8779106997215,62.3086847093663,-1993.8779106997213,62.30868470936629,1.1403590672381673e-16
MilkyWay,NFW-author,16,-2,-1970.3880418716308,246.29850523395385,-1970.3880418716315,246.29850523395393,3.461861378745293e-16
MilkyWay,NFW-author,16,-8,-1659.817707474567,829.9088537372835,-1659.817707474566,829.908853737283,5.47948547408098e-16
MilkyWay,NFW-author,16,-32,-475.2150350452078,950.4300700904156,-475.21503504520786,950.4300700904157,1.196162045996723e-16
MilkyWay,NFW-author,32,0,-1176.9719160964667,-0.0,-1176.9719160964667,-0.0,0.0
MilkyWay,NFW-author,32,0.5,-1176.6997352815613,-18.385933363774395,-1176.6997352815615,-18.3859333637744,1.93229987757944e-16
MilkyWay,NFW-author,32,2,-1172.631693941247,-73.28948087132794,-1172.6316939412468,-73.28948087132792,1.9390033257503297e-16
MilkyWay,NFW-author,32,8,-1111.0789242302055,-277.7697310575514,-1111.078924230205,-277.76973105755127,4.0928447202931963e-16
MilkyWay,NFW-author,32,32,-596.6551648531824,-596.6551648531824,-596.6551648531824,-596.6551648531824,0.0
MilkyWay,NFW-author,32,-0.5,-1176.6997352815613,18.385933363774395,-1176.6997352815615,18.3859333637744,1.93229987757944e-16
MilkyWay,NFW-author,32,-2,-1172.631693941247,73.28948087132794,-1172.6316939412468,73.28948087132792,1.9390033257503297e-16
MilkyWay,NFW-author,32,-8,-1111.0789242302055,277.7697310575514,-1111.078924230205,277.76973105755127,4.0928447202931963e-16
MilkyWay,NFW-author,32,-32,-596.6551648531824,596.6551648531824,-596.6551648531824,596.6551648531824,0.0
MilkyWay,NFW-author,64,0,-579.2224186614666,-0.0,-579.2224186614667,-0.0,1.962749266237598e-16
MilkyWay,NFW-author,64,0.5,-579.1845076625075,-4.52487896611334,-579.1845076625073,-4.524878966113338,3.925755479214637e-16
MilkyWay,NFW-author,64,2,-578.6163961862775,-18.08176238082117,-578.6163961862775,-18.08176238082117,0.0
MilkyWay,NFW-author,64,8,-569.6656248579533,-71.20820310724416,-569.6656248579533,-71.20820310724416,0.0
MilkyWay,NFW-author,64,32,-455.02303362173376,-227.51151681086688,-455.02303362173393,-227.51151681086696,3.7477280045604893e-16
MilkyWay,NFW-author,64,-0.5,-579.1845076625075,4.52487896611334,-579.1845076625073,4.524878966113338,3.925755479214637e-16
MilkyWay,NFW-author,64,-2,-578.6163961862775,18.08176238082117,-578.6163961862775,18.08176238082117,0.0
MilkyWay,NFW-author,64,-8,-569.6656248579533,71.20820310724416,-569.6656248579533,71.20820310724416,0.0
MilkyWay,NFW-author,64,-32,-455.02303362173376,227.51151681086688,-455.02303362173393,227.51151681086696,3.7477280045604893e-16
NGC2976,Burkert-Flat,0.5,0,-666.7322050262284,-0.0,-666.7322050262279,-0.0,6.820539752816874e-16
