galaxy,model,Ydisk,e_Ydisk,Ybul,e_Ybul,D,e_D,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,log_M200,e_log_M200,alpha,e_alpha,Chi,rho_s_msun_kpc3,nonfinite_published_chi
CamB,Burkert-Flat,0.33,0.07,0.0,0.0,3.07,0.26,58.1,5.2,423.46,130.51,9.47,1.35,61.26,20.8,-2.27,0.6,13.38,0.4,0.0,0.0,3.01,5370317.963702527,False
CamB,NFW-Flat,0.37,0.08,0.0,0.0,3.18,0.26,59.2,5.2,38.0,12.93,1.01,0.72,51.67,40.93,-4.29,1.19,10.24,0.44,0.0,0.0,8.61,51286.13839913648,False
CamB,NFW-LCDM,0.35,0.08,0.0,0.0,2.75,0.28,45.2,5.1,37.53,2.35,3.83,0.71,13.41,2.62,-3.15,0.27,10.23,0.08,0.0,0.0,7.92,707945.7843841381,False
D512-2,Burkert-Flat,0.5,0.14,0.0,0.0,15.74,4.83,55.7,10.4,24.59,68.25,20.84,12.28,1.62,4.59,-1.41,5.17,9.68,3.62,0.0,0.0,inf,38904514.49942807,True
D512-2,NFW-Flat,0.5,0.13,0.0,0.0,15.54,4.9,57.0,10.1,42.66,83.88,5.86,9.08,9.97,24.96,-2.73,4.17,10.39,2.56,0.0,0.0,inf,1862087.1366628676,True
D512-2,NFW-LCDM,0.49,0.12,0.0,0.0,11.05,3.55,51.1,9.2,47.16,4.8,8.43,2.26,7.66,2.19,-2.36,0.4,10.52,0.13,0.0,0.0,inf,4365158.322401661,True
D564-8,Burkert-Flat,0.49,0.14,0.0,0.0,8.81,0.28,62.6,7.2,21.59,74.02,13.61,2.5,2.17,7.46,-1.88,6.32,9.51,4.47,0.0,0.0,0.27,13182567.385564074,False
D564-8,NFW-Flat,0.48,0.12,0.0,0.0,8.79,0.28,61.2,7.1,97.31,25.15,1.04,1.03,128.54,131.93,-4.26,1.49,11.47,0.34,0.0,0.0,3.7,54954.08738576248,False
D564-8,NFW-LCDM,0.45,0.11,0.0,0.0,8.69,0.28,48.7,5.9,36.53,2.14,5.27,1.06,9.49,1.98,-2.84,0.29,10.19,0.08,0.0,0.0,6.7,1445439.770745928,False
D631-7,Burkert-Flat,0.4,0.08,0.0,0.0,7.69,0.18,57.0,3.0,64.01,8.79,12.8,0.89,6.85,1.05,-1.95,0.27,10.92,0.18,0.0,0.0,0.95,11220184.543019636,False
D631-7,NFW-Flat,0.33,0.06,0.0,0.0,7.63,0.18,53.6,3.0,272.79,41.59,1.0,0.3,372.83,124.27,-4.29,0.51,12.81,0.2,0.0,0.0,6.05,51286.13839913648,False
D631-7,NFW-LCDM,0.39,0.07,0.0,0.0,7.62,0.18,57.9,2.7,54.53,2.56,5.59,0.48,13.35,1.31,-2.78,0.14,10.71,0.06,0.0,0.0,12.21,1659586.9074375613,False
DDO064,Burkert-Flat,0.49,0.14,0.0,0.0,6.92,2.11,60.1,5.0,32.8,84.3,24.24,10.77,1.85,4.83,-1.24,4.77,10.05,3.35,0.0,0.0,0.45,57543993.73371569,False
DDO064,NFW-Flat,0.49,0.12,0.0,0.0,7.56,2.01,61.2,5.0,289.31,109.22,1.08,1.89,365.87,653.61,-4.23,2.56,12.89,0.49,0.0,0.0,0.69,58884.36553555884,False
DDO064,NFW-LCDM,0.5,0.12,0.0,0.0,7.0,1.32,60.1,4.7,47.77,3.4,7.88,1.83,8.3,2.01,-2.43,0.33,10.54,0.09,0.0,0.0,1.05,3715352.290971724,False
DDO154,Burkert-Flat,0.43,0.08,0.0,0.0,4.08,0.2,64.3,3.0,34.87,0.95,18.05,0.99,2.65,0.16,-1.57,0.09,10.13,0.04,0.0,0.0,1.63,26915348.039269153,False
DDO154,NFW-Flat,0.27,0.05,0.0,0.0,4.23,0.2,66.2,2.9,59.42,3.32,4.92,0.44,16.53,1.74,-2.91,0.16,10.82,0.07,0.0,0.0,13.7,1230268.7708123813,False
DDO154,NFW-LCDM,0.33,0.05,0.0,0.0,4.24,0.19,70.0,2.6,49.18,1.63,5.83,0.39,11.55,0.87,-2.74,0.11,10.58,0.04,0.0,0.0,16.57,1819700.8586099825,False
DDO161,Burkert-Flat,0.51,0.11,0.0,0.0,7.53,1.51,71.0,8.6,54.53,4.34,10.03,2.32,7.45,1.82,-2.21,0.34,10.71,0.1,0.0,0.0,0.29,6165950.018614822,False
