id,maximum_relative_pde_residual,source_relative_mass_error,gates_pass
f1-stars-h0p1_base,1.6858191972285566e-14,0.0,True
f1-stars-h0p1_lateral,3.9145653702457276e-14,0.0,True
f1-stars-h0p1_vertical,2.3914290824076404e-14,0.0,True
f1-stars-h0p1_box,1.501731465727749e-14,0.0,True
f1-stars-h0p4_base,3.6927748506590786e-14,7.005507285384738e-14,True
f1-stars-h0p4_lateral,8.287789058585285e-14,7.005507285384738e-14,True
f1-stars-h0p4_vertical,6.039104611232827e-14,7.593925488436071e-14,True
f1-stars-h0p4_box,3.449772242589799e-14,0.0,True
f4-stars-h0p1_base,1.3493335332879669e-14,2.220446049250313e-16,True
f4-stars-h0p1_lateral,2.7337123769777363e-14,2.220446049250313e-16,True
f4-stars-h0p1_vertical,1.961962023723887e-14,2.220446049250313e-16,True
f4-stars-h0p1_box,1.1813897651645947e-14,2.220446049250313e-16,True
f4-stars-h0p4_base,2.724296968357469e-14,7.038813976123492e-14,True
f4-stars-h0p4_lateral,7.012303803819299e-14,7.016609515630989e-14,True
f4-stars-h0p4_vertical,5.026056862506761e-14,7.616129948928574e-14,True
f4-stars-h0p4_box,3.1733966269166807e-14,2.220446049250313e-16,True
