radius_kpc,height_kpc,azimuth_radian,newton_gx,newton_gy,newton_gz,newton_inward,newton_tangential,mond_gx,mond_gy,mond_gz,mond_inward,mond_tangential
0.5,0.0,0.0,-1287.874801187223,-357.44989800357143,0.0,1287.874801187223,-357.44989800357143,-2035.8256165939747,-594.7452166167568,-7.275957614183426e-12,2035.8256165939747,-594.7452166167568
0.5,0.0,0.1308996938995747,-1563.9132009382142,-829.2284860703436,-7.58661672344797e-12,1658.7697434720199,-618.002686338089,-2442.436509345285,-1329.1065806054467,-2.0273278638643834e-11,2595.0243474432114,-998.9339522553116
0.5,0.0,0.2617993877991494,-1771.7166486987446,-1277.2011434325266,-1.337352425863652e-11,2041.9108481914882,-775.1275585989588,-2741.1025923099505,-2028.4065168480724,-2.698997541109509e-11,3172.6920241904445,-1249.8406853668998
0.5,0.0,0.39269908169872414,-1753.641265684827,-1675.5495772212848,-1.0826493943555337e-11,2261.3583360423154,-876.9165014133549,-2676.4754057788705,-2594.455999527906,-1.7704195612483176e-11,3465.5961736884783,-1372.7220010407405
0.5,0.0,0.5235987755982988,-1783.281697429466,-2127.6391356938216,-1.1175131547950514e-11,2608.186819924663,-950.948692882083,-2685.3095002844925,-3239.8603523345087,-1.0130351041249013e-11,3945.476420437321,-1463.1466196934407
0.5,0.0,0.6544984694978736,-1557.8235360019169,-2093.983765312464,-1.2741248785147282e-11,2510.641055164101,-712.9261328063162,-2362.3369846232226,-3186.6392448019633,-1.60441475924898e-11,3814.070998045271,-1090.0312506073917
0.5,0.0,0.7853981633974483,-1400.7507088603743,-2030.8222395100468,-1.330355826027651e-11,2426.488501929039,-445.52785195497097,-2142.089745730984,-3078.6813742948834,-2.5288415653343282e-11,3691.642661993178,-662.2702917600857
0.5,0.0,0.916297857297023,-1394.9990877420257,-2129.2207661645107,-8.630665361065709e-12,2538.446045173775,-189.46029032198862,-2126.058132860975,-3227.394812011285,-1.4921537728899478e-11,3854.726641663816,-277.9981563767201
0.5,0.0,1.0471975511965976,-1403.166771411609,-2256.718176548614,-3.899173933767088e-12,2655.958655779,86.8189815143387,-2106.09346299834,-3431.015452573297,1.6883918402081688e-12,4024.393274204608,108.42271541425498
0.5,0.0,1.1780972450961724,-1297.361636062619,-2408.5080919961656,-2.21539718007884e-12,2721.6501339903,276.9097182994244,-1928.3766452713794,-3670.7905550529895,-5.190289955415227e-12,4129.326055454331,376.836984437974
0.5,0.0,1.3089969389957472,-1226.9509914132818,-2594.5979734003317,-9.91688974636213e-13,2823.7474753298343,513.6122802966565,-1811.6741681469496,-3953.249785714103,-9.778565049961143e-12,4287.441844029674,726.7665332436338
0.5,0.0,1.4398966328953218,-843.0382105193573,-2487.215136977354,-3.679771493542216e-13,2575.9752342024535,511.17918069946097,-1228.2889180904094,-3804.7462984061794,-1.2471134030845039e-12,3932.520041810261,721.1616894288383
0.5,0.0,1.5707963267948966,-401.4768119819273,-2346.624239474848,0.0,2346.624239474848,401.47681198192714,-560.1222948377144,-3607.84849287842,7.275957614183426e-12,3607.84849287842,560.1222948377142
0.5,0.0,1.7016960206944713,-396.5980164739425,-2333.0414321891435,-4.036791859022977e-12,2261.3155103837526,697.7280798994007,-567.872117939792,-3616.283014873387,-1.0289152718389692e-11,3511.223027146993,1035.0335451703406
0.5,0.0,1.832595714594046,-400.09649791763616,-2349.1645624610637,-7.0192896207294004e-12,2165.5661275442953,994.4720691913085,-592.0355737666674,-3672.1465942610666,-2.4258371180328914e-11,3393.791151447197,1522.2839257862133
0.5,0.0,1.9634954084936205,-341.44886592348115,-2177.755655440629,-3.414361494212416e-12,1881.3170528835346,1148.8486277023999,-527.8324379396843,-3432.2793695223672,-1.2352590744436668e-11,2969.0199302980677,1801.1300359727134
0.5,0.0,2.0943951023931953,-222.95038954642843,-1754.9769850546518,0.0,1408.3794573411376,1070.569193658169,-374.2364494227903,-2795.4126438820767,2.4719772202342948e-12,2233.780138950706,1721.8045941632645
0.5,0.0,2.2252947962927703,179.9770288113305,-1273.0011316887253,0.0,1119.502773267702,632.168611073386,282.767608476856,-2042.6287420377346,1.119939903627907e-11,1792.6643488842699,1019.1389652258988
0.5,0.0,2.356194490192345,622.149241081287,-920.586898945078,-1.2483569680903418e-12,1090.8791861942018,211.02729163691743,1005.8419274683221,-1448.8597246190552,1.2251011387514434e-11,1735.736183980806,313.2608885516097
0.5,0.0,2.4870941840919194,908.775472169541,-889.5470846111695,-3.5616652464312397e-12,1262.5020108188867,152.49769583659634,1436.206335314748,-1359.3075657136146,2.979474784697557e-12,1966.9131096355745,204.10417670445952
