case,grid,law,vector_relative_rms,maximum_group_relative_rms,vertical_component_relative_rms,gates_pass
f1-stars-h0p1,lateral,newton,0.04893414752133056,0.13202003655399588,0.004330346633744537,False
f1-stars-h0p1,lateral,mond,0.043132926861223865,0.12891678151627853,0.004539934011570459,False
f1-stars-h0p1,vertical,newton,0.05208917584162235,0.11633282790231342,0.08091701547870288,False
f1-stars-h0p1,vertical,mond,0.051128000860747015,0.12332724140368947,0.08376766306080596,False
f1-stars-h0p1,box,newton,7.368654683045815e-07,2.1514027289776653e-06,3.912015058604344e-08,True
f1-stars-h0p1,box,mond,0.00019765757144630383,0.0004446542838473908,3.9025645014259384e-05,True
f1-stars-h0p4,lateral,newton,0.050968515683516534,0.08178763876284935,0.0056756969211957985,False
f1-stars-h0p4,lateral,mond,0.0450303296066582,0.07636963952569564,0.0055828842294292115,False
f1-stars-h0p4,vertical,newton,0.01462126559567054,0.028961364653819568,0.037805716371980956,True
f1-stars-h0p4,vertical,mond,0.015226178244360344,0.03742865507830593,0.041055537658037725,True
f1-stars-h0p4,box,newton,2.195077696960474e-06,6.35825987899613e-06,1.0735821799394338e-07,True
f1-stars-h0p4,box,mond,0.00027127523798436693,0.0005667821692986133,5.364435917087723e-05,True
f4-stars-h0p1,lateral,newton,0.05999880943819981,0.16773295370060692,0.007368726291646878,False
f4-stars-h0p1,lateral,mond,0.052440666195257786,0.1631209729789097,0.007202721434338136,False
f4-stars-h0p1,vertical,newton,0.05201759229173598,0.11701367324247791,0.08084040824931865,False
f4-stars-h0p1,vertical,mond,0.05106477273953591,0.12395325969289615,0.08371056537032408,False
f4-stars-h0p1,box,newton,5.025079488100393e-07,1.4874047653350417e-06,4.0614824656278984e-08,True
f4-stars-h0p1,box,mond,0.00019652288513645973,0.00043066073716499677,3.6851116369521966e-05,True
f4-stars-h0p4,lateral,newton,0.05657578081598066,0.09016829933320561,0.0063831650228504885,False
f4-stars-h0p4,lateral,mond,0.04900288235434131,0.08299076515098691,0.006017699479213859,False
f4-stars-h0p4,vertical,newton,0.014535434247719864,0.028613728979125275,0.037673642805301714,True
f4-stars-h0p4,vertical,mond,0.015128081898701871,0.037136160220265814,0.040888736560900266,True
f4-stars-h0p4,box,newton,8.532706526640721e-07,2.4794204560690756e-06,6.09231203067464e-08,True
f4-stars-h0p4,box,mond,0.00022115768793115297,0.00047036587570633165,4.9961670428042026e-05,True
