radius_kpc,height_kpc,azimuth_radian,newton_gx,newton_gy,newton_gz,newton_inward,newton_tangential,mond_gx,mond_gy,mond_gz,mond_inward,mond_tangential
0.5,0.0,0.0,-1397.6468087735193,-877.7312915561342,0.0,1397.6468087735193,-877.7312915561342,-2471.3874882804776,-1577.9554837295327,-2.9103830456733704e-11,2471.3874882804776,-1577.9554837295327
0.5,0.0,0.1308996938995747,-1598.4039791488149,-1596.7637654467487,2.5999491773339755e-13,1793.1489057052593,-1374.4696450524018,-2716.3874112384583,-2677.433274783717,-1.3432622401616843e-11,3042.6235106536587,-2299.96775657213
0.5,0.0,0.2617993877991494,-1758.3633930131664,-2274.543386507688,1.9134119509125187e-12,2287.143760652866,-1741.9422657198784,-2902.1908206650023,-3717.222804108684,-1.3993199671981484e-13,3765.389123092116,-2839.4192516494313
0.5,0.0,0.39269908169872414,-1595.7020608128776,-2513.9687296002085,2.0792223449192404e-12,2436.2906562730104,-1711.9555129871146,-2631.7235347547853,-4045.7702452974745,-4.7031440304768796e-12,3979.644753019191,-2730.6873275575567
0.5,0.0,0.5235987755982988,-1460.3492139799357,-2779.440197554732,0.0,2654.419616480627,-1676.891212392069,-2399.4862012575863,-4407.340258849459,-1.5596695735068353e-11,4281.686135744019,-2617.1255266567227
0.5,0.0,0.6544984694978736,-1355.4504694267234,-2547.365445648549,-1.0978363553006675e-12,2626.088986419461,-1195.8149205289942,-2237.375901340809,-4099.647308676898,-2.5703591927407762e-11,4270.736798877748,-1890.4407354248847
0.5,0.0,0.7853981633974483,-1229.5857280334646,-2356.624597874462,0.0,2535.833640210714,-796.936827525392,-2034.3070562140579,-3856.976922066374,-2.742710509992657e-11,4165.7668509377545,-1288.8222220085477
0.5,0.0,0.916297857297023,-1054.173172103073,-2491.9327104044396,-2.5234965311384713e-12,2618.723106252476,-680.6607104460011,-1719.8046784369253,-4099.189131731861,-1.725884552896815e-11,4299.056143806147,-1131.0154473236764
0.5,0.0,1.0471975511965976,-740.7197523457768,-2742.575627638481,-6.753567360832675e-12,2745.500041507864,-729.80569120288,-1186.52847501538,-4509.972348161267,1.8096129203640857e-12,4499.014861380704,-1227.4223724037054
0.5,0.0,1.1780972450961724,-466.45541421649534,-3142.852202761123,-7.450842569623027e-12,3082.1215827966626,-771.7688583451154,-723.2029363575795,-5122.40111573603,9.782153917921921e-13,5009.239330123327,-1292.1056501677995
0.5,0.0,1.3089969389957472,-277.46883854335914,-3505.153963633811,-2.3567819394606623e-12,3457.5329584308897,-639.1862846655564,-395.20211306974977,-5661.5688775975195,-4.95844487318113e-12,5570.941429713068,-1083.5859230638562
0.5,0.0,1.4398966328953218,-547.1483664716275,-3451.4076829639334,-1.3930597009837764e-11,3493.2976046356443,91.96833369105582,-805.6271571521202,-5566.169173626953,-2.464404349176095e-11,5623.705269901882,72.2040376555027
0.5,0.0,1.5707963267948966,-911.0294224579484,-3374.4005502989676,-2.9103830456733704e-11,3374.4005502989676,911.0294224579482,-1360.736932960015,-5431.938376677364,-5.093170329928398e-11,5431.938376677364,1360.7369329600149
0.5,0.0,1.7016960206944713,-1315.5153517930814,-3056.812820059265,-1.3670602092104365e-11,2858.9521529527715,1703.2550733253847,-2044.4181479170716,-4995.38354299861,-3.1461683075631666e-11,4685.797228144085,2678.956259798062
0.5,0.0,1.832595714594046,-1565.9239756942495,-2722.2453637597064,-6.996599835990742e-14,2224.196154258851,2217.135355711382,-2495.9811454665996,-4535.562183181516,-1.4365213233272733e-11,3735.0091928114957,3584.8225235909044
0.5,0.0,1.9634954084936205,-1216.8345435482092,-2118.33537427289,-2.3515720152383768e-12,1491.4242755399237,1934.8603811640407,-2054.087183603016,-3667.4535425164177,-1.3041891123634218e-11,2602.2201305685885,3301.20281661427
0.5,0.0,2.0943951023931953,-773.2134238326403,-1397.9291770744276,-7.798347867534177e-12,824.0354681216093,1368.5870561234242,-1421.8627679761798,-2569.968141362483,-1.5074305481717602e-11,1514.726313348498,2516.3533484438717
0.5,0.0,2.2252947962927703,-176.6697641998407,-810.3457364229147,-1.5625946474223057e-12,535.3407586649514,633.4687760523461,-402.85885308584034,-1530.6085752329632,-1.538102401901508e-12,969.0684947461291,1251.384880273368
0.5,0.0,2.356194490192345,279.2128671533938,-400.6275409842176,7.061773419824802e-12,480.7197627187352,85.85313920132833,393.349395551315,-730.7371956338052,1.2661005677200867e-11,794.8492512678689,238.56920132793994
0.5,0.0,2.4870941840919194,650.3717810744132,-533.2772206395142,4.905088204365901e-12,840.6132278408552,27.156009461777785,1048.9393675876884,-876.8956577968513,1.8101039176818531e-12,1365.9998047706217,57.1342708438267
0.5,0.0,2.6179938779914944,926.6612419344026,-789.3244391980417,-6.753567360832675e-12,1197.1743958166512,220.24439520620848,1525.0062549177442,-1250.1014764901513,-3.481261731086488e-11,1945.7448959340095,320.11650849003433
0.5,0.0,2.748893571891069,1133.5634515998993,-1175.1474855336128,-1.962012215521994e-11,1496.9855450352034,651.8987571047403,1835.4613770328904,-1850.6840911048125,-5.0255834430166646e-11,2403.971339163126,1007.408493179489
0.5,0.0,2.8797932657906435,1366.254164314625,-1631.789107448164,-3.681887186018699e-11,1742.0382811849133,1222.5746437661148,2189.64491135365,-2560.696962682441,-7.268103774491765e-11,2777.791712957323,1906.7215244847985
0.5,0.0,3.010692959690218,1670.9912483637843,-1559.975824883551,-2.2012888258012526e-11,1860.313390968267,1328.5218905662118,2683.196322685262,-2394.7203187258838,-4.3765781598291655e-11,2972.814930818686,2024.0057554492778
0.5,0.0,3.141592653589793,2002.7826842080176,-1477.0583100896256,0.0,2002.7826842080178,1477.0583100896254,3217.1238685352546,-2201.729246449482,0.0,3217.123868535255,2201.7292464494817
0.5,0.0,3.272492347489368,2049.4601123645743,-509.9684971704235,0.0,1965.3624509066117,773.1138705559683,3344.5500069759505,-560.8891874067277,-1.0876446670139565e-11,3242.7261881344484,992.6420797546507
0.5,0.0,3.4033920413889427,2056.834931515005,448.5181843635398,0.0,2102.835028951938,99.11275507119751,3401.0096253926345,1063.9764384997563,-1.8619333925173154e-11,3560.500398448543,-147.47625688137362
0.5,0.0,3.5342917352885173,2051.7723407798785,1570.7226462515332,0.0,2496.680004580416,-665.9792223223595,3282.91843570252,2858.436568839556,-2.891997841551168e-11,4126.89746701094,-1384.5325457833846
0.5,0.0,3.665191429188092,2039.3987020709246,2616.7884541097274,0.0,3074.5653114932957,-1246.5059265533723,3169.4991534418314,4566.850887944525,-4.8077309872218394e-11,5028.29222812616,-2370.259307534566
0.5,0.0,3.796091123087667,1814.3932392807303,3489.490133661286,-9.367987694505408e-12,3563.7219372646778,-1663.866032325191,2785.886044262752,5737.310813610541,-4.906136921605651e-11,5702.845528447329,-2855.7747289061017
0.5,0.0,3.926990816987241,1531.2317814517799,4417.352154841088,-1.9973711489444552e-11,4206.284039810052,-2040.7952873442325,2318.3086742499445,6981.257716967679,-4.2370640518949955e-11,6575.78645732449,-3297.202888433034
0.5,0.0,4.057890510886816,1179.1029580558584,5132.064425691973,-1.1563660405106832e-11,4789.33285640704,-2188.757603228175,1781.9094447877337,7922.838983814745,-1.6668437554210078e-11,7370.368512372159,-3409.4349714742175
0.5,0.0,4.1887902047863905,867.0072086151451,5507.87289927278,0.0,5203.461455893648,-2003.0861817114424,1317.0677535432183,8386.31710257494,0.0,7921.297531793414,-3052.5444182137444
0.5,0.0,4.319689898685966,765.4546177831509,5580.631378069608,4.158444689838607e-12,5448.757909141732,-1428.427316087894,1131.3225195152572,8430.884254979459,6.828722988424832e-12,8222.059789027211,-2181.154004119083
0.5,0.0,4.4505895925855405,801.4696957358957,5617.535023965942,3.826823901825037e-12,5633.557781061056,-679.7647726334872,1132.2005757796558,8442.599262719543,1.4038579241458801e-11,8447.959740757668,-1091.4837026753937
0.5,0.0,4.581489286485115,689.184204690292,5389.474724907169,5.199898354667951e-13,5433.323611489671,-20.17947562815675,943.2753833678689,8103.936972695326,1.0717800246987595e-11,8157.7288124819315,-122.57050333672873
0.5,0.0,4.71238898038469,517.3007492661927,5113.631455710325,0.0,5113.631455710325,517.3007492661918,677.2435306123116,7725.992735892574,7.275957614183426e-12,7725.992735892574,677.2435306123102
0.5,0.0,4.843288674284264,140.43318425934854,4950.2433532544155,-7.857619254804304e-12,4889.563126331242,785.3681743632095,153.68116977209866,7518.390664679676,-8.796250431156465e-12,7434.010372391217,1133.7133111438818
0.5,0.0,4.974188368183839,-203.35935462319495,4682.249256811858,-1.6838731169467608e-11,4575.33875625361,1015.4252289320091,-324.70210354830294,7179.925151843201,-2.558473074601541e-11,7019.3142233709605,1544.6632240399322
0.5,0.0,5.105088062083413,-425.51296950998534,4407.605634162026,-1.965118578275142e-11,4234.93339647167,1293.5949292444548,-654.5810050032035,6856.136283678464,-2.363474551715051e-11,6584.741290354147,2018.975772907773
0.5,0.0,5.235987755982989,-616.8513718587567,4060.5176425968116,-1.350713472166535e-11,3824.937116933119,1496.0498629094416,-945.5813792065658,6452.777819719738,-1.4029524975016101e-11,6061.060206457338,2407.491414121457
