galaxy,split,branch,split_sha256,duplicate_of,diagnostic_pass,mean_square,channel_lag1,quadrant_min,quadrant_max,failed_gates,calibration_mean_variance_factor,expected_calibration_residual_variance_factor,maximum_test_mean_cross_covariance,effective_independent_calibration_pixels_for_mean,calibration_pixels,test_pixels
DDO154,9062028-forward,previous_fixed_mean,8cbbd76edb73555582d3e3db9017c43f2f4c26df3af77a3744e6acd66c165b6f,,True,1.0848425828122727,0.043472132689219206,0.9798423887842269,1.2525650800632018,,0.04712708422417714,0.9528729157758229,6.472543688986309e-05,21.219220676652427,349,36
DDO154,9062028-forward,mean_propagated,8cbbd76edb73555582d3e3db9017c43f2f4c26df3af77a3744e6acd66c165b6f,,True,1.0570651766824646,0.04300304564873876,0.9546731173715066,1.205648460911922,,0.04712708422417714,0.9528729157758229,6.472543688986309e-05,21.219220676652427,349,36
DDO154,9062028-forward,mean_and_variance_corrected,8cbbd76edb73555582d3e3db9017c43f2f4c26df3af77a3744e6acd66c165b6f,,True,1.0072487770705056,0.04097643749455454,0.9096821569625818,1.1488297643497765,,0.04712708422417714,0.9528729157758229,6.472543688986309e-05,21.219220676652427,349,36
DDO154,9062028-reverse,previous_fixed_mean,5d98f0c8b939eb33997fd8d37090f2bced766408fb5bb1953aada449feafb8b0,,True,1.1072155437630116,0.0001104564975729559,1.0736908120370763,1.176831580787083,,0.04491279469117974,0.9550872053088203,5.9030841892654104e-05,22.26537018851749,377,32
DDO154,9062028-reverse,mean_propagated,5d98f0c8b939eb33997fd8d37090f2bced766408fb5bb1953aada449feafb8b0,,True,1.0785856093921498,-0.0013936760771818407,1.0386682444428832,1.157862211569685,,0.04491279469117974,0.9550872053088203,5.9030841892654104e-05,22.26537018851749,377,32
DDO154,9062028-reverse,mean_and_variance_corrected,5d98f0c8b939eb33997fd8d37090f2bced766408fb5bb1953aada449feafb8b0,,True,1.0301433153606592,-0.0013310821896613772,0.992018750827972,1.1058593837807804,,0.04491279469117974,0.9550872053088203,5.9030841892654104e-05,22.26537018851749,377,32
DDO154,9062029-forward,previous_fixed_mean,9fbdefdeda17b12ab153c63724facd18a44307196ce2dd2b2cd02c0d73fd7d40,,True,1.037530797420992,-0.01456701371667601,0.9706205589985338,1.077587476821942,,0.04791503781677322,0.9520849621832268,4.7051873351345847e-05,20.870274668758338,362,32
DDO154,9062029-forward,mean_propagated,9fbdefdeda17b12ab153c63724facd18a44307196ce2dd2b2cd02c0d73fd7d40,,True,1.0096071174533197,-0.016718852763964027,0.945332227871188,1.044809095611974,,0.04791503781677322,0.9520849621832268,4.7051873351345847e-05,20.870274668758338,362,32
DDO154,9062029-forward,mean_and_variance_corrected,9fbdefdeda17b12ab153c63724facd18a44307196ce2dd2b2cd02c0d73fd7d40,,True,0.9612317542404605,-0.015917768301525612,0.9000365984233257,0.9947470282844177,,0.04791503781677322,0.9520849621832268,4.7051873351345847e-05,20.870274668758338,362,32
DDO154,9062029-reverse,previous_fixed_mean,b66e96b311842c7909c1c49e0353baa6170f341693b1d5747002dbb52fad1571,,True,1.1636775265590904,0.0663259786488719,1.0148247425473544,1.3135336613436441,,0.04303617770245903,0.956963822297541,4.2936934880177365e-05,23.236264310314468,364,36
