galaxy,branch,partitions,passing_partitions,all_declared_partitions_pass,mean_square_min,mean_square_max,channel_lag1_min,channel_lag1_max,mean_variance_factor_min,mean_variance_factor_max,failed_gates
DDO154,previous_fixed_mean,16,16,True,1.0097586089986286,1.1663051042201975,-0.06159627857658098,0.09472900792523047,0.039365940593377245,0.05490461696085753,
DDO154,mean_propagated,16,16,True,0.9803192046473125,1.1424453155089314,-0.062311113371688424,0.09100417441491288,0.039365940593377245,0.05490461696085753,
DDO154,mean_and_variance_corrected,16,16,True,0.931809033587138,1.0932388071363397,-0.0592351986095063,0.08715429088886166,0.039365940593377245,0.05490461696085753,
IC2574,previous_fixed_mean,16,16,True,0.8909664919681265,1.2168943421021945,-0.11905426146980612,0.08124806309291388,0.044444447099000625,0.05723685769914829,
IC2574,mean_propagated,16,16,True,0.8718249895228617,1.1738228672329185,-0.11651179440735594,0.07853207800869394,0.044444447099000625,0.05723685769914829,
IC2574,mean_and_variance_corrected,16,16,True,0.8303467205835668,1.114868448862015,-0.11074223926239114,0.07436410267731641,0.044444447099000625,0.05723685769914829,
NGC2841,previous_fixed_mean,16,9,False,0.8715258064487068,1.3703419958817662,-0.09748526068346691,0.31058152766536085,0.03998111950718368,0.05719017178069757,held_channel_lag1
NGC2841,mean_propagated,16,9,False,0.8461445486336769,1.330372199536557,-0.10167218145052986,0.2919777973401659,0.03998111950718368,0.05719017178069757,held_channel_lag1
NGC2841,mean_and_variance_corrected,16,10,False,0.8065866797829595,1.2768869584694778,-0.09691893352606958,0.278426339136313,0.03998111950718368,0.05719017178069757,held_channel_lag1
NGC2903,previous_fixed_mean,16,14,False,0.9447481070125205,1.2885619213134054,-0.08212929549902016,0.21794848262134262,0.041198274678964905,0.06135096915259848,held_channel_lag1
NGC2903,mean_propagated,16,14,False,0.916548997701084,1.2418735066274726,-0.08320293308170328,0.2129309185459937,0.041198274678964905,0.06135096915259848,held_channel_lag1
NGC2903,mean_and_variance_corrected,16,14,False,0.8603178284162796,1.180306102944374,-0.07809835250080195,0.20237460685339978,0.041198274678964905,0.06135096915259848,held_channel_lag1
NGC2976,previous_fixed_mean,16,16,True,0.9852253836571678,1.1719851905923475,-0.020588135003496866,0.06762924414734739,0.040852941671874345,0.047892712114130404,
NGC2976,mean_propagated,16,16,True,0.9554779804663476,1.119335171257876,-0.018265928844991102,0.06446953994432131,0.040852941671874345,0.047892712114130404,
NGC2976,mean_and_variance_corrected,16,16,True,0.9136805987620578,1.071154368414948,-0.01739112397332074,0.06169450501895492,0.040852941671874345,0.047892712114130404,
NGC3198,previous_fixed_mean,16,10,False,0.9896070051011214,1.4353374700450983,-0.09896951599187064,0.31741941240678484,0.04159434412159902,0.05769060050598927,held_channel_lag1;spatial_quadrants
NGC3198,mean_propagated,16,10,False,0.9576439636702421,1.3915492527392783,-0.09923149251872879,0.30465974097427473,0.04159434412159902,0.05769060050598927,held_channel_lag1
NGC3198,mean_and_variance_corrected,16,11,False,0.9113519150715788,1.326037357943734,-0.09443468989848411,0.2903168516659335,0.04159434412159902,0.05769060050598927,held_channel_lag1
NGC3521,previous_fixed_mean,16,16,True,0.910646158624438,1.174206654073863,-0.01783343459805211,0.05188168376839565,0.040443410872142024,0.051195674349727396,
NGC3521,mean_propagated,16,16,True,0.893444150033963,1.1464358714356877,-0.01722848297545723,0.04495660101861826,0.040443410872142024,0.051195674349727396,
NGC3521,mean_and_variance_corrected,16,16,True,0.8558262535912267,1.091806570807777,-0.016366689375393196,0.042814355007788595,0.040443410872142024,0.051195674349727396,
NGC4214,previous_fixed_mean,16,16,True,0.9713968786868787,1.1105494719000895,-0.05768999477757502,0.039311477421741355,0.04092153713967819,0.055065073246125085,
NGC4214,mean_propagated,16,16,True,0.9413884600393635,1.0533014975972468,-0.060466970351234016,0.03375364619053621,0.04092153713967819,0.055065073246125085,
NGC4214,mean_and_variance_corrected,16,16,True,0.893897945977329,0.9953013734818013,-0.05783708467256029,0.03197795230604594,0.04092153713967819,0.055065073246125085,
