name,positions,alpha_all,alpha_inner,alpha_disk_two_component,alpha_bulge_two_component,required_alpha_inner_third,required_alpha_outer_third,outer_inner_required_ratio,fit_all_median_absolute_speed_error_percent,fit_all_p90_absolute_speed_error_percent,inner_fit_outer_median_prediction_ratio,global_log_mse
D631-7,12,11.328692815524697,4.5942992218572245,11.328692815524697,11.328692815524697,3.3598708932072063,36.60695821635884,10.895346690365002,33.258828497138126,72.67008795024633,0.5008751404454345,0.05968524836972819
DDO161,21,6.612882677879061,3.7854264399110247,6.612882677879061,6.612882677879061,2.57731174580031,22.540311743359318,8.745667566249372,27.588771728281337,46.86562793229987,0.6443377446660387,0.02330091135061423
DDO168,8,9.945657537413512,5.708340491885846,9.945657537413512,9.945657537413512,3.933491917423562,16.825483652745326,4.277492875532848,17.465249715268666,37.02413169294968,0.6838987598722956,0.0339554359342897
DDO170,6,13.42443087304103,10.58432446930123,13.42443087304103,13.42443087304103,9.89257280964464,20.164275462109494,2.0383246957202665,8.150777888476679,21.690591207214364,0.8244081107532569,0.04170665085824968
ESO079-G014,12,3.01955494865583,2.6751165805700845,3.01955494865583,3.01955494865583,2.3423968340114234,3.4603989144400362,1.4772897846322655,8.278854700047289,22.862449365213223,0.8858177810622011,0.004047086402785136
ESO116-G012,13,4.263587762378068,3.0118585212878597,4.263587762378068,4.263587762378068,2.6235279024344265,7.6119609102487065,2.9014217471006916,20.13284626803069,31.94682048073261,0.6762288281407296,0.014557194734680083
F568-3,9,6.2113901625938235,5.117232482264014,6.2113901625938235,6.2113901625938235,5.134432182271271,10.044835149299109,1.9563672851660237,9.970662859581815,27.12916948640393,0.7867153069325892,0.020432032772356796
F583-1,9,12.282117699832977,10.049752668619197,12.282117699832977,12.282117699832977,10.276483813559569,15.601509834329987,1.5181758777982188,9.386017992001028,28.205600949004083,0.8155298834130824,0.07366170612111159
F583-4,7,4.808874005016677,4.452616580113965,4.808874005016677,4.808874005016677,4.316916327282204,5.482591784878281,1.2700250292620219,5.4054820337882115,7.817917379306081,0.9052436950715858,0.010533896223164039
KK98-251,7,8.841480967463093,7.649639617380164,8.841480967463093,8.841480967463093,6.951261651804764,10.461321536187368,1.5049529222470404,5.6202509262416545,10.81144337617588,0.8987307783909001,0.018605566143770434
NGC0024,19,4.841867988237876,4.323310922609695,4.841867988237876,4.841867988237876,4.363407064550524,4.593611531198212,1.0527579625833974,6.608028757564344,19.693064023461996,0.9711442298891573,0.008883767919337237
NGC0055,19,4.673609413278211,3.5525527125373406,4.673609413278211,4.673609413278211,3.2393689587262617,6.268714595947009,1.9351653596174185,10.999868242578026,30.305980958338484,0.8042611673984505,0.0069479512231999194
NGC0247,26,5.4790602163828,4.832572807177883,5.4790602163828,5.4790602163828,4.8410503651911565,6.822926606930861,1.4093897175683374,6.4766510671259265,12.638494378551119,0.8860609828227073,0.009617776226601602
NGC0289,18,4.498660523617703,2.981760643787948,4.498660523617703,4.498660523617703,2.9021538252559473,8.679673556885898,2.9907696419642464,21.041965307461286,29.681025282677854,0.6714840606374111,0.01396789489058463
NGC0300,16,5.562978447149766,4.042427421777354,5.562978447149766,5.562978447149766,3.4597191643109317,10.552019255155795,3.049964102290779,20.260576411490995,30.548664524472745,0.7101054601017529,0.02423142263661659
NGC0801,12,1.5873965497792517,1.250964654325587,1.5873965497792517,1.5873965497792517,1.1958652495410713,2.3381325179135937,1.9551805847781614,6.85161796552226,31.45698582229346,0.8047827670947272,0.022242224896667478
NGC1003,20,4.309631237252963,2.7641455240573705,4.309631237252963,4.309631237252963,2.1058773413064817,8.781438722052153,4.169966858850462,20.786813936114868,48.83274105065456,0.6661453543184872,0.016062684045016887
NGC1090,21,2.3530486157469226,1.869956713424505,2.3530486157469226,2.3530486157469226,1.9241008070433785,3.49441068926741,1.8161266168985237,10.466881208140233,20.42125992924374,0.7736476170881053,0.006904371851820736
NGC2403,63,2.689725353613604,1.8669000620895644,2.689725353613604,2.689725353613604,1.9443293700721984,7.202468546771122,3.7043459084834347,21.052299196603563,37.942298709221916,0.6405113459281538,0.015967892757388902
NGC2683,8,2.145796782722874,1.7106695932723006,2.387101419511301,0.05000000000000027,1.5291705815275585,2.989013365532983,1.9546631367621006,13.114028563176705,20.604510059791398,0.7782895469280817,0.008648690335716178
NGC2841,41,2.8266286963299647,2.0850993024309585,4.641283231354844,0.22267454796679725,2.0758753553123683,5.3858973486108965,2.5945186616469327,14.480277919205653,29.766266205925117,0.7108254367661255,0.009015931597644324
NGC2915,8,18.28721532296055,15.747633024766971,18.28721532296055,18.28721532296055,15.260781547431582,21.5158,1.4098753679899931,8.236144919764248,12.096010766987177,0.8751916315643804,0.1187289219154164
NGC2955,24,1.3494868077821587,1.1154821160940482,1.8125590488834038,0.9138242386934606,1.1462310175988795,1.9426987138965823,1.6948579161346902,10.34754549999317,17.24847350861114,0.7929992441757505,0.039045494393469805
NGC2976,21,1.8469360901520597,1.7696987920718055,1.8469360901520597,1.8469360901520597,1.819867779280824,1.8919312178223493,1.0395981726595562,2.714609436013471,8.897453605202866,0.970774410481525,0.015844742617641842
NGC2998,10,2.6622123028218354,2.1076127745360496,2.6622123028218354,2.6622123028218354,2.0283038945212537,3.908107705197221,1.9267860776452645,12.86416138635545,20.024384374426674,0.7879904415279758,0.0067462908831020935
NGC3109,18,21.15930129215464,14.56858682674958,21.15930129215464,21.15930129215464,12.313913953284146,35.854914991382216,2.911739933168823,18.376806722265382,34.21051005574817,0.7009454387736301,0.11109929928728178
