plateifu,y,baseline,color,color_and_spectrum
10001-6103,2.1316411162161306,2.104019767490727,2.1444051185752255,2.283811966082631
10001-9101,1.74719623867139,1.8346280757138864,1.787981627330801,1.7604020722978977
10214-1902,1.884434755520393,2.033852122067803,2.0001326016530783,1.9460689670398053
10218-6103,1.929735436574831,1.957550720539687,1.8511635521176315,1.845281272104428
10220-1902,2.005726041848597,2.0750919628280764,2.105942124088233,1.9964228160291457
10221-3703,2.1549632346143164,2.030518238057057,1.9906521062073343,1.999552006214859
10494-6104,2.391865019284089,2.106602879925238,2.1240201870967637,2.302602266741632
10498-6101,2.1528827984623473,2.1141440791539043,2.0923484474773497,2.0552990061004515
10499-3703,1.8844317520252976,1.877229117648363,1.889570121798677,1.8747418297086644
10499-6101,2.326292634185271,2.367169971405354,2.3719481866096923,2.313008434092774
10503-1902,1.951749223244108,2.0735232832547994,2.014497470363951,1.936277126826741
10504-6102,1.9171825832142928,2.0007149365668173,1.9984052489120256,1.9817980573227876
10506-6101,1.861590501118281,1.8424760777885263,1.8652803720657172,1.9061553618832598
10506-9101,1.800308566939198,1.7851790006935209,1.7983434107693015,1.8036684378501362
10506-9102,1.986290699493137,1.9337010766378218,1.9192016748696281,1.9215862886036557
10507-12705,1.9718767636371328,2.093114735327107,2.064659164050839,2.026878063766123
10507-6101,2.2427227605581783,2.09709271711141,2.1109251139592957,1.9848628628804927
10507-6102,1.801206826396585,1.7827792684005186,1.7750181308846074,1.7819390988141226
10514-12703,1.723190909795157,1.7630910977021104,1.7308456687217422,1.7296992260889505
10514-1901,1.939453204883993,2.0665687443202625,2.0461656074368855,1.952470318558431
10514-6103,1.939607101007604,1.960234662184539,1.9700536487341647,1.9730340610557302
10516-6104,1.927347364329845,1.897527269514023,1.870456460312095,1.8619038456576942
10516-9102,1.8300338673126635,1.7381594740245254,1.7382028935839575,1.7474443993039444
10518-6104,1.9430963455774701,1.881238369125358,1.9051729488084748,1.9290398797918726
10518-9102,1.9404664784229824,1.9673405132868316,1.9777617775257117,1.9694966955249884
10519-9102,2.097128147764901,2.06480221676511,2.077144188942784,2.0441333686497876
10837-3702,2.3550392524182486,2.2256737678796115,2.2436529929025717,2.228767825144609
11004-1901,2.0459528357084866,2.080166813820624,2.1170957684168443,2.141148896257704
11007-9101,1.6920314776645282,1.785222342542636,1.7882146237277043,1.716123093884545
11010-9102,1.9530552641755674,2.085251446798753,2.0371259497022542,2.0039043591799612
11013-6102,1.7920792353377881,1.7575113901856456,1.743273262190076,1.7566934157218141
11017-6101,1.824301664793917,1.8465883210108005,1.8893051587343004,1.9189413483829534
11019-1901,2.0451030370680368,1.9934318227286236,1.9999429306537224,1.9818348415418077
11742-3703,2.3858892770324513,2.13233651455964,2.177811988531835,2.2623946763410934
11743-6101,1.8595940972658402,1.8956691041709266,1.902703030445243,1.9192031965374983
11743-6104,1.896482620512642,1.9122365881424792,1.9217254655114913,1.9285017850647843
11744-6101,2.3314862107969203,2.213218698701362,2.2499895353874395,2.1950536166584906
11744-6104,2.37472708888233,2.400176014392093,2.3946142507744423,2.3583618314393293
11750-3704,2.306170595872537,2.213269739275049,2.215109670067422,2.263583851388121
11751-3702,1.8033776925873493,2.0671054222176606,2.0422479628248555,1.9788764145666726
11758-12701,2.252455676034925,2.083187673373094,2.130859022679808,2.2758115194635478
11824-3701,1.9887278708216556,2.0646994690277514,2.0884254360281718,2.0120689652555908
11826-6103,1.893991051160008,1.8931793457329495,1.93382754079714,1.9451556146895967
11831-6103,1.6795929516603627,1.9704888966080882,2.062310731057257,1.9588334922073771
11832-3704,1.9255199048074465,1.9997204317896997,2.050079758857352,1.9784236080132827
11833-12702,1.8014081009662226,1.831965569960549,1.7868309606305617,1.7992322122721045
11834-1901,1.8346375424355663,2.0422912488390965,1.952151234976888,1.9226474192367349
