plateifu,y,baseline,color,color_and_spectrum
10001-6103,2.1316411162161306,2.1017111102692683,2.117644161449366,2.153962518445191
10001-9101,1.74719623867139,1.8124878929614425,1.716292909146937,1.6857313815876738
10214-1902,1.884434755520393,1.9108024680272386,1.924855508291374,1.9219463522025115
10218-6103,1.929735436574831,1.9441503527692503,1.8370816096620601,1.8648051327142237
10220-1902,2.005726041848597,2.0904563939566865,2.130671897307257,2.017628370810586
10221-3703,2.1549632346143164,2.001226143826009,2.0146210933093713,2.0555470216448457
10494-6104,2.391865019284089,2.112227904591442,2.1495395491370477,2.18289651299084
10498-6101,2.1528827984623473,2.2083573875778093,2.182188455980394,2.2150139654861136
10499-3703,1.8844317520252976,1.9207098801675602,1.9076015025388264,1.869341534050101
10499-6101,2.326292634185271,2.376310549796368,2.333609083455992,2.3293365878094874
10503-1902,1.951749223244108,2.08600966482081,2.0470689380051845,2.024463572854744
10504-6102,1.9171825832142928,1.9927468643005994,1.9716101353779998,1.9455985246018241
10506-6101,1.861590501118281,1.8344634670318885,1.894439197350132,1.895457240150861
10506-9101,1.800308566939198,1.831016852946206,1.847334687761169,1.8316897811272694
10506-9102,1.986290699493137,1.9031464898971784,1.9037117382989537,1.8665965879853736
10507-12705,1.9718767636371328,2.0264799504714768,2.025654797787557,2.011358864499553
10507-6101,2.2427227605581783,2.1181628385963838,2.1503268033427476,2.094919405607283
10507-6102,1.801206826396585,1.8048781727019836,1.7458084682484958,1.7588910948604692
10514-12703,1.723190909795157,1.7179844047781825,1.6641144595265194,1.6810289621894228
10514-1901,1.939453204883993,2.112282948220251,2.096352367284269,2.0568768754305733
10514-6103,1.939607101007604,1.931187688367231,1.9500120693818972,1.9088031582884761
10516-6104,1.927347364329845,1.9406904438410768,1.925061036932922,1.9523393546068812
10516-9102,1.8300338673126635,1.7013628882807637,1.5980216316206803,1.6444960468200658
10518-6104,1.9430963455774701,1.8214874176580336,1.8635547460310962,1.9187528547366202
10518-9102,1.9404664784229824,1.9496662218488012,1.9579514041314068,2.005565359672083
10519-9102,2.097128147764901,2.035521007570585,2.101093244676296,2.1112490244486337
10837-3702,2.3550392524182486,2.267594890612717,2.268632029767373,2.315859356908813
11004-1901,2.0459528357084866,2.1393442306290114,2.2352961513008656,2.151332609308035
11007-9101,1.6920314776645282,1.7783437443328807,1.7948157545498593,1.828509908668474
11010-9102,1.9530552641755674,2.1301883020880577,2.1053846608293743,2.041740702342995
11013-6102,1.7920792353377881,1.8163385381420125,1.6776917680821826,1.723377756019334
11017-6101,1.824301664793917,1.8572276559400291,1.893724832258542,1.8688252526085765
11019-1901,2.0451030370680368,1.97356510230391,1.9966049980147904,2.008950296094329
11742-3703,2.3858892770324513,2.1781053547046816,2.2437897913727176,2.316833305032238
11743-6101,1.8595940972658402,1.8721763976816659,1.905010349297946,1.9189178404218634
11743-6104,1.896482620512642,1.9286066046629278,1.9546720686926071,1.9396154958842682
11744-6101,2.3314862107969203,2.2207353887768413,2.2661258128673367,2.2322704717606476
11744-6104,2.37472708888233,2.38007488920539,2.361250656907626,2.370079720245854
11750-3704,2.306170595872537,2.2247982053309943,2.2209301959123398,2.2167778515160492
11751-3702,1.8033776925873493,2.0838729481451166,1.984562160757519,1.8989685693062193
11758-12701,2.252455676034925,2.116056993235674,2.1374930864233423,2.21518020348593
11824-3701,1.9887278708216556,2.0749061854361086,2.062926115323157,2.0180505108641933
11826-6103,1.893991051160008,1.921539760028344,1.94035535878207,1.9414762685375075
11831-6103,1.6795929516603627,1.9628584883617677,2.0474764085069403,1.7955329107604632
11832-3704,1.9255199048074465,1.9768142380100209,2.034901842562393,1.9389452814602801
11833-12702,1.8014081009662226,1.8185527395045917,1.8267274370303423,1.8308928414182875
11834-1901,1.8346375424355663,1.9311991143445568,1.9160364962602903,1.8954706395903225
11835-6102,2.1156368015023705,2.0628974643347813,2.0786021585979717,2.201535456967129
11835-9102,2.084705653396597,2.025345600130987,2.0342384795393187,2.0908218710215025
