case,component,negative_observed_cells_inside_cutoff,coverage_above_one_cells_inside_cutoff,maximum_area_coverage
nominal,stellar_luminosity,17650,109404,1.0336365866274715
nominal,atomic_helium,0,72610,1.2003659502769566
nominal,co21,16363,10889,1.42264196043937
registration_reverse,stellar_luminosity,17593,109455,1.0336365866375001
registration_reverse,atomic_helium,0,72610,1.2003659502769566
registration_reverse,co21,16363,10889,1.42264196043937
distance_low,stellar_luminosity,17650,109404,1.0336365866274715
distance_low,atomic_helium,0,72610,1.2003659502769566
distance_low,co21,16363,10889,1.42264196043937
distance_high,stellar_luminosity,17650,109404,1.0336365866274715
distance_high,atomic_helium,0,72610,1.2003659502769568
distance_high,co21,16363,10889,1.42264196043937
intrinsic_flat,stellar_luminosity,19475,69312,1.0532072878693364
intrinsic_flat,atomic_helium,0,37583,1.1151736478584018
intrinsic_flat,co21,15239,24378,1.3216740848448594
intrinsic_thicker,stellar_luminosity,13630,26762,1.1759648064471881
intrinsic_thicker,atomic_helium,0,80161,1.2664375942298918
intrinsic_thicker,co21,22153,7697,1.6081596628770443
pa_low,stellar_luminosity,17203,109015,1.033636586579063
pa_low,atomic_helium,0,77708,1.2003659586744224
pa_low,co21,16310,11055,1.4226419629318472
pa_high,stellar_luminosity,17841,105069,1.0669797020624672
pa_high,atomic_helium,0,77160,1.200365926812778
pa_high,co21,16352,11161,1.4226419627425686
ellipticity_low,stellar_luminosity,18459,53046,1.095123536331561
ellipticity_low,atomic_helium,0,100505,1.1595559658880308
ellipticity_low,co21,15823,17363,1.3742749534877097
ellipticity_high,stellar_luminosity,16725,85853,1.071551764557134
ellipticity_high,atomic_helium,0,44521,1.2443968767841505
ellipticity_high,co21,16968,4866,1.229021985635131
pixels_one,stellar_luminosity,19488,110497,1.6004695534872788
pixels_one,atomic_helium,0,73850,2.13398398566367
pixels_one,co21,4271,14260,3.7937119076253683
pixels_two,stellar_luminosity,17790,64596,1.2003521651297433
pixels_two,atomic_helium,0,122050,1.600487945187445
pixels_two,co21,14590,8183,1.89685595369511
