case,total_msun,relative_to_nominal,inclination_deg
nominal,28600800118.79342,1.0,71.9229712372672
registration_reverse,28599706109.85941,0.999961749009487,71.9229712372672
distance_low,22308705160.87845,0.7800028344738344,71.9229712372672
distance_high,35652379750.29344,1.2465518307953374,71.9229712372672
intrinsic_flat,29192499697.130905,1.0206882176680325,70.48826006235842
intrinsic_thicker,26147733610.819534,0.9142308432706402,76.77653071019976
pa_low,28573095532.811794,0.9990313352820007,71.9229712372672
pa_high,28626998838.036118,1.0009160135078,71.9229712372672
ellipticity_low,28882166764.93611,1.0098377193985495,71.26351886417191
ellipticity_high,28307654766.2808,0.9897504492428519,72.58347442214367
pixels_one,28568029186.505444,0.9988541952619555,71.9229712372672
pixels_two,28597291634.38468,0.9998773291518361,71.9229712372672
