component,full_input_signed_integral,outside_grid_signed_integral,outside_grid_signed_fraction,in_grid_taper_removed_signed_integral,full_input_to_tapered_signed_loss_fraction,coverage_fraction,negative_projection_added_integral,annular_minus_zero_integral
stellar_luminosity,30411914065.269024,145246353.1321602,0.004775968813420864,677417133.2296371,0.027050697453511963,0.909273366144654,135884519.16051114,664865879.9097481
atomic_helium,13715397623.114975,1058200451.5223923,0.07715419418384013,3223038656.7177887,0.3121483770200638,0.9522067550353295,0.0,-1536.1745910644531
co21,118568061.14298274,1.4901161193847656e-08,1.256760130021706e-16,0.0,1.1102230246251565e-16,0.32936778736479105,15811772.120629411,4980548.264978915
