coordinate_core	dec_deg	image_flux_ratio	image_separation_arcsec	lens_i_mag	light_curve_file	name	normalized_identity	quasar_i_mag	ra_deg	z_lens	z_source
J082138+121729	1.229166666667e+01	1.400000000000e-01	2.560000000000e+00	1.905000000000e+01	lcab/HS0818_Euler.dat	HS 0818+1227	HS08181227	1.876000000000e+01	1.254122500000e+02	3.900000000000e-01	3.113000000000e+00
J083216+040405	4.068111111111e+00	2.200000000000e-01	1.980000000000e+00	1.935000000000e+01	lcab/J0832_Euler.dat	SDSS J0832+0404	SDSSJ08320404	1.889000000000e+01	1.280707916667e+02	6.590000000000e-01	1.116000000000e+00
J122608-000602	-1.006111111111e-01	6.200000000000e-01	1.260000000000e+00	1.971000000000e+01	lcab/J1226_Euler.dat	SDSS J1226-0006	SDSSJ12260006	1.823000000000e+01	1.865334166667e+02	5.170000000000e-01	1.126000000000e+00
J132059+164402	1.673405555556e+01	7.300000000000e-01	8.590000000000e+00	2.159000000000e+01	lcab/J1320_Euler.dat	SDSS J1320+1644	SDSSJ13201644	1.888000000000e+01	2.002465833333e+02	8.990000000000e-01	1.502000000000e+00
J132236+105239	1.087761111111e+01	2.100000000000e-01	2.000000000000e+00	1.967000000000e+01	lcab/J1322_Euler.dat	SDSS J1322+1052	SDSSJ13221052	1.823000000000e+01	2.006517083333e+02	5.500000000000e-01	1.717000000000e+00
J133534+011805	1.301527777778e+00	3.700000000000e-01	1.630000000000e+00	1.940000000000e+01	lcab/J1335_Euler.dat	SDSS J1335+0118	SDSSJ13350118	1.754000000000e+01	2.038949583333e+02	4.400000000000e-01	1.571000000000e+00
J134929+122706	1.245188888889e+01	2.900000000000e-01	3.000000000000e+00	1.935000000000e+01	lcab/J1349_Euler.dat	SDSS J1349+1227	SDSSJ13491227	1.744000000000e+01	2.073743333333e+02	6.500000000000e-01	1.722000000000e+00
J140515+095931	9.992027777778e+00	3.300000000000e-01	1.980000000000e+00	1.970000000000e+01	lcab/J1405_Euler.dat	SDSS J1405+0959	SDSSJ14050959	1.905000000000e+01	2.113142500000e+02	6.600000000000e-01	1.810000000000e+00
J145501+144734	1.479300000000e+01	5.000000000000e-01	1.730000000000e+00	1.851000000000e+01	lcab/J1455_Euler.dat	SDSS J1455+1447	SDSSJ14551447	1.822000000000e+01	2.237579583333e+02	4.200000000000e-01	1.424000000000e+00
J151538+151135	1.519327777778e+01	6.400000000000e-01	1.950000000000e+00	2.002000000000e+01	lcab/J1515_Euler.dat	SDSS J1515+1511	SDSSJ15151511	1.805000000000e+01	2.289107916667e+02	7.420000000000e-01	2.054000000000e+00
J162026+120342	1.206166666667e+01	3.000000000000e-01	2.770000000000e+00	1.759000000000e+01	lcab/J1620_Euler.dat	SDSS J1620+1203	SDSSJ16201203	1.910000000000e+01	2.451089166667e+02	3.980000000000e-01	1.158000000000e+00
J014516-094517	-9.754805555556e+00	1.500000000000e-01	2.230000000000e+00	1.872000000000e+01	lcab/UM673_Euler.dat	UM 673	UM673	1.657000000000e+01	2.631916666667e+01	4.910000000000e-01	2.730000000000e+00
