HI_SNR	HI_flux_Jy_km_s	HI_flux_error_Jy_km_s	agc	axis_ratio	center_separation_arcsec	dec_deg	distance_Mpc	distance_error_Mpc	g_minus_r	heliocentric_velocity_km_s	log_HI_mass	log_HI_mass_error	mass_stratum	max_fracflux_grz	max_fracmasked_grz	minimum_flux_signal_to_noise_grz	minimum_predecessor_separation_arcsec	name	r_minus_z	ra_deg	reff_arcsec	reff_kpc	sersic	shape_signal_to_noise	tractor_brickid	tractor_brickname	tractor_dec_deg	tractor_objid	tractor_ra_deg	tractor_release	tractor_type	z_luminosity_Lsun
4.250000000000e+01	4.240000000000e+00	6.000000000000e-02	258694	6.989616259495e-01	5.999635017775e-01	3.260333333333e+01	4.060000000000e+01	2.400000000000e+00	4.439214017915e-01	2.536000000000e+03	9.220000000000e+00	7.000000000000e-02	0	1.127152666450e-01	4.258380457759e-02	1.098392563116e+02	5.625805992704e+03		-8.310849482308e-02	2.263116666667e+02	9.241360664368e+00	1.819017261354e+00	1.206436276436e+00	3.260022765554e+02	508799	2262p325	3.260333476718e+01	2494	2.263114688412e+02	9011	SER	1.214279087715e+08
1.550000000000e+01	1.310000000000e+00	5.000000000000e-02	238905	8.405419322698e-01	1.961539777596e+00	2.537000000000e+01	7.400000000000e+01	2.300000000000e+00	5.097718625836e-01	4.999000000000e+03	9.230000000000e+00	5.000000000000e-02	0	5.757863521576e-01	3.101520054042e-02	9.313407541404e+01	1.624434801739e+03	F508-04	2.910055763127e-01	2.010583333333e+02	1.016541957855e+01	3.646967519567e+00	1.000000000000e+00	3.280173827421e+02	472106	2011p252	2.536959423822e+01	1210	2.010587357989e+02	9010	EXP	5.953462071701e+08
1.410000000000e+01	1.320000000000e+00	6.000000000000e-02	125672	7.835166066568e-01	5.189264034806e-01	4.891666666667e+00	4.250000000000e+01	2.300000000000e+00	5.099472457899e-01	3.123000000000e+03	8.750000000000e+00	7.000000000000e-02	0	2.091368436813e-01	5.622335150838e-02	2.630583154818e+02	1.000000000000e+09		2.926629241189e-01	4.233625000000e+01	1.362399959564e+01	2.807168093044e+00	1.292994022369e+00	8.024901643682e+02	359318	0422p050	4.891706700582e+00	4797	4.233611101754e+01	9010	SER	4.725629327836e+08
1.410000000000e+01	2.040000000000e+00	9.000000000000e-02	221540	2.670806892306e-01	1.782682023019e+00	5.522222222222e-01	3.290000000000e+01	2.300000000000e+00	3.082790610958e-01	2.143000000000e+03	8.720000000000e+00	8.000000000000e-02	0	6.555754691362e-03	5.374271888286e-03	1.066496138661e+03	5.486006361841e+03	014-014	1.736237494079e-01	1.852737500000e+02	1.265310859680e+01	2.018217651421e+00	1.044613122940e+00	2.981595640483e+03	333989	1853p005	5.527056765212e-01	598	1.852738571766e+02	9010	SER	5.739897746036e+08
1.610000000000e+01	2.050000000000e+00	8.000000000000e-02	731853	4.313091176393e-01	5.130954303702e-01	2.443638888889e+01	5.160000000000e+01	2.300000000000e+00	2.920002405890e-01	3.433000000000e+03	9.110000000000e+00	6.000000000000e-02	0	1.882764697075e-02	6.470873486251e-04	3.372807163506e+02	1.798759988999e+03		1.331565451336e-01	1.797795833333e+02	3.453454017639e+00	8.639293854944e-01	9.333229660988e-01	1.005146140551e+03	468103	1798p245	2.443653140097e+01	1131	1.797795810620e+02	9010	SER	2.279791779424e+08
3.280000000000e+01	3.370000000000e+00	7.000000000000e-02	231584	3.123077947317e-01	1.209411810229e+00	2.288777777778e+01	4.300000000000e+01	2.200000000000e+00	4.624078071528e-01	2.781000000000e+03	9.170000000000e+00	6.000000000000e-02	0	9.486702037975e-05	1.136539969593e-02	3.388850348063e+03	2.068322676954e+03	132-062	2.784449403897e-01	2.095958333333e+02	8.672918319702e+00	1.808042266311e+00	2.424558162689e+00	4.946838951392e+03	460291	2096p230	2.288804287777e+01	908	2.095960573247e+02	9010	SER	2.975628797640e+09
1.710000000000e+01	1.390000000000e+00	5.000000000000e-02	330098	6.859247366311e-01	1.850236977671e+00	1.136666666667e+01	3.840000000000e+01	2.200000000000e+00	4.566052335222e-01	2.640000000000e+03	8.680000000000e+00	7.000000000000e-02	0	5.687039494514e-01	5.442083813250e-03	4.463248555264e+02	1.000000000000e+09	Eder Dw	2.539255698892e-01	3.477770833333e+02	9.519843101501e+00	1.772294468208e+00	9.257218241692e-01	2.055470935735e+03	396183	3476p112	1.136702093053e+01	5494	3.477774631359e+02	9010	SER	5.889855423768e+08
1.880000000000e+01	1.270000000000e+00	5.000000000000e-02	102924	4.554860532775e-01	9.652427588230e-01	2.848055555556e+01	3.600000000000e+01	2.400000000000e+00	2.136686320052e-01	2.604000000000e+03	8.590000000000e+00	7.000000000000e-02	0	7.756429165602e-02	9.438103297725e-04	2.949699502306e+02	1.000000000000e+09		8.258210716101e-02	9.680833333333e+00	5.370703697205e+00	9.373646266525e-01	9.478319883347e-01	8.875310028074e+02	488156	0097p285	2.848056559126e+01	479	9.680528508377e+00	9010	SER	1.579149780954e+08
1.080000000000e+01	1.440000000000e+00	8.000000000000e-02	193056	4.285024808083e-01	8.815297199547e-01	3.646111111111e+00	5.400000000000e+01	2.400000000000e+00	3.625927068363e-01	3.551000000000e+03	9.000000000000e+00	6.000000000000e-02	0	1.050745099783e-01	6.805535405874e-03	4.714576981159e+02	4.804425526480e+03	034-052	2.285406155393e-01	1.424725000000e+02	8.561264038086e+00	2.241333683958e+00	5.000000000000e-01	6.767104182354e+03	352533	1425p037	3.645942774837e+00	583	1.424726781912e+02	9010	SER	1.285287975858e+09
1.060000000000e+01	1.370000000000e+00	7.000000000000e-02	739648	3.056864430086e-01	9.494443258631e-01	2.098166666667e+01	6.350000000000e+01	2.200000000000e+00	3.517200579334e-01	4.276000000000e+03	9.110000000000e+00	6.000000000000e-02	0	1.239106152207e-02	4.086357727647e-02	5.707594018936e+02	4.376657988050e+03		2.549452661855e-01	1.599170833333e+02	1.044279098511e+01	3.214883040978e+00	9.421505331993e-01	5.681850925503e+03	449409	1598p210	2.098189690388e+01	5099	1.599169455641e+02	9010	SER	1.807869493706e+09
