input,sky,r
median_log10_gbar,quadrupole_signed,0.18344623902353396
median_log10_gbar,quadrupole_axial,0.013321735474448293
median_log10_gbar,octopole_signed,0.1765841953760706
median_log10_gbar,octopole_axial,-0.0328229452964686
median_log10_gbar,bisector_signed,0.1802031038109835
median_log10_gbar,bisector_axial,-0.008611610478786409
median_log10_gbar,galactic_signed,0.1869301227939891
median_log10_gbar,galactic_absolute,0.0429739270956021
median_log10_gbar,ecliptic_axial,0.03198736866928101
median_log10_gbar,equatorial_signed,0.1697041660547223
spread_log10_gbar,quadrupole_signed,0.01545859040174237
spread_log10_gbar,quadrupole_axial,-0.21367757030687848
spread_log10_gbar,octopole_signed,0.018461994913597228
spread_log10_gbar,octopole_axial,-0.20132475981218784
spread_log10_gbar,bisector_signed,0.016961617336590858
spread_log10_gbar,bisector_axial,-0.20883983679560808
spread_log10_gbar,galactic_signed,0.0015724988380486802
spread_log10_gbar,galactic_absolute,-0.2682247275841577
spread_log10_gbar,ecliptic_axial,-0.03907855691449737
spread_log10_gbar,equatorial_signed,-0.010822192270359228
quality,quadrupole_signed,0.08987969211147007
quality,quadrupole_axial,0.09204487399847536
quality,octopole_signed,0.09708795199753523
quality,octopole_axial,0.038191044151394196
quality,bisector_signed,0.09353306041941656
quality,bisector_axial,0.06646316016587717
quality,galactic_signed,0.08025688798458215
quality,galactic_absolute,0.14331504677103118
quality,ecliptic_axial,0.09014056589423596
quality,equatorial_signed,-0.020492269901753308
inclination_deg,quadrupole_signed,0.08942017245692625
inclination_deg,quadrupole_axial,0.12920914466911912
inclination_deg,octopole_signed,0.09942559475853029
inclination_deg,octopole_axial,0.10048868974977622
inclination_deg,bisector_signed,0.09446039057747657
inclination_deg,bisector_axial,0.11657638586447328
inclination_deg,galactic_signed,0.04212856870502622
inclination_deg,galactic_absolute,0.11983232349362598
inclination_deg,ecliptic_axial,-0.09769071844692906
inclination_deg,equatorial_signed,-0.014655534897067356
log10_effective_stellar_surface_brightness,quadrupole_signed,0.10452036154441957
log10_effective_stellar_surface_brightness,quadrupole_axial,-0.07946188140111358
log10_effective_stellar_surface_brightness,octopole_signed,0.10062414829649503
log10_effective_stellar_surface_brightness,octopole_axial,-0.11738505529627684
log10_effective_stellar_surface_brightness,bisector_signed,0.10267925052108187
log10_effective_stellar_surface_brightness,bisector_axial,-0.09818903172229738
log10_effective_stellar_surface_brightness,galactic_signed,0.11035052669103408
log10_effective_stellar_surface_brightness,galactic_absolute,-0.042964696388804444
log10_effective_stellar_surface_brightness,ecliptic_axial,0.08346965091201407
log10_effective_stellar_surface_brightness,equatorial_signed,0.09282787888539476
log10_disk_scale_length,quadrupole_signed,-0.05915549333850924
log10_disk_scale_length,quadrupole_axial,-0.07790796411951349
log10_disk_scale_length,octopole_signed,-0.07152494715071066
log10_disk_scale_length,octopole_axial,-0.057851810861753165
log10_disk_scale_length,bisector_signed,-0.06534173977975963
log10_disk_scale_length,bisector_axial,-0.0682686060201202
log10_disk_scale_length,galactic_signed,-0.04223851081108998
log10_disk_scale_length,galactic_absolute,-0.07653778324552894
log10_disk_scale_length,ecliptic_axial,-0.08601236539043693
log10_disk_scale_length,equatorial_signed,0.08592078977799145
hubble_type,quadrupole_signed,-0.110695392127037
hubble_type,quadrupole_axial,0.03327922626209161
hubble_type,octopole_signed,-0.10187899057095195
hubble_type,octopole_axial,0.06389903010307997
hubble_type,bisector_signed,-0.10641950585962519
hubble_type,bisector_axial,0.04782095894490049
hubble_type,galactic_signed,-0.10829934411687797
hubble_type,galactic_absolute,0.024260829892759645
hubble_type,ecliptic_axial,0.03412480282907456
hubble_type,equatorial_signed,-0.1574383619323198
gas_mass_fraction_proxy,quadrupole_signed,-0.1481578149473558
gas_mass_fraction_proxy,quadrupole_axial,-0.028300212710137145
gas_mass_fraction_proxy,octopole_signed,-0.14193597649012807
gas_mass_fraction_proxy,octopole_axial,0.02843575497165159
gas_mass_fraction_proxy,bisector_signed,-0.14520139339949986
gas_mass_fraction_proxy,bisector_axial,-0.001327988242945147
gas_mass_fraction_proxy,galactic_signed,-0.15444654832857216
gas_mass_fraction_proxy,galactic_absolute,-0.08869552905115831
gas_mass_fraction_proxy,ecliptic_axial,-0.08557835440231154
gas_mass_fraction_proxy,equatorial_signed,-0.14107011969790773
log10_distance,quadrupole_signed,0.19130602295225177
log10_distance,quadrupole_axial,-0.04583499561319601
log10_distance,octopole_signed,0.18149293134765998
log10_distance,octopole_axial,-0.03051769064581902
log10_distance,bisector_signed,0.1866061765938033
log10_distance,bisector_axial,-0.03792860051866215
log10_distance,galactic_signed,0.19078061452235964
log10_distance,galactic_absolute,-0.049044876582754755
log10_distance,ecliptic_axial,-0.18931443386812058
log10_distance,equatorial_signed,0.20979850517282328
ext_r,quadrupole_signed,-0.28158536374492094
ext_r,quadrupole_axial,-0.5984507107329229
ext_r,octopole_signed,-0.2930634767588525
ext_r,octopole_axial,-0.5361387477958592
ext_r,bisector_signed,-0.28752366147897557
ext_r,bisector_axial,-0.5725861086831628
ext_r,galactic_signed,-0.28537583621416646
ext_r,galactic_absolute,-0.7224095178281934
ext_r,ecliptic_axial,0.040493759941346436
ext_r,equatorial_signed,-0.023381123038429385
