feature,raw_r,partial_r,partial_slope_dex_per_feature,sky_variance_fraction_after_controls,maxstat_reference_fraction
quadrupole_signed,-0.1732428869381738,-0.12658703694729306,-0.014109050011920572,0.7286246849009225,0.719
quadrupole_axial,-0.11493844343338024,-0.041874383063820235,-0.0072166382042989545,0.6116961493033161,0.998
octopole_signed,-0.1562491169312919,-0.10124091495830945,-0.011585883838458558,0.7163925154389321,0.847
octopole_axial,-0.08495616969757804,-0.01961106965660024,-0.003431474666202816,0.695209455094028,1.0
bisector_signed,-0.16496602450656248,-0.11420394072771474,-0.012882416688221834,0.7222576576243068,0.788
bisector_axial,-0.10112075446773224,-0.030781964593036785,-0.005350988075159927,0.6502144398503341,1.0
galactic_signed,-0.20307189385633065,-0.1696192138358736,-0.018457184498150803,0.7491220956329897,0.4545
galactic_absolute,-0.1455800472400436,-0.07488697090262829,-0.029162810117857457,0.42654272860140163,0.9415
ecliptic_axial,-0.07541000819202942,-0.11756862890968078,-0.020424481033803614,0.8538821292019223,0.772
equatorial_signed,-0.2485873181730092,-0.275875212551064,-0.03854886732577773,0.9095841531647432,0.07
