galaxy,reason
CamB,missing_or_ambiguous_direct_PROBES_match
D564-8,missing_or_ambiguous_direct_PROBES_match
D631-7,missing_or_ambiguous_direct_PROBES_match
DDO064,missing_or_ambiguous_direct_PROBES_match
DDO154,missing_or_ambiguous_direct_PROBES_match
DDO161,missing_or_ambiguous_direct_PROBES_match
DDO168,missing_or_ambiguous_direct_PROBES_match
DDO170,missing_or_ambiguous_direct_PROBES_match
ESO079-G014,missing_or_ambiguous_direct_PROBES_match
F565-V2,missing_or_ambiguous_direct_PROBES_match
F568-3,missing_or_ambiguous_direct_PROBES_match
F568-V1,missing_or_ambiguous_direct_PROBES_match
F571-V1,missing_or_ambiguous_direct_PROBES_match
F574-1,missing_or_ambiguous_direct_PROBES_match
F583-1,missing_or_ambiguous_direct_PROBES_match
F583-4,missing_or_ambiguous_direct_PROBES_match
KK98-251,missing_or_ambiguous_direct_PROBES_match
NGC3992,missing_or_ambiguous_direct_PROBES_match
NGC5055,missing_or_ambiguous_direct_PROBES_match
UGC02487,missing_or_ambiguous_direct_PROBES_match
UGC02953,missing_or_ambiguous_direct_PROBES_match
UGC03546,missing_or_ambiguous_direct_PROBES_match
UGC04325,missing_or_ambiguous_direct_PROBES_match
UGC05253,missing_or_ambiguous_direct_PROBES_match
UGC05414,missing_or_ambiguous_direct_PROBES_match
UGC05721,missing_or_ambiguous_direct_PROBES_match
UGC06786,missing_or_ambiguous_direct_PROBES_match
UGC06787,missing_or_ambiguous_direct_PROBES_match
UGC07261,missing_or_ambiguous_direct_PROBES_match
UGC07323,missing_or_ambiguous_direct_PROBES_match
UGC07399,missing_or_ambiguous_direct_PROBES_match
UGC07524,missing_or_ambiguous_direct_PROBES_match
UGC07603,missing_or_ambiguous_direct_PROBES_match
UGC07866,missing_or_ambiguous_direct_PROBES_match
UGC08490,missing_or_ambiguous_direct_PROBES_match
UGC08699,missing_or_ambiguous_direct_PROBES_match
UGC08837,missing_or_ambiguous_direct_PROBES_match
UGC09133,missing_or_ambiguous_direct_PROBES_match
UGC11914,missing_or_ambiguous_direct_PROBES_match
UGCA444,missing_or_ambiguous_direct_PROBES_match
