split,bundle,fold,train_count,test_count,alpha,gamma_multiplier,inner_mse
9060601,baseline,0,68,18,10.0,1.0,0.005804717571623257
9060601,baseline,1,69,17,10.0,1.0,0.005671274976212993
9060601,baseline,2,69,17,10.0,1.0,0.004191078360411454
9060601,baseline,3,69,17,10.0,1.0,0.004512295687743142
9060601,baseline,4,69,17,10.0,1.0,0.005704635254642987
9060601,quadrupole_axis,0,68,18,10.0,1.0,0.0056741472914502294
9060601,quadrupole_axis,1,69,17,10.0,1.0,0.005932709281115297
9060601,quadrupole_axis,2,69,17,10.0,1.0,0.0044128663782510265
9060601,quadrupole_axis,3,69,17,10.0,1.0,0.0043652994821948244
9060601,quadrupole_axis,4,69,17,10.0,1.0,0.005658748270208708
9060601,octopole_axis,0,68,18,10.0,1.0,0.0057751093370852
9060601,octopole_axis,1,69,17,10.0,1.0,0.005978267438929113
9060601,octopole_axis,2,69,17,10.0,1.0,0.00439978355960131
9060601,octopole_axis,3,69,17,10.0,1.0,0.004425827539411641
9060601,octopole_axis,4,69,17,10.0,1.0,0.005785548641507518
9060601,galactic_latitude,0,68,18,10.0,1.0,0.005579938290422913
9060601,galactic_latitude,1,69,17,10.0,1.0,0.005765790490595422
9060601,galactic_latitude,2,69,17,10.0,1.0,0.004317830468354412
9060601,galactic_latitude,3,69,17,10.0,1.0,0.004332114083846168
9060601,galactic_latitude,4,69,17,10.0,1.0,0.005451797131279373
9060601,ecliptic_axis,0,68,18,10.0,1.0,0.0059825948008934305
9060601,ecliptic_axis,1,69,17,10.0,1.0,0.005670142065284907
9060601,ecliptic_axis,2,69,17,10.0,1.0,0.004334661518461023
9060601,ecliptic_axis,3,69,17,10.0,1.0,0.004528728907575254
9060601,ecliptic_axis,4,69,17,10.0,1.0,0.005777352531549126
9060601,all_sky,0,68,18,10.0,1.0,0.005524686810643724
9060601,all_sky,1,69,17,10.0,1.0,0.005514488478689179
9060601,all_sky,2,69,17,10.0,1.0,0.004316734709985932
9060601,all_sky,3,69,17,10.0,1.0,0.0040228697735731865
9060601,all_sky,4,69,17,10.0,1.0,0.005596707577412717
9060602,baseline,0,68,18,10.0,1.0,0.005855314079492318
9060602,baseline,1,69,17,10.0,1.0,0.004389448899739523
9060602,baseline,2,69,17,10.0,1.0,0.006076603947983506
9060602,baseline,3,69,17,10.0,1.0,0.006105697636469509
