case,grid,model,x,y,z,gx,gy,gz
f4-stars-h0p4,base,newton,0.5,0.0,0.0,-1609.0170098288618,-984.9028156274035,0.0
f4-stars-h0p4,base,newton,0.46193976625564337,0.1913417161825449,0.0,-1607.4757308970152,-2041.855836386299,0.0
f4-stars-h0p4,base,newton,0.3535533905932738,0.3535533905932738,0.0,-1259.5279220361244,-2797.7081304760823,0.0
f4-stars-h0p4,base,newton,0.19134171618254492,0.46193976625564337,0.0,-723.5091668589728,-3368.0163798722315,0.0
f4-stars-h0p4,base,newton,3.061616997868383e-17,0.5,0.0,-959.4723687827245,-3661.300472673178,0.0
f4-stars-h0p4,base,newton,-0.19134171618254486,0.46193976625564337,0.0,-872.0121741177146,-2775.9017283056355,0.0
f4-stars-h0p4,base,newton,-0.35355339059327373,0.3535533905932738,0.0,301.64843164636255,-1770.664429834173,0.0
f4-stars-h0p4,base,newton,-0.46193976625564337,0.19134171618254495,0.0,1163.4806578247008,-788.1547728713992,0.0
f4-stars-h0p4,base,newton,-0.5,6.123233995736766e-17,0.0,2086.40787068005,-668.1125288878065,0.0
f4-stars-h0p4,base,newton,-0.4619397662556434,-0.19134171618254484,0.0,2146.964928941645,1754.3194656379744,0.0
f4-stars-h0p4,base,newton,-0.35355339059327384,-0.35355339059327373,0.0,1265.5447794894892,3606.11502746959,0.0
f4-stars-h0p4,base,newton,-0.19134171618254517,-0.46193976625564326,0.0,801.2309483481101,4721.759208916573,0.0
f4-stars-h0p4,base,newton,-9.184850993605148e-17,-0.5,0.0,369.65275793848946,4647.711167505438,0.0
f4-stars-h0p4,base,newton,0.191341716182545,-0.4619397662556433,0.0,-388.0034948434233,3945.636468790357,0.0
f4-stars-h0p4,base,newton,0.3535533905932737,-0.35355339059327384,0.0,-741.1505351795336,2882.944192732303,0.0
f4-stars-h0p4,base,newton,0.46193976625564326,-0.1913417161825452,0.0,-898.0870764321343,1284.0461491718886,0.0
f4-stars-h0p4,base,newton,1.0,0.0,0.0,-2879.8820734595793,-2904.917723561808,0.0
f4-stars-h0p4,base,newton,0.9238795325112867,0.3826834323650898,0.0,-2095.138402207788,-2356.07831881077,0.0
f4-stars-h0p4,base,newton,0.7071067811865476,0.7071067811865476,0.0,-1494.0467012720042,-3360.6851374159914,0.0
f4-stars-h0p4,base,newton,0.38268343236508984,0.9238795325112867,0.0,-890.5364357714708,-3569.9544246662817,0.0
f4-stars-h0p4,base,newton,6.123233995736766e-17,1.0,0.0,-540.9663781848104,-3144.436351839706,0.0
f4-stars-h0p4,base,newton,-0.3826834323650897,0.9238795325112867,0.0,148.3006186426283,-4288.718527051357,0.0
f4-stars-h0p4,base,newton,-0.7071067811865475,0.7071067811865476,0.0,1359.3137509813196,-4138.844030615944,0.0
f4-stars-h0p4,base,newton,-0.9238795325112867,0.3826834323650899,0.0,2036.4309759119747,-1272.527309352701,0.0
f4-stars-h0p4,base,newton,-1.0,1.2246467991473532e-16,0.0,2801.996225908711,1135.764890887734,0.0
f4-stars-h0p4,base,newton,-0.9238795325112868,-0.38268343236508967,0.0,2446.876757942151,2396.8878102985923,0.0
f4-stars-h0p4,base,newton,-0.7071067811865477,-0.7071067811865475,0.0,1247.9026730198063,4008.638047924056,0.0
f4-stars-h0p4,base,newton,-0.38268343236509034,-0.9238795325112865,0.0,766.8669457196304,3426.890745924039,0.0
f4-stars-h0p4,base,newton,-1.8369701987210297e-16,-1.0,0.0,57.237436709534805,3599.432527483523,0.0
f4-stars-h0p4,base,newton,0.38268343236509,-0.9238795325112866,0.0,-393.821968255032,3999.4707632209297,0.0
f4-stars-h0p4,base,newton,0.7071067811865474,-0.7071067811865477,0.0,-1141.0013269424585,4105.945837186031,0.0
f4-stars-h0p4,base,newton,0.9238795325112865,-0.3826834323650904,0.0,-1635.4226260598052,2868.7056112874734,0.0
