atlas_id,role,path,receipt,url,sha256,expected_sha256,bytes,identity_verified,scientific_validation,axes,shape,bunit,beam_major_deg,beam_minor_deg,pixel_scale1_deg,noise_covariance_status,mask_status
NAME:UGC4305,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/HO_II_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/HO_II_NA_CUBE_THINGS.FITS,53e4b5f4c7e22237d7fdee010269348d4b8cad162d8e074180dd685d435a7971,53e4b5f4c7e22237d7fdee010269348d4b8cad162d8e074180dd685d435a7971,231439680,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x54x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC2903,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_2903_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_2903_NA_CUBE_THINGS.FITS,21c6b5f155cb56ccb7e60208a5fd98cd3835d948ce98a296fe25012002b546a8,21c6b5f155cb56ccb7e60208a5fd98cd3835d948ce98a296fe25012002b546a8,368314560,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x87x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC2976,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_2976_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_2976_NA_CUBE_THINGS.FITS,e8ce711a354fcf9c76e7ba9afd9e55fa97df6169863d5473140f20f9c8250169,e8ce711a354fcf9c76e7ba9afd9e55fa97df6169863d5473140f20f9c8250169,191615040,True,not_established_by_hash,RA---SIN;DEC--SIN;VELO-HEL,1024x1024x42x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC3198,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_3198_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_3198_NA_CUBE_THINGS.FITS,c047779288e354a06c664b144eff069b665b70a0730fe7d55513be79ca444168,c047779288e354a06c664b144eff069b665b70a0730fe7d55513be79ca444168,307483200,True,not_established_by_hash,RA---SIN;DEC--SIN;FREQ,1024x1024x72x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC2841,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_2841_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_2841_NA_CUBE_THINGS.FITS,80e80d80e3f16e7d85eca6f977c4d31a9c63b99753b42f69eff16a6fd4b94b49,80e80d80e3f16e7d85eca6f977c4d31a9c63b99753b42f69eff16a6fd4b94b49,553720320,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x132x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:IC2574,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/IC_2574_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/IC_2574_NA_CUBE_THINGS.FITS,a9779550b152833627399454a834854d4cb54b6e1a17f8e280144120f16f4a47,a9779550b152833627399454a834854d4cb54b6e1a17f8e280144120f16f4a47,354562560,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x83x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC3521,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_3521_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_3521_NA_CUBE_THINGS.FITS,da758b45e79f97e162e34ef2e0e2e6bde6646b17e9d7fb771f1e38fe1d8bc6db,da758b45e79f97e162e34ef2e0e2e6bde6646b17e9d7fb771f1e38fe1d8bc6db,457274880,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x109x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:DDO154,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/DDO154_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/DDO154_NA_CUBE_THINGS.FITS,cad83d02a09134ec668adb8d84092282ecbcea26fc9a29288367b35cd4c1662f,cad83d02a09134ec668adb8d84092282ecbcea26fc9a29288367b35cd4c1662f,242668800,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x57x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC4214,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_4214_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_4214_NA_CUBE_THINGS.FITS,09b5a041ff8e73a9e01534739558b032ca6623859ba18ac0e5b6a6c6f783cd5c,09b5a041ff8e73a9e01534739558b032ca6623859ba18ac0e5b6a6c6f783cd5c,433926720,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x102x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
NAME:NGC5055,HI_SPECTRAL_CUBE,work/private/things-observable-12gal-003/NGC_5055_NA_CUBE_THINGS.FITS,work/gravity-first-principles/things-cube-acquisition-001/receipt.json,https://things.www3.mpia.de/Data_files/NGC_5055_NA_CUBE_THINGS.FITS,43f9b440fbf1443ed1436bc700c89b0894028e0c97785a6f9d891ceae8aa92cd,43f9b440fbf1443ed1436bc700c89b0894028e0c97785a6f9d891ceae8aa92cd,368913600,True,not_established_by_hash,RA---SIN;DEC--SIN;FELO-HEL,1024x1024x87x1,JY/BEAM,,,-0.0004166666768,not_validated_by_inventory,requires_source_specific_validation
