R_kpc,z_kpc,best_scalar_relative_vector_error,midplane_matched_relative_vector_error,normalized_curl
0.5,0,0.0,0.0,0.0
0.5,0.5,0.5843487162570941,2.8234021251414134,0.5346403215118977
0.5,2,0.1441445264032452,0.18749129165525283,0.041222397354176335
0.5,8,0.01698602270144016,0.3312686156657375,0.019816543241024793
0.5,32,0.0013389318367570745,0.15079139400018318,0.0014373742739205353
0.5,-0.5,0.5843487162570941,2.8234021251414134,0.5346403215118977
0.5,-2,0.1441445264032452,0.18749129165525283,0.041222397354176335
0.5,-8,0.01698602270144016,0.3312686156657375,0.019816543241024793
0.5,-32,0.0013389318367570745,0.15079139400018318,0.0014373742739205353
1,0,0.0,0.0,0.0
1,0.5,0.7121048232929947,1.8178043926720362,0.5436820188296945
1,2,0.26187768500130276,0.28162190616542715,0.050792597430477225
1,8,0.03367146646747213,0.33016231894859077,0.039369913879119235
1,32,0.002676064870762504,0.15071431936662105,0.0028725040937323866
1,-0.5,0.7121048232929947,1.8178043926720362,0.5436820188296945
1,-2,0.26187768500130276,0.28162190616542715,0.050792597430477225
1,-8,0.03367146646747213,0.33016231894859077,0.039369913879119235
1,-32,0.002676064870762504,0.15071431936662105,0.0028725040937323866
2,0,0.0,0.0,0.0
2,0.5,0.6807468865229491,1.0380136656366454,0.19467974884595385
2,2,0.3918022000063884,0.3969507059881212,0.039282217296991245
2,8,0.0650454880941538,0.3257954029639252,0.07668601710410337
2,32,0.005337787713546475,0.1504069427414008,0.005727116706376483
2,-0.5,0.6807468865229491,1.0380136656366454,0.19467974884595385
2,-2,0.3918022000063884,0.3969507059881212,0.039282217296991245
2,-8,0.0650454880941538,0.3257954029639252,0.07668601710410337
2,-32,0.005337787713546475,0.1504069427414008,0.005727116706376483
4,0,0.0,0.0,0.0
4,0.5,0.5060873496153703,0.578301465324386,0.28591717741770417
4,2,0.4161039290536836,0.4163972688584813,0.28715643661725576
4,8,0.11456298021476174,0.3093430222968137,0.13851991252889204
4,32,0.010562366089202191,0.14919200097747565,0.011313126839449714
4,-0.5,0.5060873496153703,0.578301465324386,0.28591717741770417
4,-2,0.4161039290536836,0.4163972688584813,0.28715643661725576
4,-8,0.11456298021476174,0.3093430222968137,0.13851991252889204
4,-32,0.010562366089202191,0.14919200097747565,0.011313126839449714
8,0,0.0,1.6009131436871343e-16,0.0
8,0.5,0.2995977278553009,0.31004568295798046,0.3495221558207821
8,2,0.30566010008920663,0.30567255865910575,0.3603609768473549
8,8,0.15587255646349282,0.2588186293629649,0.19602709639744126
8,32,0.02026528918726088,0.14455396281672978,0.021558686167269484
8,-0.5,0.2995977278553009,0.31004568295798046,0.3495221558207821
8,-2,0.30566010008920663,0.30567255865910575,0.3603609768473549
8,-8,0.15587255646349282,0.2588186293629649,0.19602709639744126
8,-32,0.02026528918726088,0.14455396281672978,0.021558686167269484
16,0,1.1394522506513896e-16,0.0,0.0
16,0.5,0.1578180085519085,0.15916655503572047,0.19689312586381955
16,2,0.17572175524559952,0.1757354289862524,0.21905532434629363
16,8,0.13810745574803462,0.1695821115645233,0.16983121051032962
16,32,0.03486109239917705,0.12894981212696716,0.03616474392761692
16,-0.5,0.1578180085519085,0.15916655503572047,0.19689312586381955
16,-2,0.17572175524559952,0.1757354289862524,0.21905532434629363
16,-8,0.13810745574803462,0.1695821115645233,0.16983121051032962
16,-32,0.03486109239917705,0.12894981212696716,0.03616474392761692
32,0,0.0,0.0,0.0
32,0.5,0.08001218538108451,0.08018195880718804,0.08589493475249937
32,2,0.09143737770656696,0.09144000272815621,0.0981066608897875
32,8,0.08595233595519808,0.09170010783723045,0.09143809457335875
32,32,0.044729427107315464,0.09267094747842491,0.042927231546283126
32,-0.5,0.08001218538108451,0.08018195880718804,0.08589493475249937
32,-2,0.09143737770656696,0.09144000272815621,0.0981066608897875
32,-8,0.08595233595519808,0.09170010783723045,0.09143809457335875
32,-32,0.044729427107315464,0.09267094747842491,0.042927231546283126
64,0,0.0,0.0,0.0
64,0.5,0.04014751656486643,0.040168774470369165,0.03401252725521286
64,2,0.0461948718482249,0.046195236061308716,0.03912912489724977
64,8,0.04580891452300817,0.0466165559767517,0.03869752587049994
64,32,0.03678331878183301,0.0501268489626921,0.02988805394318464
64,-0.5,0.04014751656486643,0.040168774470369165,0.03401252725521286
64,-2,0.0461948718482249,0.046195236061308716,0.03912912489724977
64,-8,0.04580891452300817,0.0466165559767517,0.03869752587049994
64,-32,0.03678331878183301,0.0501268489626921,0.02988805394318464
