training_background_pixels,validation_background_pixels,channels,minimum_calibration_validation_separation_arcsec,channel_correlation_jitter,spatial_nugget,channel_only_validation_mean_square,joint_validation_mean_square,joint_validation_channel_lag1,diagnostic_pass,covariance_exactly_gaussian_and_separable_established,galaxy_selection_mask_validated,cube_gravity_likelihood_admitted,galaxy,packet_sha256,packet_path
349,36,57,107.86457743408991,0.0,0.01,1.2035048292216304,1.0848425828122727,0.043472132689219206,True,False,False,False,DDO154,87c06770630845d547c2c7d506f0360c1e25652e3b96b187b56893757a626e81,work/private/conditional-cube-pilot-001/DDO154.npz
378,39,83,107.3468140732757,0.0,0.01,1.311361134265123,1.1913430713534385,0.04916833134697464,True,False,False,False,IC2574,ee638fd3c1732a36ebc6dab4090bc74fa9ae4084571dc80551ec55527779bb21,work/private/conditional-cube-pilot-001/IC2574.npz
300,36,132,107.67101551417915,0.0,0.01,1.0247368901026555,0.9402694442902033,-0.06827195334934064,True,False,False,False,NGC2841,1731f0dcddcdbdeb3651a2a517ec047853dfa75f2941652532bf30606f5f6c90,work/private/conditional-cube-pilot-001/NGC2841.npz
364,38,87,107.89430309702321,0.0,0.01,1.0161829875574362,0.9506458413730149,-0.07162004238097433,True,False,False,False,NGC2903,37b9f6aa70c45edf88d3e1fa2d3988a2b43828941e8ca7f0b929104274116da0,work/private/conditional-cube-pilot-001/NGC2903.npz
324,36,42,107.34405668402404,0.0,0.01,1.2011978356592925,1.0955085910135882,0.032473352293806344,True,False,False,False,NGC2976,f7c55d69b4ec875257ed12565908ca7825a5c3bc51b57e951d7bbebdcdd13bff,work/private/conditional-cube-pilot-001/NGC2976.npz
401,35,72,108.00019046175838,0.0,0.01,1.4138834732917185,1.202014577584611,0.17617631191490382,False,False,False,False,NGC3198,5aec3f25cebccb853a79141b1e0e9357badc0e7c6addb9f391a4abbc908c3cbb,work/private/conditional-cube-pilot-001/NGC3198.npz
345,38,109,108.00019175049928,0.0,0.01,1.1076683461813783,1.00618199349494,-0.004459755374793946,True,False,False,False,NGC3521,ef122a4633694a0c298de3bce188ea7f706d6abb1806dd3950e8b1c9bbf0dfeb,work/private/conditional-cube-pilot-001/NGC3521.npz
320,39,102,108.00019126505707,0.0,0.01,1.0545566417336303,0.9713968786868787,-0.01936820667960618,True,False,False,False,NGC4214,817434f14feb96bc25d27d93dd774c468e422505c5cdbfdc7f85a5c31953ebe9,work/private/conditional-cube-pilot-001/NGC4214.npz
414,36,87,107.75972370806525,0.0,0.01,1.1967974887870778,1.0732918659573378,-0.019486376327185497,True,False,False,False,NGC5055,14d2fcb32a0d36c440326cf38b8f6616f84a51c77ec4eed76e14861ab1da2b42,work/private/conditional-cube-pilot-001/NGC5055.npz
370,41,115,107.55539031177508,0.0,0.01,1.0359548842067712,0.9792615428091592,-0.020445346502752624,True,False,False,False,NGC6946,a84114b53301d2fe58f21e72a171f158a4a356f4cf663b362754d8c8287defdb,work/private/conditional-cube-pilot-001/NGC6946.npz
399,36,116,108.00019135955824,0.0,0.01,0.9324908639233634,0.8671847621842034,-0.0842206431162591,True,False,False,False,NGC7331,e3a3ab50101b13d76941fc5dd9a657cc08d4ad55efb2f11980c94c2abba2ff16,work/private/conditional-cube-pilot-001/NGC7331.npz
440,46,54,107.1743858541801,0.0,0.01,1.0405273472498109,0.9684131896167236,-0.04687756280122791,True,False,False,False,UGC04305,31f9266a8bf7118c096b8ae759b1bb9c4bdea5d18ba3db507acd0aa7743aa7e9,work/private/conditional-cube-pilot-001/UGC04305.npz
