axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	log_baryonic_speed_km_s	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	phase_space_proxy	minimum_item34_role_separation_arcsec	minimum_item35_role_separation_arcsec	minimum_item36_role_separation_arcsec	mass_quartile	sample_cell	role	outer_fold	source_map_read	velocity_response_read
7.792470000000e-01	1.388861000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.792135620117e+01	1.270022000000e+00	0.000000000000e+00	4.123000000000e-01	3.294049000000e+01	3.707099000000e+00	5.536615000000e+00	4.053882000000e+00	6.777364918373e-01	9.641480950887e-01	-1.033627841556e+01	8.999902272747e+00	-6.168766464802e-01	7.644429289072e+00	1-122125	-3.483346398617e+00	10215-3701	1.220400314331e+02	2.235490000000e-02	8.986620000000e-01	4.609182000000e-02	1.125878000000e-01	9.207635000000e+00	1.425467564500e+03	9.997750000004e+08	4.761420000000e+00	1.477863067799e+00	6.146658691900e-12	2.211078633937e+06	6.344604187933e+00	7.911014984536e+00	1.232497748042e+03	4.916575433453e+03	7.944014426585e+03	0	mq0	exploration	3	False	False
6.733970000000e-01	1.520447000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.091053771973e+01	1.356640000000e+00	0.000000000000e+00	5.905000000000e-01	2.564287000000e+01	4.007481000000e+00	5.065891000000e+00	3.075903000000e+00	9.190053550407e-01	1.018900128402e+00	-1.058344940506e+01	9.844205579124e+00	-4.022886928361e-01	8.006194869043e+00	1-605181	-3.543594757001e+00	10219-9102	1.253439178467e+02	2.193580000000e-02	1.620990000000e+00	1.822872000000e-01	3.020547000000e-01	1.044480000000e+01	6.806207136829e+02	6.985630000002e+09	8.298610000000e+00	1.779380289386e+00	1.413854369990e-11	2.918104932579e+06	6.465100904699e+00	7.126960036543e+00	2.558122121178e+03	1.073109170191e+03	1.398660269139e+04	3	mq3	exploration	0	False	False
5.651760000000e-01	1.740448000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.172663879395e+01	1.487657000000e+00	0.000000000000e+00	7.015000000000e-01	3.291144000000e+01	2.549623000000e+00	2.326017000000e+00	-4.782115000000e-01	4.560880564585e-01	8.971358959330e-01	-1.065508227894e+01	9.459090789601e+00	-6.416796021165e-01	8.546914676684e+00	1-201961	-4.045413310112e+00	10220-3701	1.204305114746e+02	3.874270000000e-02	2.368900000000e+00	6.368080000000e-02	8.819097000000e-02	7.891070000000e+00	1.607521996982e+03	2.878000000003e+09	2.858170000000e+00	1.818281543915e+00	4.910486101321e-11	2.942645940787e+07	7.468738010923e+00	8.013893379177e+00	3.086866333668e+03	1.461812630709e+03	9.899612186880e+03	1	mq1	exploration	0	False	False
8.370410000000e-01	1.356226000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.506950759888e+01	1.198102000000e+00	0.000000000000e+00	3.788000000000e-01	4.270494000000e+01	4.193727000000e+00	5.800650000000e+00	4.243457000000e+00	4.528394346410e-01	1.091325013917e+00	-1.026810078737e+01	9.291262262040e+00	-4.596188384806e-01	8.385583392758e+00	1-230070	-3.966371979058e+00	10221-3704	1.236473770142e+02	3.967860000000e-02	7.308900000000e-01	1.054779000000e-01	2.201535000000e-01	1.234028000000e+01	2.053720397394e+03	1.955520000001e+09	2.836870000000e+00	1.735991591043e+00	3.386828473029e-11	2.044821245660e+07	7.310655348815e+00	8.102680575684e+00	2.329671231098e+03	5.812521599347e+03	4.891128564360e+03	1	mq1	exploration	2	False	False
6.787290000000e-01	1.445635000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.543799972534e+01	1.252454000000e+00	0.000000000000e+00	5.438000000000e-01	1.401366000000e+00	4.014416000000e+00	5.150952000000e+00	5.033607000000e+00	7.905884307680e-01	8.741322120225e-01	-1.185530571926e+01	1.100493583109e+01	-7.578619969730e-01	9.423758969549e+00	1-379829	-4.316585269391e+00	10494-6103	1.246669158936e+02	1.343950000000e-01	7.763640000000e-01	1.411335000000e-01	2.574563000000e-01	7.483973000000e+00	7.564761223686e+02	1.011430000011e+11	6.174310000000e+00	2.423953877505e+00	3.698015941713e-10	1.025845433337e+08	8.011081929484e+00	6.739220296969e+00	1.336287981240e+03	1.317583796268e+04	7.618349909951e+03	3	mq3	reserved_confirmation		False	False
4.005420000000e-01	1.557447000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.969837951660e+01	1.340734000000e+00	0.000000000000e+00	7.360000000000e-01	2.622646000000e+01	4.131882000000e+00	6.419441000000e+00	4.050771000000e+00	8.859252102955e-01	9.144942081976e-01	-1.059069201799e+01	9.684259027393e+00	-5.201875264504e-01	7.912408606802e+00	1-154273	-3.513241698253e+00	10496-6101	1.252894973755e+02	2.737890000000e-02	2.477360000000e+00	1.240415000000e-01	2.019259000000e-01	8.212856000000e+00	1.567259249418e+03	4.833470000005e+09	7.689980000001e+00	1.715947085893e+00	1.139248371016e-11	2.537434189098e+06	6.404394787204e+00	7.256553529526e+00	4.560493673536e+03	7.977128178033e+03	7.119007398661e+03	2	mq2	exploration	0	False	False
7.762080000000e-01	1.635354000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.728473281860e+01	1.459516000000e+00	0.000000000000e+00	6.601000000000e-01	1.361049000000e+01	2.853338000000e+00	2.937048000000e+00	-5.864529000000e-01	2.328691051326e-01	1.261882099907e+00	-1.111206183079e+01	9.500608293506e+00	-2.640530059199e-01	9.034870083240e+00	1-412352	-4.401000489054e+00	10497-1901	1.206246871948e+02	4.056810000000e-02	1.824260000000e+00	2.446507000000e-02	6.594179000000e-02	1.827604000000e+01	6.878240131799e+02	3.166710000003e+09	1.709500000000e+00	1.950649771531e+00	1.510357973693e-10	1.513255875458e+08	8.179912368806e+00	8.327963054214e+00	3.539999313932e+03	3.465255796226e+03	4.878032595913e+03	1	mq1	exploration	0	False	False
6.219860000000e-01	1.573451000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.632291030884e+01	1.379000000000e+00	0.000000000000e+00	6.810000000000e-01	1.318831000000e+01	3.484713000000e+00	3.557327000000e+00	1.881289000000e+00	8.710770665249e-01	1.045750802374e+00	-1.102885189123e+01	1.073742404569e+01	-4.278510422950e-01	8.995269912637e+00	1-605458	-4.062096423056e+00	10498-9101	1.313880462646e+02	5.676620000000e-02	1.134580000000e+00	5.111780000000e-01	1.050647000000e+00	1.111094000000e+01	2.612038288587e+03	5.462910000043e+10	7.431510000000e+00	2.249953666927e+00	1.378731576315e-10	3.177636656833e+07	7.502104236813e+00	6.752243236033e+00	3.025901768290e+03	7.872475257073e+03	2.151792194508e+03	3	mq3	reserved_confirmation		False	False
3.952440000000e-01	1.646171000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.927951049805e+01	1.447248000000e+00	0.000000000000e+00	7.515000000000e-01	1.564237000000e+01	3.394497000000e+00	3.972575000000e+00	1.192161000000e+00	8.867856068753e-01	1.035361686713e+00	-1.097062016612e+01	9.922043126621e+00	-4.533787511366e-01	8.148471912871e+00	1-299845	-3.630843152998e+00	10499-3704	1.329525451660e+02	2.706650000000e-02	1.400500000000e+00	8.941759000000e-02	1.360672000000e-01	1.084830000000e+01	1.487397159322e+03	8.356859999994e+09	7.705229999999e+00	1.834408937217e+00	1.961921932985e-11	4.361116584421e+06	6.639597696693e+00	7.136370885042e+00	2.831086962442e+03	8.440778839634e+03	1.262885545590e+04	3	mq3	exploration	2	False	False
3.851720000000e-01	1.733887000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.194464206696e+00	1.521454000000e+00	0.000000000000e+00	6.736000000000e-01	7.001028000000e+00	2.971880000000e+00	2.078171000000e+00	-3.687754000000e-01	7.255285985608e-01	9.665713074253e-01	-1.137577190817e+01	9.511986243177e+00	-6.247277016061e-01	8.060929046055e+00	1-80127	-3.667700223747e+00	10503-6102	1.601701354980e+02	2.725930000000e-02	5.317420000000e-01	1.368404000000e-02	2.558200000000e-02	9.259154000000e+00	9.302801858489e+02	3.250770000002e+09	5.315310000000e+00	1.710008999652e+00	1.603758072928e-11	5.167873069263e+06	6.713311838192e+00	7.583284839236e+00	1.855717978680e+03	1.105480096116e+03	4.709210547993e+03	2	mq2	exploration	1	False	False
