axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	half_light_radius_kpc	halpha_ew	hbeta	hdelta_a	hgamma_a	internal_acceleration_m_s2	log_baryonic_speed_km_s	log_half_light_radius	log_mean_stellar_density	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_quartile	mass_size_crossing_proxy	mean_stellar_density_msun_kpc3	minimum_item34_role_separation_arcsec	minimum_item35_role_separation_arcsec	minimum_item36_role_separation_arcsec	minimum_predecessor_separation_arcsec	outer_fold	phase_space_proxy	plateifu	ra	redshift	role	sample_cell	sersic_index	sfr_1re	sfr_tot	snr_med_g	source_map_read	stellar_mass_msun	velocity_response_read	annulus	annulus_index	source_pixels	weighted_radius_re	flux_m1	flux_m2	flux_m3	source_nonaxisymmetry	flux_asymmetry	centroid_offset_re	radial_concentration	radius_kpc	enclosed_stellar_mass_msun	enclosed_stellar_mass_fraction	log_baryonic_speed_km_s	log_acceleration	omega_Gyr_inverse	log_omega_Gyr_inverse	mode_frequency_ratio	age_gyr_proxy	vertical_to_orbital_frequency	radial_enclosed_mass_slope	torsion_proxy	nonmetricity_proxy	Finsler_anisotropy_proxy	affine_holonomy_proxy
7.792470000000e-01	1.388861000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.792135620117e+01	1.270022000000e+00	0.000000000000e+00	4.123000000000e-01	4.761420000000e+00	3.294049000000e+01	3.707099000000e+00	5.536615000000e+00	4.053882000000e+00	6.146658691900e-12	1.282543107557e+00	6.777364918373e-01	6.344604187933e+00	9.641480950887e-01	-1.033627841556e+01	8.999902272747e+00	-6.168766464802e-01	7.644429289072e+00	1-122125	0	-3.483346398617e+00	2.211078633937e+06	1.232497748042e+03	4.916575433453e+03	7.944014426585e+03	1.425467564500e+03	3	7.911014984536e+00	10215-3701	1.220400314331e+02	2.235490000000e-02	exploration	mq0	8.986620000000e-01	4.609182000000e-02	1.125878000000e-01	9.207635000000e+00	False	9.997750000004e+08	False	inner	0	133	5.304248719966e-01	3.709205441158e-02	3.527215309789e-02	6.637662910941e-03	5.161398893277e-02	1.101457980916e-01	8.637044384042e-02	2.256676937313e-01	2.525575594022e+00	2.157179241923e+08	2.157664716484e-01	1.282543107557e+00	-1.132662470219e+01	7.761330141935e+00	8.899361573147e-01	1.614510500339e+00	1.850110000000e+00	1.408481172379e+00	1.278991219042e+00	2.491284002533e-02	3.605043904788e-01	1.627706128411e-02	5.556981746231e-02
7.792470000000e-01	1.388861000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.792135620117e+01	1.270022000000e+00	0.000000000000e+00	4.123000000000e-01	4.761420000000e+00	3.294049000000e+01	3.707099000000e+00	5.536615000000e+00	4.053882000000e+00	6.146658691900e-12	1.328651636031e+00	6.777364918373e-01	6.344604187933e+00	9.641480950887e-01	-1.033627841556e+01	8.999902272747e+00	-6.168766464802e-01	7.644429289072e+00	1-122125	0	-3.483346398617e+00	2.211078633937e+06	1.232497748042e+03	4.916575433453e+03	7.944014426585e+03	1.425467564500e+03	3	7.911014984536e+00	10215-3701	1.220400314331e+02	2.235490000000e-02	exploration	mq0	8.986620000000e-01	4.609182000000e-02	1.125878000000e-01	9.207635000000e+00	False	9.997750000004e+08	False	outer	1	362	1.135432625496e+00	1.255115789655e-01	8.858876806334e-02	2.732098309900e-02	1.560370545701e-01	1.101457980916e-01	8.637044384042e-02	2.256676937313e-01	5.406271611687e+00	5.710061400925e+08	5.711346453875e-01	1.328651636031e+00	-1.156494513407e+01	4.031876278580e+00	6.055071969607e-01	1.593281190960e+00	1.850110000000e+00	2.711315184846e+00	1.278991219042e+00	9.775715455211e-02	3.605043904788e-01	4.920806843929e-02	1.100782778592e-01
6.733970000000e-01	1.520447000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.091053771973e+01	1.356640000000e+00	0.000000000000e+00	5.905000000000e-01	8.298610000000e+00	2.564287000000e+01	4.007481000000e+00	5.065891000000e+00	3.075903000000e+00	1.413854369990e-11	1.625834771362e+00	9.190053550407e-01	6.465100904699e+00	1.018900128402e+00	-1.058344940506e+01	9.844205579124e+00	-4.022886928361e-01	8.006194869043e+00	1-605181	3	-3.543594757001e+00	2.918104932579e+06	2.558122121178e+03	1.073109170191e+03	1.398660269139e+04	6.806207136829e+02	0	7.126960036543e+00	10219-9102	1.253439178467e+02	2.193580000000e-02	exploration	mq3	1.620990000000e+00	1.822872000000e-01	3.020547000000e-01	1.044480000000e+01	False	6.985630000002e+09	False	inner	0	343	5.135755669360e-01	3.350019753424e-02	1.927404297955e-02	5.164799206230e-03	3.899265467304e-02	8.314844015219e-02	1.535475191913e-02	2.882789686806e-01	4.261963335531e+00	1.768963603263e+09	2.532289289960e-01	1.625834771362e+00	-1.086729071178e+01	1.013861155179e+01	1.005978483924e+00	1.510944633102e+00	2.283200000000e+00	1.238674159759e+00	9.916025940765e-01	1.741107263971e-02	5.041987029617e-01	1.819302570597e-02	4.828585330773e-02
6.733970000000e-01	1.520447000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.091053771973e+01	1.356640000000e+00	0.000000000000e+00	5.905000000000e-01	8.298610000000e+00	2.564287000000e+01	4.007481000000e+00	5.065891000000e+00	3.075903000000e+00	1.413854369990e-11	1.624414755272e+00	9.190053550407e-01	6.465100904699e+00	1.018900128402e+00	-1.058344940506e+01	9.844205579124e+00	-4.022886928361e-01	8.006194869043e+00	1-605181	3	-3.543594757001e+00	2.918104932579e+06	2.558122121178e+03	1.073109170191e+03	1.398660269139e+04	6.806207136829e+02	0	7.126960036543e+00	10219-9102	1.253439178467e+02	2.193580000000e-02	exploration	mq3	1.620990000000e+00	1.822872000000e-01	3.020547000000e-01	1.044480000000e+01	False	6.985630000002e+09	False	outer	1	934	1.118942750361e+00	4.203087444946e-02	3.492429904762e-02	1.500655178474e-02	5.667007735500e-02	8.314844015219e-02	1.535475191913e-02	2.882789686806e-01	9.285669497577e+00	3.828973650646e+09	5.481214508419e-01	1.624414755272e+00	-1.120833425655e+01	4.638258565256e+00	6.663549552407e-01	1.706135105862e+00	2.283200000000e+00	2.707575692116e+00	9.916025940765e-01	3.291202479031e-02	5.041987029617e-01	2.644088182054e-02	6.638721464603e-02
8.370410000000e-01	1.356226000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.506950759888e+01	1.198102000000e+00	0.000000000000e+00	3.788000000000e-01	2.836870000000e+00	4.270494000000e+01	4.193727000000e+00	5.800650000000e+00	4.243457000000e+00	3.386828473029e-11	1.527524226713e+00	4.528394346410e-01	7.310655348815e+00	1.091325013917e+00	-1.026810078737e+01	9.291262262040e+00	-4.596188384806e-01	8.385583392758e+00	1-230070	1	-3.966371979058e+00	2.044821245660e+07	2.329671231098e+03	5.812521599347e+03	4.891128564360e+03	2.053720397394e+03	2	8.102680575684e+00	10221-3704	1.236473770142e+02	3.967860000000e-02	exploration	mq1	7.308900000000e-01	1.054779000000e-01	2.201535000000e-01	1.234028000000e+01	False	1.955520000001e+09	False	inner	0	52	5.401450012914e-01	6.802179083707e-03	1.797180620688e-02	4.512086514078e-03	1.973865201413e-02	1.048056415815e-01	2.775631609671e-03	1.949078379451e-01	1.532321149814e+00	4.044249073737e+08	2.068119514878e-01	1.527524226713e+00	-1.061965188775e+01	2.248681011474e+01	1.351927852598e+00	1.921802671765e+00	1.490510000000e+00	1.478376093887e+00	1.383371695647e+00	9.806506489981e-03	3.083141521767e-01	4.595129990816e-03	2.764573306480e-02
8.370410000000e-01	1.356226000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.506950759888e+01	1.198102000000e+00	0.000000000000e+00	3.788000000000e-01	2.836870000000e+00	4.270494000000e+01	4.193727000000e+00	5.800650000000e+00	4.243457000000e+00	3.386828473029e-11	1.589269746803e+00	4.528394346410e-01	7.310655348815e+00	1.091325013917e+00	-1.026810078737e+01	9.291262262040e+00	-4.596188384806e-01	8.385583392758e+00	1-230070	1	-3.966371979058e+00	2.044821245660e+07	2.329671231098e+03	5.812521599347e+03	4.891128564360e+03	2.053720397394e+03	2	8.102680575684e+00	10221-3704	1.236473770142e+02	3.967860000000e-02	exploration	mq1	7.308900000000e-01	1.054779000000e-01	2.201535000000e-01	1.234028000000e+01	False	1.955520000001e+09	False	outer	1	138	1.134040760952e+00	5.306716502939e-04	2.783012450231e-02	2.030312870535e-02	3.445307645828e-02	1.048056415815e-01	2.775631609671e-03	1.949078379451e-01	3.217126213521e+00	1.128358846772e+09	5.770121741383e-01	1.589269746803e+00	-1.081827915099e+01	1.234681864990e+01	1.091555069274e+00	2.406306254844e+00	1.490510000000e+00	2.692512415065e+00	1.383371695647e+00	2.209969566480e-02	3.083141521767e-01	8.020626980807e-03	4.150152895570e-02
4.005420000000e-01	1.557447000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.969837951660e+01	1.340734000000e+00	0.000000000000e+00	7.360000000000e-01	7.689980000001e+00	2.622646000000e+01	4.131882000000e+00	6.419441000000e+00	4.050771000000e+00	1.139248371016e-11	1.590705968601e+00	8.859252102955e-01	6.404394787204e+00	9.144942081976e-01	-1.059069201799e+01	9.684259027393e+00	-5.201875264504e-01	7.912408606802e+00	1-154273	2	-3.513241698253e+00	2.537434189098e+06	4.560493673536e+03	7.977128178033e+03	7.119007398661e+03	1.567259249418e+03	0	7.256553529526e+00	10496-6101	1.252894973755e+02	2.737890000000e-02	exploration	mq2	2.477360000000e+00	1.240415000000e-01	2.019259000000e-01	8.212856000000e+00	False	4.833470000005e+09	False	inner	0	182	5.181142550577e-01	4.145499601717e-02	4.602825921373e-02	2.160682094914e-02	6.560466486888e-02	1.668756651009e-01	3.984790289750e-02	2.565774475147e-01	3.984288259109e+00	1.406702742495e+09	2.910337174935e-01	1.590705968601e+00	-1.090828935966e+01	1.000250181377e+01	1.000108638802e+00	1.818057006072e+00	2.203670000000e+00	1.170776142883e+00	7.998965529191e-01	2.794986663612e-02	6.000517235404e-01	5.618177313281e-02	6.991262879229e-02
4.005420000000e-01	1.557447000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.969837951660e+01	1.340734000000e+00	0.000000000000e+00	7.360000000000e-01	7.689980000001e+00	2.622646000000e+01	4.131882000000e+00	6.419441000000e+00	4.050771000000e+00	1.139248371016e-11	1.556920359483e+00	8.859252102955e-01	6.404394787204e+00	9.144942081976e-01	-1.059069201799e+01	9.684259027393e+00	-5.201875264504e-01	7.912408606802e+00	1-154273	2	-3.513241698253e+00	2.537434189098e+06	4.560493673536e+03	7.977128178033e+03	7.119007398661e+03	1.567259249418e+03	0	7.256553529526e+00	10496-6101	1.252894973755e+02	2.737890000000e-02	exploration	mq2	2.477360000000e+00	1.240415000000e-01	2.019259000000e-01	8.212856000000e+00	False	4.833470000005e+09	False	outer	1	455	1.127475132090e+00	6.042751834359e-02	1.177998074652e-01	4.035738554400e-02	1.384088081733e-01	1.668756651009e-01	3.984790289750e-02	2.565774475147e-01	8.670261216267e+00	2.620067899664e+09	5.420676862920e-01	1.556920359483e+00	-1.131354200829e+01	4.252473337293e+00	6.286415992975e-01	1.908181442904e+00	2.203670000000e+00	2.753853948948e+00	7.998965529191e-01	7.677178031594e-02	6.000517235404e-01	1.185289533285e-01	1.158688157806e-01
3.952440000000e-01	1.646171000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.927951049805e+01	1.447248000000e+00	0.000000000000e+00	7.515000000000e-01	7.705229999999e+00	1.564237000000e+01	3.394497000000e+00	3.972575000000e+00	1.192161000000e+00	1.961921932985e-11	1.671383745703e+00	8.867856068753e-01	6.639597696693e+00	1.035361686713e+00	-1.097062016612e+01	9.922043126621e+00	-4.533787511366e-01	8.148471912871e+00	1-299845	3	-3.630843152998e+00	4.361116584421e+06	2.831086962442e+03	8.440778839634e+03	1.262885545590e+04	1.487397159322e+03	2	7.136370885042e+00	10499-3704	1.329525451660e+02	2.706650000000e-02	exploration	mq3	1.400500000000e+00	8.941759000000e-02	1.360672000000e-01	1.084830000000e+01	False	8.356859999994e+09	False	inner	0	177	5.253235649826e-01	5.356142474695e-02	2.783348338287e-02	6.809562605865e-03	6.074454017466e-02	1.130058185058e-01	4.095300667026e-02	3.041870544948e-01	4.047738892611e+00	2.072142538931e+09	2.479570722654e-01	1.671383745703e+00	-1.075379554353e+01	1.185563111374e+01	1.073924677835e+00	1.469960402787e+00	2.736240000000e+00	1.294968725117e+00	1.067961581585e+00	2.780391821290e-02	4.660192092077e-01	5.247946448267e-02	6.157642193542e-02
3.952440000000e-01	1.646171000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	2.927951049805e+01	1.447248000000e+00	0.000000000000e+00	7.515000000000e-01	7.705229999999e+00	1.564237000000e+01	3.394497000000e+00	3.972575000000e+00	1.192161000000e+00	1.961921932985e-11	1.681994036758e+00	8.867856068753e-01	6.639597696693e+00	1.035361686713e+00	-1.097062016612e+01	9.922043126621e+00	-4.533787511366e-01	8.148471912871e+00	1-299845	3	-3.630843152998e+00	4.361116584421e+06	2.831086962442e+03	8.440778839634e+03	1.262885545590e+04	1.487397159322e+03	2	7.136370885042e+00	10499-3704	1.329525451660e+02	2.706650000000e-02	exploration	mq3	1.400500000000e+00	8.941759000000e-02	1.360672000000e-01	1.084830000000e+01	False	8.356859999994e+09	False	outer	1	336	1.078128873903e+00	9.988580242261e-02	2.333225657543e-01	1.083081747545e-02	2.540352334283e-01	1.130058185058e-01	4.095300667026e-02	3.041870544948e-01	8.307230943063e+00	4.465643019907e+09	5.343685331465e-01	1.681994036758e+00	-1.104481875583e+01	5.919583820282e+00	7.722911744749e-01	1.741148716015e+00	2.736240000000e+00	2.593539001206e+00	1.067961581585e+00	1.480140410197e-01	4.660192092077e-01	2.194704737531e-01	1.420734432882e-01
