domain,anonymous_formula_id,concept_id,cell_id,lane,architecture_id,driver_ids,entry_kind,lay_mechanism,valid,source_gate_failure_count,category,strict_domain_pass,support_count,statistical_gate_pass_count,robust_loss,strongest_worst_fractional_improvement,strongest_best_fractional_improvement,baryon_outcome,baryon_worst_fractional_improvement,baryon_best_fractional_improvement,baryon_winning_scenarios,rar_outcome,rar_worst_fractional_improvement,rar_best_fractional_improvement,rar_winning_scenarios,mond_n1_outcome,mond_n1_worst_fractional_improvement,mond_n1_best_fractional_improvement,mond_n1_winning_scenarios,clock_outcome,clock_worst_fractional_improvement,clock_best_fractional_improvement,clock_winning_scenarios,nfw_outcome,nfw_worst_fractional_improvement,nfw_best_fractional_improvement,nfw_winning_scenarios,einasto_outcome,einasto_worst_fractional_improvement,einasto_best_fractional_improvement,einasto_winning_scenarios,previous_cross_scale_outcome,previous_cross_scale_worst_fractional_improvement,previous_cross_scale_best_fractional_improvement,previous_cross_scale_winning_scenarios
GALAXIES,F0004,GP01-L,GP01L-n1,CORE,GP01,GP01,GP01_BRANCH,GP01 local or elliptic gain branch; see the bound GP01 package.,true,0,NUISANCE_CONDITIONAL_OVER_RAR,false,3,0,53.4914755868,-16.236788958,-4.99949106615,ROBUST_2PCT_WIN,0.880062101111,0.898446625949,3,NUISANCE_CONDITIONAL_WIN,-0.317387282499,0.0849871909391,1,PREDICTION_EQUIVALENT_TIE,0,0,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-16.236788958,-4.99949106615,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0004,GP01-L,GP01L-n2,CORE,GP01,GP01,GP01_BRANCH,GP01 local or elliptic gain branch; see the bound GP01 package.,true,0,ROBUST_OVER_BARYON_ONLY,false,3,0,70.0262637076,-21.5648650706,-5.99503435358,ROBUST_2PCT_WIN,0.842988011753,0.879579087753,3,LOSS_ALL_SCENARIOS,-0.724605803772,-0.0668481647478,0,LOSS_ALL_SCENARIOS,-0.309110712304,-0.165937956478,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-21.5648650706,-5.99503435358,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0004,GP01-L,GP01L-n4,CORE,GP01,GP01,GP01_BRANCH,GP01 local or elliptic gain branch; see the bound GP01 package.,true,0,ROBUST_OVER_BARYON_ONLY,false,5,0,75.378082974,-23.2894048823,-6.59891986111,ROBUST_2PCT_WIN,0.830988231395,0.869183078236,3,LOSS_ALL_SCENARIOS,-0.856410330801,-0.158949806121,0,LOSS_ALL_SCENARIOS,-0.419225659223,-0.266594078952,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-23.2894048823,-6.59891986111,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0008,TW2-A01-D01,TW2-A01-D01-C001,CORE,A01_LAPSE,D01_ACC,ATOMIC,The local_lapse template lets source-side baryonic_acceleration alter an effective matter field.,true,0,NO_BASELINE_ADVANCE,false,0,0,445.993102116,-142.714281454,-57.0882026472,PREDICTION_EQUIVALENT_TIE,0,0,0,LOSS_ALL_SCENARIOS,-10.2764548893,-7.85932638143,0,LOSS_ALL_SCENARIOS,-8.84703865669,-7.33764814343,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-142.714281454,-57.0882026472,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0008,TW2-A01-D01,TW2-A01-D01-C002,CORE,A01_LAPSE,D01_ACC,ATOMIC,The local_lapse template lets source-side baryonic_acceleration alter an effective matter field.,true,0,ROBUST_OVER_BARYON_ONLY,false,0,0,420.586706307,-134.527468921,-54.0917002709,ROBUST_2PCT_WIN,0.0515853863563,0.0588451487966,3,LOSS_ALL_SCENARIOS,-9.61289022345,-7.40231460719,0,LOSS_ALL_SCENARIOS,-8.26758820173,-6.86268656254,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-134.527468921,-54.0917002709,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0010,TW2-A01-D03,TW2-A01-D03-C001,CORE,A01_LAPSE,D03_RAD,ATOMIC,The local_lapse template lets source-side source_radius alter an effective matter field.,true,0,NO_BASELINE_ADVANCE,false,0,0,445.993102116,-142.714281454,-57.0882026472,PREDICTION_EQUIVALENT_TIE,0,0,0,LOSS_ALL_SCENARIOS,-10.2764548893,-7.85932638143,0,LOSS_ALL_SCENARIOS,-8.84703865669,-7.33764814343,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-142.714281454,-57.0882026472,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0010,TW2-A01-D03,TW2-A01-D03-C002,CORE,A01_LAPSE,D03_RAD,ATOMIC,The local_lapse template lets source-side source_radius alter an effective matter field.,true,0,ROBUST_OVER_BARYON_ONLY,false,0,0,342.383513897,-109.327716837,-42.127646281,ROBUST_2PCT_WIN,0.232312086728,0.257548963205,3,LOSS_ALL_SCENARIOS,-7.44863809351,-5.5776160572,0,LOSS_ALL_SCENARIOS,-6.37767913052,-5.40071170483,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-109.327716837,-42.127646281,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0013,TW2-A01-D06,TW2-A01-D06-C001,CORE,A01_LAPSE,D06_SLOPE,ATOMIC,The local_lapse template lets source-side source_log_slope alter an effective matter field.,true,0,NO_BASELINE_ADVANCE,false,0,0,445.993102116,-142.714281454,-57.0882026472,PREDICTION_EQUIVALENT_TIE,0,0,0,LOSS_ALL_SCENARIOS,-10.2764548893,-7.85932638143,0,LOSS_ALL_SCENARIOS,-8.84703865669,-7.33764814343,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-142.714281454,-57.0882026472,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0013,TW2-A01-D06,TW2-A01-D06-C002,CORE,A01_LAPSE,D06_SLOPE,ATOMIC,The local_lapse template lets source-side source_log_slope alter an effective matter field.,true,0,ROBUST_OVER_BARYON_ONLY,false,1,0,368.97068285,-117.895014994,-45.3742044272,ROBUST_2PCT_WIN,0.172698678299,0.201658816871,3,LOSS_ALL_SCENARIOS,-8.11340006689,-6.07276510508,0,LOSS_ALL_SCENARIOS,-6.95817512094,-5.89774732894,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-117.895014994,-45.3742044272,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0020,TW2-A01-D13,TW2-A01-D13-C001,CORE,A01_LAPSE,D13_GASF,ATOMIC,The local_lapse template lets source-side baryonic_gas_fraction alter an effective matter field.,true,0,NO_BASELINE_ADVANCE,false,0,0,445.993102116,-142.714281454,-57.0882026472,PREDICTION_EQUIVALENT_TIE,0,0,0,LOSS_ALL_SCENARIOS,-10.2764548893,-7.85932638143,0,LOSS_ALL_SCENARIOS,-8.84703865669,-7.33764814343,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-142.714281454,-57.0882026472,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
GALAXIES,F0020,TW2-A01-D13,TW2-A01-D13-C002,CORE,A01_LAPSE,D13_GASF,ATOMIC,The local_lapse template lets source-side baryonic_gas_fraction alter an effective matter field.,true,0,ROBUST_OVER_BARYON_ONLY,false,0,0,418.543089207,-133.868945366,-53.0536176956,ROBUST_2PCT_WIN,0.0615480660546,0.0694561850396,3,LOSS_ALL_SCENARIOS,-9.53594309573,-7.24399136896,0,LOSS_ALL_SCENARIOS,-8.20039497933,-6.82448202476,0,NOT_APPLICABLE,,,0,LOSS_ALL_SCENARIOS,-133.868945366,-53.0536176956,0,NOT_APPLICABLE,,,0,NOT_APPLICABLE,,,0
