domain,comparator_id,scenario_count,mean_of_scenario_mean_losses,candidate_cells_with_any_scenario_win,candidate_cells_winning_all_scenarios,candidate_cells_winning_all_by_two_percent,best_candidate_cell,best_candidate_worst_fractional_improvement
GALAXIES,ALGEBRAIC_MOND_GP01_L_n1,3,41.8869046879,0,0,0,GP01L-n1,0
GALAXIES,ALGEBRAIC_MOND_GP01_L_n2,3,53.1179864465,1,1,1,GP01L-n1,0.142321429332
GALAXIES,ALGEBRAIC_MOND_GP01_L_n4,3,57.5511048807,2,2,2,GP01L-n1,0.210481071546
GALAXIES,BARYON_ONLY,3,383.69498924,76,76,66,GP01L-n1,0.880062101111
GALAXIES,EMPIRICAL_RAR,3,37.0116920559,1,0,0,GP01L-n1,-0.317387282499
GALAXIES,GR_PLUS_NFW_CONTEXTUAL_CEILING,3,4.209498187,0,0,0,GP01L-n1,-16.236788958
CLUSTERS,ALGEBRAIC_MOND_GP01_L_n1,3,188.310926107,0,0,0,GP01L-n1,0
CLUSTERS,ALGEBRAIC_MOND_GP01_L_n2,3,205.886172959,1,1,1,GP01L-n1,0.076548320899
CLUSTERS,ALGEBRAIC_MOND_GP01_L_n4,3,207.324056613,2,2,1,GP01L-n1,0.0816962314752
CLUSTERS,BARYON_ONLY,3,815.592901258,1459,1458,676,GP01L-n1,0.75963471749
CLUSTERS,EMPIRICAL_RAR,3,152.39649392,0,0,0,GP01L-n1,-0.258473326254
CLUSTERS,EXTENDED_SOURCE_CLOCK,3,139.301827833,0,0,0,GP01L-n1,-0.409322772448
CLUSTERS,GR_PLUS_EINASTO_CONTEXTUAL_CEILING,3,28.6611125858,0,0,0,GP01L-n1,-6.24746671683
CLUSTERS,GR_PLUS_NFW_CONTEXTUAL_CEILING,3,28.8105722836,0,0,0,GP01L-n1,-6.0079380821
CLUSTERS,PREVIOUS_CROSS_SCALE,3,15.9471975167,0,0,0,GP01L-n1,-12.1763660307
