component,radius_kpc,coverage,signed_mean,accepted,conditional_fill
stellar_luminosity,0.25,0.48074915650057115,3444.5833953709393,True,3444.5833953709393
stellar_luminosity,0.75,0.9757578173502475,1786.6185718738543,True,1786.6185718738543
stellar_luminosity,1.25,0.9997570688676778,1104.177782663547,True,1104.177782663547
stellar_luminosity,1.75,0.9791044103208946,759.8525466914655,True,759.8525466914655
stellar_luminosity,2.25,0.9972197839636009,652.2555322928162,True,652.2555322928162
stellar_luminosity,2.75,1.0002952074104272,583.6564672728482,True,583.6564672728482
stellar_luminosity,3.25,0.982769028695497,488.4442183854846,True,488.4442183854846
stellar_luminosity,3.75,0.9854337648872604,356.16524477842415,True,356.16524477842415
stellar_luminosity,4.25,0.9841365293025283,284.07771921811064,True,284.07771921811064
stellar_luminosity,4.75,0.9892531816881648,229.2680231969149,True,229.2680231969149
stellar_luminosity,5.25,0.99494248630024,197.5475432015113,True,197.5475432015113
stellar_luminosity,5.75,0.9997152024431981,162.430399996352,True,162.430399996352
stellar_luminosity,6.25,0.9974649461421059,137.99905717046468,True,137.99905717046468
stellar_luminosity,6.75,0.9937914034650298,111.54449855528972,True,111.54449855528972
stellar_luminosity,7.25,0.9729053564112757,91.60785768625323,True,91.60785768625323
stellar_luminosity,7.75,0.9852943699129977,75.87641938386687,True,75.87641938386687
stellar_luminosity,8.25,0.9701551362337723,64.26896915115114,True,64.26896915115114
stellar_luminosity,8.75,0.9525082133626004,54.570147037957994,True,54.570147037957994
stellar_luminosity,9.25,0.9221819283496397,48.25437311984037,True,48.25437311984037
stellar_luminosity,9.75,0.9062781238986823,41.424438168423755,True,41.424438168423755
stellar_luminosity,10.25,0.8765497270756821,34.68952616666971,True,34.68952616666971
stellar_luminosity,10.75,0.8679910950224167,29.82374783392074,True,29.82374783392074
stellar_luminosity,11.25,0.8538519125486685,25.246856192847027,True,25.246856192847027
stellar_luminosity,11.75,0.862054537990384,21.63202975866903,True,21.63202975866903
stellar_luminosity,12.25,0.857334971604946,18.38709743189867,True,18.38709743189867
stellar_luminosity,12.75,0.8497355539979713,15.189012834395179,True,15.189012834395179
stellar_luminosity,13.25,0.8596119260966879,13.144948391416143,True,13.144948391416143
stellar_luminosity,13.75,0.8429272637612376,11.074869551610536,True,11.074869551610536
stellar_luminosity,14.25,0.836887755078084,9.79602902703259,True,9.79602902703259
stellar_luminosity,14.75,0.8678910444032962,8.121016192584152,True,8.121016192584152
stellar_luminosity,15.25,0.8930816924608883,6.3358114731667925,True,6.3358114731667925
stellar_luminosity,15.75,0.9031614529371156,5.33523344742126,True,5.33523344742126
stellar_luminosity,16.25,0.9220459111758488,4.56673848325742,True,4.56673848325742
stellar_luminosity,16.75,0.9260690909095359,3.5117258875887423,True,3.5117258875887423
stellar_luminosity,17.25,0.8907422997589872,2.8462350044219864,True,2.8462350044219864
stellar_luminosity,17.75,0.9034525251336255,2.5812512161295786,True,2.5812512161295786
stellar_luminosity,18.25,0.8996275749079512,2.5305552633058497,True,2.5305552633058497
stellar_luminosity,18.75,0.9137145942926457,2.1795480050423106,True,2.1795480050423106
stellar_luminosity,19.25,0.9347495448790176,1.83664752466861,True,1.83664752466861
stellar_luminosity,19.75,0.9421043540075725,1.423035825736022,True,1.423035825736022
stellar_luminosity,20.25,0.8585506132803651,1.3298898735299012,True,1.3298898735299012
stellar_luminosity,20.75,0.7853117648409157,1.3823538436133538,True,1.3823538436133538
stellar_luminosity,21.25,0.7464336859513871,1.011580923316854,True,1.011580923316854
stellar_luminosity,21.75,0.706110343276279,1.1023001384390376,True,1.1023001384390376
stellar_luminosity,22.25,0.6661090733079511,1.044149849859865,True,1.044149849859865
stellar_luminosity,22.75,0.6397247188930986,1.606756632618626,True,1.606756632618626
stellar_luminosity,23.25,0.6101111002405166,1.2295995808359625,True,1.2295995808359625
stellar_luminosity,23.75,0.5952546160180814,1.5424490999144997,True,1.5424490999144997
stellar_luminosity,24.25,0.5865110024853434,1.016330333489635,True,1.016330333489635
stellar_luminosity,24.75,0.5965393888566207,1.0557798351275103,True,1.0557798351275103
stellar_luminosity,25.25,0.5708187871772523,0.9258343900601406,True,0.9258343900601406
stellar_luminosity,25.75,0.5687637139394509,0.8277733926437637,True,0.8277733926437637
stellar_luminosity,26.25,0.53710256433055,0.5844442450630897,True,0.5844442450630897
stellar_luminosity,26.75,0.5176166579171964,0.7717964738230736,True,0.7717964738230736
stellar_luminosity,27.25,0.5016906083795691,0.6688207546336898,True,0.6688207546336898
stellar_luminosity,27.75,0.4588039704888512,0.7651801399944766,True,0.7651801399944766
stellar_luminosity,28.25,0.4260437869088117,0.84844665590079,True,0.84844665590079
stellar_luminosity,28.75,0.3773969744742232,0.3861205472428609,True,0.3861205472428609
stellar_luminosity,29.25,0.3622481576342863,0.27979672789882276,True,0.27979672789882276
stellar_luminosity,29.75,0.3547180510629935,0.2769500037338358,True,0.2769500037338358
stellar_luminosity,30.25,0.3294632877845303,0.26933777028019534,True,0.26933777028019534
stellar_luminosity,30.75,0.35035566246287797,0.2230883709342394,True,0.2230883709342394
stellar_luminosity,31.25,0.32026264431924584,0.42997531275636164,True,0.42997531275636164
stellar_luminosity,31.75,0.32083544772081135,0.29365934771057695,True,0.29365934771057695
stellar_luminosity,32.25,0.32083530937519006,0.08309822943816701,True,0.08309822943816701
stellar_luminosity,32.75,0.2975364219276424,0.058545033107937884,True,0.058545033107937884
stellar_luminosity,33.25,0.2713347685319468,0.18629666655187707,True,0.18629666655187707
stellar_luminosity,33.75,0.23986227390288925,0.0,True,0.0
atomic_helium,0.25,0.9940915267668244,3.822173874019298,True,3.822173874019298
atomic_helium,0.75,1.0022398196930942,4.550569151348391,True,4.550569151348391
atomic_helium,1.25,0.9968925072426477,4.71371053517854,True,4.71371053517854
atomic_helium,1.75,1.0004937665150686,5.387848497725359,True,5.387848497725359
atomic_helium,2.25,1.0044224142629599,6.387366912984331,True,6.387366912984331
atomic_helium,2.75,1.0033509758921129,7.002483694592886,True,7.002483694592886
atomic_helium,3.25,0.9993974294435017,7.714218227432113,True,7.714218227432113
