case,grid,component,r,theta,z,gx,gy,gz
f1-stars-h0p1,box32,stellar_luminosity,1.0,0.0,0.0,-2057.498994426384,-1590.113550774987,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,0.5235987755982988,0.0,-2025.4681816998566,-1780.973842932563,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,1.0471975511965976,0.0,-1290.5430812967545,-3483.464625724624,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,1.5707963267948966,0.0,-1166.102525447203,-4055.1072314094235,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,2.0943951023931953,0.0,848.5223536629161,-3435.462004983157,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,2.6179938779914944,0.0,2323.228756457954,-2462.719934584641,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,3.141592653589793,0.0,3181.407899488698,-763.6486246659528,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,3.665191429188092,0.0,2267.3510887939287,2960.0551253696203,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,4.1887902047863905,0.0,666.0089949063445,2901.703276549611,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,4.71238898038469,0.0,-313.80240397179824,3518.6005146624566,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,5.235987755982989,0.0,-751.6607259880584,3407.197521806425,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,5.759586531581287,0.0,-979.9563687277495,2115.907172984719,0.0
f1-stars-h0p1,box32,stellar_luminosity,1.0,0.0,0.4,-1856.9812307325276,-325.1841114935131,-3919.9451845423455
f1-stars-h0p1,box32,stellar_luminosity,1.0,0.5235987755982988,0.4,-1590.2664041995258,-1409.6095278557227,-3302.973973876182
f1-stars-h0p1,box32,stellar_luminosity,1.0,1.0471975511965976,0.4,-1032.610105181864,-2051.97640809717,-2853.654277291634
f1-stars-h0p1,box32,stellar_luminosity,1.0,1.5707963267948966,0.4,-305.8938736451015,-2190.191110145762,-2961.239563377017
f1-stars-h0p1,box32,stellar_luminosity,1.0,2.0943951023931953,0.4,733.4172303783877,-2171.197702655129,-3411.073746392066
f1-stars-h0p1,box32,stellar_luminosity,1.0,2.6179938779914944,0.4,1569.7498281824107,-1225.9303107272501,-3949.491907747825
f1-stars-h0p1,box32,stellar_luminosity,1.0,3.141592653589793,0.4,1979.8018856456526,219.3682855203383,-3865.0494621997327
f1-stars-h0p1,box32,stellar_luminosity,1.0,3.665191429188092,0.4,1555.5446650967385,1627.3143959995123,-3519.694999438356
f1-stars-h0p1,box32,stellar_luminosity,1.0,4.1887902047863905,0.4,804.5922578670674,2210.4570346306346,-2846.766031342205
f1-stars-h0p1,box32,stellar_luminosity,1.0,4.71238898038469,0.4,-13.652011070957103,2388.100601315362,-2727.108185771139
f1-stars-h0p1,box32,stellar_luminosity,1.0,5.235987755982989,0.4,-703.4981329684384,2260.894701545959,-2942.284339963476
f1-stars-h0p1,box32,stellar_luminosity,1.0,5.759586531581287,0.4,-1363.2404367765114,1539.3666577820936,-3785.795201456653
f1-stars-h0p1,box32,stellar_luminosity,3.0,0.0,0.0,-1111.3855548202146,-86.27709838980938,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,0.5235987755982988,0.0,-881.8577492455784,-610.1565954129792,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,1.0471975511965976,0.0,-483.7343347252286,-868.1168303147086,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,1.5707963267948966,0.0,-16.025767927661448,-1062.2782858303747,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,2.0943951023931953,0.0,506.99382013993704,-991.4186571742994,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,2.6179938779914944,0.0,1076.4678945854241,-836.7682991012692,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,3.141592653589793,0.0,1182.0686692018971,-8.683464989539944,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,3.665191429188092,0.0,926.5976293850601,654.3287707616038,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,4.1887902047863905,0.0,474.11184795933286,920.3665788087814,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,4.71238898038469,0.0,-12.209998773880463,989.6307332537434,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,5.235987755982989,0.0,-453.2597185564907,864.5017430243032,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,5.759586531581287,0.0,-817.3105648423135,583.0978804407678,0.0
f1-stars-h0p1,box32,stellar_luminosity,3.0,0.0,0.4,-1018.097288565081,-23.872858361303173,-388.7000176959915
f1-stars-h0p1,box32,stellar_luminosity,3.0,0.5235987755982988,0.4,-841.0176641442482,-535.502390876599,-353.27930079919486
f1-stars-h0p1,box32,stellar_luminosity,3.0,1.0471975511965976,0.4,-479.0192328437576,-834.8464162770568,-334.2027255154773
f1-stars-h0p1,box32,stellar_luminosity,3.0,1.5707963267948966,0.4,-55.33091693517185,-992.6956755822057,-374.00056620328075
f1-stars-h0p1,box32,stellar_luminosity,3.0,2.0943951023931953,0.4,480.45218036154387,-882.8706127948136,-370.57362382994216
f1-stars-h0p1,box32,stellar_luminosity,3.0,2.6179938779914944,0.4,920.6087602563455,-623.4867581457936,-449.9905901829296
f1-stars-h0p1,box32,stellar_luminosity,3.0,3.141592653589793,0.4,1073.1056791500998,23.76846852817885,-465.0552501646462
f1-stars-h0p1,box32,stellar_luminosity,3.0,3.665191429188092,0.4,825.3314759155247,592.0611876201157,-373.602165863561
f1-stars-h0p1,box32,stellar_luminosity,3.0,4.1887902047863905,0.4,420.45156989683824,827.1409520106636,-319.6337982671605
f1-stars-h0p1,box32,stellar_luminosity,3.0,4.71238898038469,0.4,6.263934144607865,871.9073476112142,-377.3050687111047
f1-stars-h0p1,box32,stellar_luminosity,3.0,5.235987755982989,0.4,-430.44651903170825,819.2618159058336,-295.8108441693645
f1-stars-h0p1,box32,stellar_luminosity,3.0,5.759586531581287,0.4,-774.5306056531323,569.4985958937833,-380.9607679866859
f1-stars-h0p1,box32,stellar_luminosity,6.0,0.0,0.0,-276.4385523986038,2.266386457735799,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,0.5235987755982988,0.0,-247.99654871781055,-147.38412063927356,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,1.0471975511965976,0.0,-134.28004327095925,-236.57108097392808,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,1.5707963267948966,0.0,-1.560395501947558,-276.67255887072037,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,2.0943951023931953,0.0,140.8635182970266,-245.19055281595732,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,2.6179938779914944,0.0,252.89707234670462,-151.6578433971451,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,3.141592653589793,0.0,336.094367123849,15.957433708328129,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,3.665191429188092,0.0,233.99985885531385,146.32307434516855,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,4.1887902047863905,0.0,130.1247378759646,231.2627683725117,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,4.71238898038469,0.0,7.003260561997606,271.7006971213042,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,5.235987755982989,0.0,-132.82651290273247,227.90697183482084,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,5.759586531581287,0.0,-229.82241762290226,143.06853444149812,0.0
f1-stars-h0p1,box32,stellar_luminosity,6.0,0.0,0.4,-272.21229561846854,1.5850399351473436,-26.662198231933065
f1-stars-h0p1,box32,stellar_luminosity,6.0,0.5235987755982988,0.4,-238.54118746186077,-140.07636935624032,-31.522891992718776
f1-stars-h0p1,box32,stellar_luminosity,6.0,1.0471975511965976,0.4,-132.76241467046458,-233.14292195635048,-25.369576633945826
f1-stars-h0p1,box32,stellar_luminosity,6.0,1.5707963267948966,0.4,-2.441888851610405,-271.64332391407027,-27.008475092100998
f1-stars-h0p1,box32,stellar_luminosity,6.0,2.0943951023931953,0.4,137.78410010824908,-241.13897374516395,-27.788752022807596
f1-stars-h0p1,box32,stellar_luminosity,6.0,2.6179938779914944,0.4,244.15130428022587,-147.39060727537606,-31.204082567984322
f1-stars-h0p1,box32,stellar_luminosity,6.0,3.141592653589793,0.4,312.26672503161404,12.65251517818914,-47.59860543152743
f1-stars-h0p1,box32,stellar_luminosity,6.0,3.665191429188092,0.4,230.85170117600043,144.2450509080102,-25.914070395606213
f1-stars-h0p1,box32,stellar_luminosity,6.0,4.1887902047863905,0.4,128.09826276323233,228.36908519677516,-24.72458705853324
f1-stars-h0p1,box32,stellar_luminosity,6.0,4.71238898038469,0.4,5.226247082669492,265.8736606984541,-28.219624448817825
f1-stars-h0p1,box32,stellar_luminosity,6.0,5.235987755982989,0.4,-130.62803421948234,224.91268462417946,-24.829946775113065
f1-stars-h0p1,box32,stellar_luminosity,6.0,5.759586531581287,0.4,-226.97433792393224,140.57412603229093,-25.44968160525353
f1-stars-h0p1,box32,atomic_helium,1.0,0.0,0.0,0.5374598463431098,-79.07801630115056,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,0.5235987755982988,0.0,4.776376779741517,-29.53040187446561,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,1.0471975511965976,0.0,-28.10041294529446,-189.54541490076298,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,1.5707963267948966,0.0,-27.26048512652942,-91.87329145448992,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,2.0943951023931953,0.0,-118.52300066962877,-82.35430123035462,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,2.6179938779914944,0.0,-8.883753665892712,-49.99510812303049,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,3.141592653589793,0.0,-11.36910943512179,122.2869310530601,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,3.665191429188092,0.0,48.97108787506732,103.13112892789307,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,4.1887902047863905,0.0,40.65425176877111,32.43733810496934,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,4.71238898038469,0.0,-46.04065342421816,69.78509443567732,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,5.235987755982989,0.0,-12.652976901546824,116.10012021976432,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,5.759586531581287,0.0,-22.526920590622023,94.78986750344924,0.0
f1-stars-h0p1,box32,atomic_helium,1.0,0.0,0.4,-12.133755534432854,-39.94284913622741,-237.27073326384988
f1-stars-h0p1,box32,atomic_helium,1.0,0.5235987755982988,0.4,-7.801682356978957,-57.192959394370035,-187.33621282873892
f1-stars-h0p1,box32,atomic_helium,1.0,1.0471975511965976,0.4,-12.020102875035349,-120.77037600243143,-156.07136484829806
f1-stars-h0p1,box32,atomic_helium,1.0,1.5707963267948966,0.4,-15.149697206571144,-98.9203422072252,-132.9945267245777
f1-stars-h0p1,box32,atomic_helium,1.0,2.0943951023931953,0.4,-24.248929259726157,-96.93975855660966,-191.9721334069741
f1-stars-h0p1,box32,atomic_helium,1.0,2.6179938779914944,0.4,18.744118216424923,-63.50431453703763,-213.77185560239303
f1-stars-h0p1,box32,atomic_helium,1.0,3.141592653589793,0.4,30.743622693235242,47.18912091129489,-238.49153075990088
f1-stars-h0p1,box32,atomic_helium,1.0,3.665191429188092,0.4,44.98206454838374,70.07708975778519,-176.12080722987983
f1-stars-h0p1,box32,atomic_helium,1.0,4.1887902047863905,0.4,35.17311123429675,54.77650234572355,-162.19365447408543
f1-stars-h0p1,box32,atomic_helium,1.0,4.71238898038469,0.4,-1.2067414985784006,83.83044665748714,-192.5747746244739
f1-stars-h0p1,box32,atomic_helium,1.0,5.235987755982989,0.4,-17.832204091080254,102.03042165484632,-209.7701201674839
f1-stars-h0p1,box32,atomic_helium,1.0,5.759586531581287,0.4,-32.003804639406724,70.43877759392052,-252.81233981734295
f1-stars-h0p1,box32,atomic_helium,3.0,0.0,0.0,-98.19761731433204,-1.564745818577673,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,0.5235987755982988,0.0,-76.14786807725282,-52.089024212658884,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,1.0471975511965976,0.0,-44.107566965481396,-66.53919612258986,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,1.5707963267948966,0.0,-5.753247338526185,-82.53966407835748,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,2.0943951023931953,0.0,48.93668323114958,-63.227713315763935,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,2.6179938779914944,0.0,73.92640943981766,-55.67865557716119,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,3.141592653589793,0.0,111.29422451574865,-1.898844293603517,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,3.665191429188092,0.0,104.0828788644712,57.14498289977388,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,4.1887902047863905,0.0,38.47338007921867,64.1510268760787,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,4.71238898038469,0.0,-2.3964554106049256,74.59919673476604,0.0
f1-stars-h0p1,box32,atomic_helium,3.0,5.235987755982989,0.0,-55.236010722748496,52.40071127155108,0.0
