fold,alpha,core,q,logpdf
0,0.1,training_r02_c14,0.536352261110235,0.5558046757755094
0,0.1,training_r03_c15,0.5131211042261661,0.5674202542175439
0,0.1,training_r04_c16,0.5133951161883998,0.5672832482364271
0,0.1,training_r05_c17,0.5197241175602044,0.5641187475505248
0,0.1,training_r06_c18,0.5141905394496662,0.5668855366057939
0,0.1,training_r09_c18,0.5261797668706117,0.5608909228953212
0,0.1,training_r10_c19,0.532306942690064,0.5578273349855949
0,0.1,training_r12_c18,0.5354880461939131,0.5562367832336704
0,0.1,training_r16_c16,0.5321464771769232,0.5579075677421654
0,0.1,training_r18_c12,0.5224387213855072,0.5627614456378734
0,0.3,training_r02_c14,0.4624210533690577,0.24739915311923436
0,0.3,training_r03_c15,0.442702894670805,0.25725823246836066
0,0.3,training_r04_c16,0.44081343822646724,0.25820296069052945
0,0.3,training_r05_c17,0.44571642151637536,0.25575146904557544
0,0.3,training_r06_c18,0.4432913973109999,0.2569639811482631
0,0.3,training_r09_c18,0.44946249771534225,0.253878430946092
0,0.3,training_r10_c19,0.4574363256778783,0.249891516964824
0,0.3,training_r12_c18,0.46380477689581223,0.246707291355857
0,0.3,training_r16_c16,0.45797210382787085,0.24962362788982762
0,0.3,training_r18_c12,0.4511686871487969,0.25302533622936474
0,0.6,training_r02_c14,0.4899173793740796,0.01791816910231941
0,0.6,training_r03_c15,0.4691153875848443,0.028319164996937176
0,0.6,training_r04_c16,0.46785849087007886,0.02894761335431985
0,0.6,training_r05_c17,0.4714738893583754,0.02713991411017153
0,0.6,training_r06_c18,0.4696878300214647,0.028032943778626945
0,0.6,training_r09_c18,0.47199038663244125,0.02688166547313864
0,0.6,training_r10_c19,0.4835363880285558,0.021108664775081352
0,0.6,training_r12_c18,0.49138331017006714,0.017185203704325726
0,0.6,training_r16_c16,0.484608119709801,0.0205727989344588
0,0.6,training_r18_c12,0.47804416725660576,0.023854775161056437
0,1.0,training_r02_c14,1.0675215704507124,-0.3863056294322542
0,1.0,training_r03_c15,1.0130209305646563,-0.3590553094892262
0,1.0,training_r04_c16,1.0425973523500298,-0.37384352038191293
0,1.0,training_r05_c17,1.0392989586268793,-0.3721943235203377
0,1.0,training_r06_c18,1.0151857504832928,-0.36013771944854445
