system,class,class_rank,source,probe,r_kpc,Mb_Msun,g_bar,g_obs,nu_obs,abs_Phi_b,S_shape,e_lg_gbar,e_lg_gobs,sys_lg_Mb,tier,phi_method,baryon_method,gobs_method,assumes
CamB,field_galaxy,1,SPARC,rotation_curve,0.16,390173.85696063336,2.124908088041714e-12,8.021131290080394e-13,0.37748132896762415,400906515.13923514,38.214874403812374,0.11,0.6547152993516359,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,0.41,5986814.671029294,4.965352083982455e-12,1.851639007873364e-12,0.3729119257920295,373558694.06454,5.946677651798169,0.11,0.2691907945681313,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,0.57,13331854.334369125,5.720879452723729e-12,2.6212844287451225e-12,0.458196060659366,347179281.9977878,3.450369475902002,0.11,0.19188268714429385,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,0.73,23748150.157113336,6.2130666738937905e-12,3.492800932571032e-12,0.5621701996611698,317719833.98048425,2.2702041196986986,0.11,0.14688652150053613,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,0.9,35542276.875148624,6.117615463818251e-12,4.278188748654278e-12,0.6993229263847989,285378600.9591752,1.6797558989173484,0.11,0.11953059134951885,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,1.06,46165316.00921579,5.728303637175385e-12,5.087717750532423e-12,0.8881717996780573,256136451.35749808,1.367064316839975,0.11,0.10099871672168646,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,1.22,53542953.49356849,5.0153888545088644e-12,5.740163907016662e-12,1.144510241086535,229615194.5062763,1.2161457800986164,0.11,0.08863152691903098,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,1.47,65500930.656089485,4.226051150235345e-12,6.222296235733182e-12,1.4723665224417997,193970064.20210546,1.0118871488345615,0.11,0.0775525860541521,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
CamB,field_galaxy,1,SPARC,rotation_curve,1.79,66116569.37549056,2.8769094791518544e-12,7.314565590661553e-12,2.542508078084532,158902150.0,1.0,0.11,0.06482007192585848,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
D512-2,field_galaxy,1,SPARC,rotation_curve,0.96,28319562.635044895,4.284163372833898e-12,1.770309444976583e-11,4.132217403757772,583943666.8992058,4.6013275551096084,0.11,0.10278934899194866,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
D512-2,field_galaxy,1,SPARC,rotation_curve,1.92,117670887.72671486,4.45029213325316e-12,1.894252373739031e-11,4.256467479033413,454575441.8992058,1.7241127959110825,0.11,0.0702649579676306,0.11,1,resolved trapezoid + point-mass tail at Rmax,3.6um starlight at Upsilon*=0.5 disk / 0.7 bulge plus 21cm HI x1.33 for helium,"circular velocity, V_obs^2/r, inclination-corrected",none
