axis_ratio	d4000	dapqual	daptype	dec	dn4000	drp3qual	g_minus_r_color	halpha_ew	hbeta	hdelta_a	hgamma_a	log_half_light_radius	log_snr	log_specific_sfr	log_stellar_mass	log_surface_brightness	log_surface_density	mangaid	mass_size_crossing_proxy	plateifu	ra	redshift	sersic_index	sfr_1re	sfr_tot	snr_med_g	minimum_predecessor_separation_arcsec	stellar_mass_msun	half_light_radius_kpc	log_baryonic_speed_km_s	internal_acceleration_m_s2	mean_stellar_density_msun_kpc3	log_mean_stellar_density	phase_space_proxy	mass_bin	surface_bin	sample_cell	role	outer_fold	response_read
5.324680000000e-01	1.874069000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.704115676880e+01	1.638584000000e+00	0.000000000000e+00	8.300000000000e-01	1.273537000000e+01	2.865472000000e+00	2.654961000000e+00	-6.792674000000e-01	4.253336553444e-01	9.318932182503e-01	-1.119329250887e+01	9.139501274736e+00	-6.688299143590e-01	8.288833964047e+00	1-55567	-3.931750154351e+00	10001-1901	1.333300323486e+02	2.574970000000e-02	7.154370000000e-01	8.835045000000e-03	1.704642000000e-02	8.548565000000e+00	1.725729664903e+03	1.378800000000e+09	2.662770000000e+00	1.673863987040e+00	2.710464811939e-11	1.743458841995e+07	7.241411699400e+00	8.219819738281e+00	0	0	m0-s0	exploration	4	False
9.489030000000e-01	1.540665000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.710742187500e+01	1.399771000000e+00	0.000000000000e+00	6.587000000000e-01	2.326855000000e+01	3.205576000000e+00	3.066267000000e+00	2.004224000000e-01	6.287045729538e-01	8.678872011942e-01	-1.067533321057e+01	9.852501341858e+00	-3.273712413806e-01	8.595092195950e+00	1-48136	-3.983193811498e+00	10001-3702	1.329127655029e+02	2.560630000000e-02	6.000000000000e+00	1.503724000000e-01	1.592548000000e-01	7.377126000000e+00	8.834137302128e+02	7.120350000004e+09	4.253090000000e+00	1.928678561796e+00	5.486583655735e-11	2.209525477618e+07	7.344299013694e+00	7.558263328306e+00	0	0	m0-s0	exploration	2	False
6.105280000000e-01	1.546790000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	5.768496704102e+01	1.370303000000e+00	0.000000000000e+00	6.839000000000e-01	2.225832000000e+01	2.960948000000e+00	3.440527000000e+00	1.538465000000e+00	4.205910378895e-01	1.040196334238e+00	-1.079683052063e+01	9.492615134429e+00	-5.207440863829e-01	8.651433058650e+00	1-55612	-4.115421010380e+00	10001-3703	1.345914916992e+02	4.055280000000e-02	1.866870000000e+00	4.963461000000e-02	1.289326000000e-01	1.096974000000e+01	1.441889872753e+03	3.108959999997e+09	2.633850000000e+00	1.852792225614e+00	6.246588079898e-11	4.062126197635e+07	7.608753411458e+00	8.050376734617e+00	0	1	m0-s1	exploration	2	False
9.555230000000e-01	2.216708000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.449980926514e+01	2.003043000000e+00	0.000000000000e+00	8.316000000000e-01	5.443375000000e-01	2.296405000000e+00	-2.203485000000e+00	-5.027342000000e+00	4.245304671972e-01	1.065190056619e+00	-1.250711005655e+01	1.057022527508e+01	-3.087722345345e-01	9.721164340684e+00	1-136508	-4.648316936744e+00	10214-3704	1.236578903198e+02	6.261680000000e-02	4.571400000000e+00	1.156419000000e-02	2.058566000000e-02	1.161957000000e+01	4.007834529191e+03	3.717280000010e+10	2.657850000000e+00	2.389627581285e+00	7.334561427101e-10	4.726560967427e+08	8.674545264186e+00	7.505662520330e+00	1	1	m1-s1	exploration	1	False
3.928810000000e-01	1.361728000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.758657455444e+01	1.250441000000e+00	0.000000000000e+00	3.766000000000e-01	3.115150000000e+01	4.253386000000e+00	6.036887000000e+00	4.787948000000e+00	1.137721143987e+00	7.624876272091e-01	-1.026858581587e+01	9.348772013845e+00	-8.209738737984e-01	7.073329725870e+00	1-121923	-2.967804290941e+00	10215-12703	1.221306381226e+02	2.189430000000e-02	9.784770000000e-01	1.202780000000e-01	1.637091000000e-01	5.787455000000e+00	1.482258170785e+03	2.232400000002e+09	1.373159999999e+01	1.422305612273e+00	1.650211218948e-12	2.058353549099e+05	5.313519972582e+00	7.046603135763e+00	0	0	m0-s0	exploration	2	False
8.410780000000e-01	1.882510000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.705038070679e+01	1.666593000000e+00	0.000000000000e+00	7.333000000000e-01	7.189719000000e+00	2.403685000000e+00	9.933060000000e-01	-2.459117000000e+00	1.012238075523e+00	7.453455944130e-01	-1.121033138643e+01	1.031665795827e+01	-7.306014817669e-01	8.292181807220e+00	1-605093	-3.639971865849e+00	10215-12704	1.234486160278e+02	3.060340000000e-02	3.882650000000e+00	1.277399000000e-01	1.385420000000e-01	5.563468000000e+00	1.945689445845e+03	2.073280000023e+10	1.028580000001e+01	1.968990118717e+00	2.731439695821e-11	4.548363046294e+06	6.657855122399e+00	6.750884766246e+00	1	0	m1-s0	exploration	0	False
9.402070000000e-01	1.601966000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.755785369873e+01	1.415184000000e+00	0.000000000000e+00	8.250000000000e-01	1.490815000000e+01	3.225431000000e+00	3.490509000000e+00	5.528023000000e-01	7.196163027937e-01	1.213052666862e+00	-1.109342413939e+01	1.056342175149e+01	-9.987444995529e-02	9.124189145907e+00	1-548639	-4.202286421557e+00	10215-3702	1.213701095581e+02	3.372870000000e-02	3.405120000000e+00	2.951193000000e-01	4.577510000000e-01	1.633250000000e+01	3.163356946459e+02	3.659499999965e+10	5.243440000000e+00	2.238682901692e+00	1.855235113048e-10	6.060161999203e+07	7.782484233806e+00	7.066435528730e+00	1	1	m1-s1	exploration	2	False
7.095740000000e-01	1.222520000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.682812500000e+01	1.150546000000e+00	0.000000000000e+00	2.286000000000e-01	6.861897000000e+01	4.074041000000e+00	5.801735000000e+00	4.717459000000e+00	7.675053881327e-01	1.224078071156e+00	-9.838811698327e+00	9.617370487571e+00	2.882776851211e-02	8.082359711306e+00	1-153635	-3.657427161587e+00	10215-6102	1.227341156006e+02	2.141220000000e-02	2.394810000000e+00	6.005633000000e-01	9.063430000000e-01	1.675244000000e+01	1.837610211630e+03	4.143529999995e+09	5.854710000000e+00	1.741712727063e+00	1.684882116891e-11	4.929078263147e+06	6.692765713870e+00	7.467627532681e+00	0	0	m0-s0	reserved_confirmation		False
7.278790000000e-01	1.448086000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	3.833693695068e+01	1.283531000000e+00	0.000000000000e+00	4.531000000000e-01	3.693100000000e+01	4.109144000000e+00	5.463949000000e+00	3.285893000000e+00	5.186442086831e-01	9.379697043147e-01	-1.044975107736e+01	9.683073167204e+00	-4.119152761643e-01	8.645784749838e+00	1-122139	-4.063570270577e+00	10215-6103	1.223232421875e+02	4.071530000000e-02	2.498480000000e+00	1.711284000000e-01	1.971551000000e-01	8.669014000000e+00	1.288277218231e+03	4.820290000002e+09	3.300990000000e+00	1.898994656604e+00	6.165872774134e-11	3.199277648471e+07	7.505051931852e+00	7.808067962039e+00	0	1	m0-s1	exploration	0	False
3.737770000000e-01	1.738422000000e+00	0.000000000000e+00	HYB10-MILESHC-MASTARSSP	1.701680374146e+01	1.509974000000e+00	0.000000000000e+00	7.833000000000e-01	1.158862000000e+01	3.417013000000e+00	2.820618000000e+00	-4.566911000000e-01	9.628786343760e-01	8.668038717679e-01	-1.121239159433e+01	1.015068891179e+01	-5.707294242723e-01	8.224931643042e+00	1-412128	-3.631026504333e+00	10216-12702	1.182301254272e+02	2.890850000000e-02	1.576690000000e+00	8.675556000000e-02	1.504184000000e-01	7.358747000000e+00	8.776645112233e+02	1.414779999988e+10	9.180760000000e+00	1.910685316051e+00	2.339599137050e-11	4.364800509744e+06	6.639964399360e+00	6.907908451207e+00	1	0	m1-s0	reserved_confirmation		False
