plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip	ha_gvel_lo_clip	ha_gvel_hi_clip
10001-1901	58.89737	0.9534735	-90.56239	52.23524	-148.5508	228.0365
10001-3702	65.40202	0.9342602	-37.71983	29.42335	-40.61162	34.141
10001-3703	97.81524	0.9139839	-91.28254	86.46172	-117.2979	123.5542
10214-3704	167.2802	1.108328	-2.313228	39.00931	-205.9793	309.2763
10215-12703	48.81227	0.8820675	-79.47929	79.38107	-77.78493	75.252
10215-12704	100.6313	0.8932605	-130.187	161.4958	-142.0505	205.8056
10215-3702	145.3374	0.9717978	-97.95999	117.7555	-122.6998	146.5193
10215-6103	59.9557	0.9335496	-71.03391	68.92006	-285.2616	128.1108
10216-6102	72.83655	0.8794653	-177.2653	149.7091	-192.4224	167.6436
10216-6103	97.38869	1.000515	-133.2017	133.5023	-306.4295	163.5142
10218-12704	59.49111	0.9232467	-62.70773	65.93163	-85.45625	91.04762
10218-6104	87.37227	0.9168365	-90.59072	69.59747	-177.5895	135.4598
10221-3701	86.47124	1.023591	-115.3502	120.6405	-196.4389	214.0901
10221-9101	72.23076	0.8810278	-79.02966	109.683	-81.61326	118.2549
10226-12703	114.0991	1.269606	-76.89259	99.02381	-336.3874	472.8741
10492-6104	98.55418	0.9640239	-61.07956	83.10687	-155.3242	107.4423
10493-1902	66.45472	2.777521	-32.66225	72.96745	-67.92898	83.16387
10493-3704	82.49178	1.069287	-114.633	39.74731	-111.5492	42.19888
10494-9101	63.68502	0.8612545	-35.89081	88.89727	-46.37689	106.3966
10495-3703	160.2489	1.170647	-106.7463	135.2038	-420.9829	198.8381
10495-6104	199.8564	1.007659	-20.21152	27.61067	-260.5151	464.6244
10496-6102	69.29501	0.9188423	-35.24266	108.7005	-41.51003	128.0995
10496-6103	49.57367	0.853299	-79.48818	76.46304	-99.50986	113.8369
10497-3702	227.533	1.30534	-176.743	208.7536	-65.89262	165.7556
10498-3704	71.08808	0.9787923	-97.35266	107.8834	-113.4011	132.7312
10500-12703	130.6562	1.422605	-139.1992	190.9066	-95.19354	173.781
10500-3703	69.23482	0.9690722	-99.06886	73.3326	-84.97219	79.04955
10503-3701	103.1905	1.190867	-79.14446	67.7053	-301.8542	174.8613
10508-1901	48.17027	0.9573839	-26.64588	39.58483	-25.4061	33.29609
10508-6101	291.3661	0.9647798	-200.6076	141.2005	-385.5768	318.3363
10509-1901	78.86871	1.066081	-85.30428	60.43177	-53.19134	49.96299
10509-6103	70.20235	0.9190441	-76.76199	85.32345	-99.13905	99.3767
10511-1902	98.8521	1.273017	-69.18853	85.96164	-210.867	165.0708
10511-6102	134.7292	0.9741949	-118.4177	129.7618	-198.6368	180.1414
10512-1902	104.804	1.421532	-1.006516	21.69465	-35.88267	83.83312
10512-3703	42.94278	0.8769155	-43.09123	29.73469	-51.61725	44.65315
10513-12703	98.43065	0.8995255	-152.0259	123.2659	-227.5929	221.2465
10513-12704	188.9652	0.9768733	-172.905	179.2374	-257.2511	487.1668
10516-3703	163.7729	1.065117	-72.43777	99.60767	-402.5707	411.2216
10518-12702	141.9415	0.8970943	-203.9502	145.212	-226.6319	192.3065
10518-3704	105.1513	1.149256	-144.4743	156.9815	-89.76779	102.6872
10520-1902	122.9878	1.309351	-18.673	30.69633	-221.5747	185.1994
10838-12703	46.40388	0.884091	-68.92978	51.35108	-124.5679	129.8202
10839-1901	76.43787	1.143238	-44.55853	76.45049	-363.5706	193.252
10839-6101	64.10302	0.9937946	-95.41759	110.1657	-105.4171	132.48
10845-12705	87.15507	0.9351435	-174.7524	179.1591	-176.1205	187.6645
10845-1902	123.614	1.290303	-108.9971	147.2188	-225.2711	312.4635
11004-3704	44.55111	0.9340827	-29.89719	-5.357237	-47.30405	33.93207
