seed,family,region,galaxies,radii,signed_mean_dex,rmse_dex
9062301,mond_fixed,inner,96,525,0.06421671352327789,0.16433857593289217
9062301,mond_fixed,middle,102,817,0.025037620793085677,0.10004708908259774
9062301,mond_fixed,outer,90,870,0.01968819311394634,0.07053614995896237
9062301,newton,inner,96,525,-0.018410072720557117,0.19421625980921908
9062301,newton,middle,102,817,-0.08738437165618768,0.16810171889640488
9062301,newton,outer,90,870,-0.20246611444486626,0.2374687287017326
9062301,mond_adjusted,inner,96,525,0.04447450034903138,0.15565676040023088
9062301,mond_adjusted,middle,102,817,-0.0017288804173618718,0.0950593950762671
9062301,mond_adjusted,outer,90,870,-0.018307096881229886,0.06993470900867745
9062301,coherence_n1,inner,96,525,-0.017709384433408523,0.16100569271570347
9062301,coherence_n1,middle,102,817,0.0004145811937504421,0.10460404686894029
9062301,coherence_n1,outer,90,870,0.012966638531296138,0.08972737200051652
9062301,coherence_free,inner,96,525,-0.012197180493495103,0.16706410529220575
9062301,coherence_free,middle,102,817,-0.001231362746456749,0.10480616192046315
9062301,coherence_free,outer,90,870,0.016162955392436694,0.08468672966369126
9062301,relay_passive,inner,96,525,-0.049326314686849095,0.1856523374176469
9062301,relay_passive,middle,102,817,-0.09684216409280375,0.16788748503810752
9062301,relay_passive,outer,90,870,-0.20321092535375837,0.23760700717008704
9062301,relay_active,inner,96,525,0.03475429169280078,0.2024384434496697
9062301,relay_active,middle,102,817,-0.04400867428441252,0.16279380195051926
9062301,relay_active,outer,90,870,-0.18916142364828797,0.2328456349960548
9062302,mond_fixed,inner,96,525,0.06421671352327789,0.16433857593289217
9062302,mond_fixed,middle,102,817,0.025037620793085677,0.10004708908259774
9062302,mond_fixed,outer,90,870,0.01968819311394634,0.07053614995896237
9062302,newton,inner,96,525,-0.01841007272055981,0.19421625980921936
9062302,newton,middle,102,817,-0.08738437165618994,0.16810171889640532
9062302,newton,outer,90,870,-0.2024661144448682,0.23746872870173474
9062302,mond_adjusted,inner,96,525,0.04424237360426627,0.15628858222773914
9062302,mond_adjusted,middle,102,817,-0.002012247824522799,0.09591404260564974
9062302,mond_adjusted,outer,90,870,-0.018474618885988548,0.07105068883962909
9062302,coherence_n1,inner,96,525,-0.01805270669238326,0.1621613525664501
9062302,coherence_n1,middle,102,817,-0.0009162840462850699,0.10540716250693563
9062302,coherence_n1,outer,90,870,0.01376560638079946,0.09184500178606769
9062302,coherence_free,inner,96,525,-0.01144192835695274,0.16534012633140643
9062302,coherence_free,middle,102,817,-0.0020445395603458315,0.10582023543444714
9062302,coherence_free,outer,90,870,0.016476395988376073,0.08566144782951488
9062302,relay_passive,inner,96,525,-0.0488331204037685,0.185263350266347
9062302,relay_passive,middle,102,817,-0.09684498521853323,0.1680047708497208
9062302,relay_passive,outer,90,870,-0.2032482085112143,0.23761168982263864
9062302,relay_active,inner,96,525,0.02266074281172946,0.2030744212560766
9062302,relay_active,middle,102,817,-0.05202259025883536,0.16617826557285653
9062302,relay_active,outer,90,870,-0.19131142687528627,0.233514499201759
9062303,mond_fixed,inner,96,525,0.06421671352327789,0.16433857593289217
9062303,mond_fixed,middle,102,817,0.025037620793085677,0.10004708908259774
9062303,mond_fixed,outer,90,870,0.01968819311394634,0.07053614995896237
9062303,newton,inner,96,525,-0.018410072720553994,0.19421625980921867
9062303,newton,middle,102,817,-0.08738437165618479,0.16810171889640382
9062303,newton,outer,90,870,-0.20246611444486406,0.23746872870173155
9062303,mond_adjusted,inner,96,525,0.044514020092168004,0.15643810331741026
9062303,mond_adjusted,middle,102,817,-0.0018654080392889276,0.09602974223278127
9062303,mond_adjusted,outer,90,870,-0.01849975685452103,0.07099390192788041
9062303,coherence_n1,inner,96,525,-0.0164669760317299,0.16388095579953937
9062303,coherence_n1,middle,102,817,0.00019041108773609655,0.10659996041339952
9062303,coherence_n1,outer,90,870,0.013069075707163726,0.09039906334360619
9062303,coherence_free,inner,96,525,-0.010616003477858224,0.16673442296850918
9062303,coherence_free,middle,102,817,-0.0009167545895921711,0.10658917070966276
9062303,coherence_free,outer,90,870,0.016582299110030674,0.08414140548746478
9062303,relay_passive,inner,96,525,-0.048223790548491456,0.18543795160464413
9062303,relay_passive,middle,102,817,-0.09639059196649065,0.16791339604757624
9062303,relay_passive,outer,90,870,-0.20317023905500087,0.23759631286248023
9062303,relay_active,inner,96,525,0.02166384348971102,0.2043249326065847
9062303,relay_active,middle,102,817,-0.050924546975881314,0.16742405766872637
9062303,relay_active,outer,90,870,-0.1910248523995957,0.23421244618125814
