case,theory,z_reflection_relative_rms,gate_pass
common_thin_base,newton,6.1541896509169845e-15,True
common_thin_base,mond,8.288671840007326e-15,True
common_thin_lateral,newton,1.0167158964613908e-14,True
common_thin_lateral,mond,1.3685544815396154e-14,True
common_thin_vertical,newton,1.480080660254163e-14,True
common_thin_vertical,mond,1.842388657185655e-14,True
common_thin_box,newton,6.2148891555576904e-15,True
common_thin_box,mond,9.685370106043826e-15,True
common_mixed_base,newton,6.854885009491806e-15,True
common_mixed_base,mond,9.231340879088437e-15,True
common_mixed_lateral,newton,1.0860278714383548e-14,True
common_mixed_lateral,mond,1.4510779399255566e-14,True
common_mixed_vertical,newton,1.652346735987553e-14,True
common_mixed_vertical,mond,2.0432547210256432e-14,True
common_mixed_box,newton,6.811217728078682e-15,True
common_mixed_box,mond,1.0470089247925979e-14,True
