theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,0.0,-8573.489704061707,1661.7723183333874,-10242.126606882695,8573.489704061707,1661.7723183333874,10242.126606882695
newton,2.0,0.25,5.0,-7674.254849035853,-1844.1662903336194,-9898.82422376686,7805.7816751986065,-1168.2932994273374,9898.82422376686
newton,2.0,0.25,10.0,-6404.083864225609,-3843.984423209143,-9252.80214476055,6974.292330500095,-2673.5281697855544,9252.80214476055
newton,2.0,0.25,15.0,-5211.844353391853,-4957.44414829772,-8473.001933381945,6317.336024151536,-3439.5987564585375,8473.001933381945
newton,2.0,0.25,20.0,-4765.668146122562,-4886.237075526642,-7880.3812133397505,6149.45469492065,-2961.6064209034903,7880.3812133397505
newton,2.0,0.25,25.0,-4394.848892003926,-4809.567350518022,-7743.418542016236,6015.696767073299,-2501.6049426999743,7743.418542016236
newton,2.0,0.25,30.0,-4363.723125702551,-5214.150521182898,-7653.257843760618,6386.170342531494,-2333.7252476489857,7653.257843760618
newton,2.0,0.25,35.0,-5556.415977725877,-5666.337550852224,-8057.32177413298,7801.627206654102,-1454.5627130240564,8057.32177413298
newton,2.0,0.25,40.0,-4699.585096945136,-7960.350226805926,-8556.558961788167,8716.905543035868,-3077.146985541729,8556.558961788167
newton,2.0,0.25,45.0,-3090.3250320406974,-9711.251559736018,-7475.279916777577,9052.081617924287,-4681.702045471264,7475.279916777577
newton,2.0,0.25,50.0,-2634.362166428497,-9054.633117477928,-6584.579591480429,8629.586744132263,-3802.167479416793,6584.579591480429
newton,2.0,0.25,55.0,-1375.5282343014414,-9059.270364690316,-6206.092345520152,8209.89042173362,-4069.4172466144596,6206.092345520152
newton,2.0,0.25,60.0,-549.9306952969067,-9281.00090742758,-5231.999505199058,8312.547906027165,-4164.24650126583,5231.999505199058
newton,2.0,0.25,65.0,-929.5937282480052,-8455.844109278974,-4588.5479546960805,8056.460647764748,-2731.0961043222146,4588.5479546960805
newton,2.0,0.25,70.0,-1358.3966537149963,-7444.5797621569845,-4340.500459950536,7460.215685547742,-1269.7209256560525,4340.500459950536
newton,2.0,0.25,75.0,-1530.8703278499593,-6551.771527506113,-4559.130210726762,6724.743722793442,-217.016064109127,4559.130210726762
newton,2.0,0.25,80.0,-1148.6081764741016,-6131.494036834157,-4839.636501234638,6237.796581720462,66.43547149300753,4839.636501234638
newton,2.0,0.25,85.0,-532.7241086896972,-5810.483147822841,-4927.491365045335,5834.802470584985,24.279958151076755,4927.491365045335
newton,2.0,0.25,90.0,-369.99094074140885,-5445.836760917853,-4865.070221512258,5445.836760917853,369.9909407414085,4865.070221512258
newton,2.0,0.25,95.0,114.25908081999907,-5934.746209272038,-5119.811759515656,5922.121043251421,403.42292336623433,5119.811759515656
newton,2.0,0.25,100.0,1135.5006703351905,-6473.355130411601,-4975.231437675325,6572.187942573981,5.836458090193446,4975.231437675325
newton,2.0,0.25,105.0,991.8247711805793,-6936.294209508134,-4729.535381404147,6956.648855889209,837.2158822184728,4729.535381404147
newton,2.0,0.25,110.0,1210.4532771301913,-6922.105617220987,-5029.072201159917,6918.650972136341,1230.0455429919775,5029.072201159917
newton,2.0,0.25,115.0,2261.6998941926076,-7192.853978083844,-5052.699399472691,7474.775249217736,990.0352191257402,5052.699399472691
newton,2.0,0.25,120.0,2893.1145200937312,-7721.6425795601845,-4949.039476624802,8133.695892889588,1355.3106193212943,4949.039476624802
newton,2.0,0.25,125.0,3670.506993747372,-8077.33305804578,-5117.274272430106,8721.880207976461,1626.2646031491954,5117.274272430106
newton,2.0,0.25,130.0,4769.011508256096,-8204.449934871258,-5180.898536091523,9350.434789415522,1620.4439973587414,5180.898536091523
newton,2.0,0.25,135.0,5467.276267152571,-8684.21373085151,-5213.097474367303,10006.614541482288,2274.7182952345725,5213.097474367303
newton,2.0,0.25,140.0,5789.946626900004,-9298.870217770878,-5703.481078039787,10412.554999558512,3401.641905090246,5703.481078039787
newton,2.0,0.25,145.0,7226.421478082415,-8418.106606325777,-6585.582080560484,10747.965514744625,2750.8041566452584,6585.582080560484
newton,2.0,0.25,150.0,8826.581715231467,-6708.560168083697,-6638.277784103488,10998.324078011523,1396.492670761153,6638.277784103488
newton,2.0,0.25,155.0,8954.300032481653,-5975.482731225733,-6578.063541313423,10640.699971832837,1631.3758157808256,6578.063541313423
newton,2.0,0.25,160.0,9133.569391625126,-5318.561018869361,-6724.042136745609,10401.802760706183,1873.9478302325529,6724.042136745609
