theory,radius_kpc,height_kpc,thin_mean_inward,mixed_mean_inward,inward_mean_fractional_change,thin_mean_downward,mixed_mean_downward,downward_mean_fractional_change,thin_tangential_rms_over_inward_mean,mixed_tangential_rms_over_inward_mean,vector_difference_over_thin_rms
newton,2.0,0.25,8722.591786238754,8259.036900660683,-0.053144168263084435,10512.289338233073,6610.35419607027,-0.3711784385511071,0.1863299930825348,0.31683554342268605,0.29964627182083714
newton,3.0,0.25,7801.084939118121,7533.545576751309,-0.03429514797682176,7972.191221957997,5133.336764494152,-0.3560946267375926,0.19012795557627069,0.2992385436465315,0.2659470719429329
newton,4.0,0.25,6937.141229346253,6647.026097790411,-0.04182056007863366,5125.036875087969,3385.6148244312058,-0.33939698250988815,0.07985052585602863,0.1156021038029604,0.21041945602519393
newton,5.0,0.25,5586.322275442013,5410.3968934211525,-0.03149216485311712,3475.2674236994053,2291.419223472337,-0.34064952589083575,0.08128359170274727,0.09588328955015601,0.18783213609490218
newton,6.0,0.25,4626.069412021769,4463.415837782741,-0.035160210483729415,2434.69827490504,1619.2997752818624,-0.3349074125642859,0.08243284826891725,0.08870601060075456,0.16580523171385753
newton,7.0,0.25,3857.9765142953547,3769.064510397668,-0.023046279200568454,1663.2087403708006,1100.0667505758515,-0.33858768062354005,0.07687890212938982,0.07461553810730961,0.14157577804345678
newton,8.0,0.25,3132.4880872532813,3058.0125278366354,-0.023775209144354492,1159.8139785416079,770.4749165531393,-0.3356909549219588,0.07511514638431784,0.07234874056180647,0.1236964086999126
newton,9.0,0.25,2569.1766315539867,2507.655046659677,-0.023946031634694553,877.6899459167166,594.5648768388194,-0.32257982490865034,0.0702552307510883,0.06660730293609161,0.11216242714893726
newton,10.0,0.25,2195.215043924657,2167.270037732991,-0.012729962956934404,673.7777006886831,462.0544525494582,-0.31423308892950585,0.058515681759022165,0.0530410145560766,0.09872326012671756
newton,11.0,0.25,1873.9193656580246,1848.98202677215,-0.013307583742867113,517.3137046039984,363.3431896104915,-0.29763471105288186,0.048813346200714126,0.04842633470823477,0.08484711893398068
newton,12.0,0.25,1608.424542547926,1588.2746512646852,-0.012527719361531964,399.52405370630936,285.605863149123,-0.2851347484597955,0.03913056072485115,0.04018779881360378,0.07389840182622534
newton,13.0,0.25,1393.8629873214793,1370.4088603273246,-0.01682670908654038,320.58499260830627,237.08471349176475,-0.2604622207582965,0.03047118720643409,0.029993639962267102,0.06511709647284247
