theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,0.0,-7647.533032727835,1594.0899086105055,-13868.286060627725,7647.533032727835,1594.0899086105055,13868.286060627725
newton,2.0,0.25,5.0,-7339.555689784818,-621.2767479964934,-14251.252402016524,7365.774300936225,20.771825179208122,14251.252402016524
newton,2.0,0.25,10.0,-6639.96167061488,-3129.477371951095,-13463.701224253866,7082.513775614629,-1928.9163348931675,13463.701224253866
newton,2.0,0.25,15.0,-5907.045265727519,-4304.791712687505,-11859.177672416261,6819.929659667808,-2629.25367702705,11859.177672416261
newton,2.0,0.25,20.0,-5554.022388748201,-4229.19309385749,-11033.636565748508,6665.543082499475,-2074.5540087429763,11033.636565748508
newton,2.0,0.25,25.0,-5289.737709141107,-4314.780119376957,-11112.241075690308,6617.635351020413,-1674.9790658408183,11112.241075690308
newton,2.0,0.25,30.0,-5382.809142922166,-5022.090091026057,-11207.230332081746,7172.694507006765,-1657.8530274615873,11207.230332081746
newton,2.0,0.25,35.0,-5868.088354337769,-6081.7189692817765,-11938.954872300532,8295.187264813407,-1616.0553200041759,11938.954872300532
newton,2.0,0.25,40.0,-5284.919865653772,-7662.613449116328,-12175.076002585034,8973.91647832258,-2472.8214446358147,12175.076002585034
newton,2.0,0.25,45.0,-4627.714060175068,-8563.734039723617,-11238.550424127901,9327.762405108759,-2783.1864184245155,11238.550424127901
newton,2.0,0.25,50.0,-4196.734398984544,-8575.093821822506,-10645.009671558893,9266.51184424356,-2297.0789949787263,10645.009671558893
newton,2.0,0.25,55.0,-3227.714533129753,-8882.54952383564,-10304.420994158514,9127.49960041922,-2450.8321433988017,10304.420994158514
newton,2.0,0.25,60.0,-2491.319740230209,-9043.240645216218,-9281.272727476726,9077.336001408326,-2364.0741386191003,9281.272727476726
newton,2.0,0.25,65.0,-2271.189490788326,-8758.340703750273,-8800.607473343007,8897.598536009633,-1643.0380026144908,8800.607473343007
newton,2.0,0.25,70.0,-2189.3273579437923,-8279.046123674476,-8533.09411789881,8528.552606313828,-774.3057790744765,8533.09411789881
newton,2.0,0.25,75.0,-2021.9844510187284,-7740.792413062812,-8958.046323762494,8000.3593925446585,-50.377499091840946,8958.046323762494
newton,2.0,0.25,80.0,-1349.1808072695812,-7746.754447533693,-9300.59678089138,7863.346629138546,-16.5260734330609,9300.59678089138
newton,2.0,0.25,85.0,-741.8076257621365,-7680.862397557895,-9363.0447452154,7716.287191818604,69.55355658654958,9363.0447452154
newton,2.0,0.25,90.0,-190.870293269807,-7522.599127579859,-9378.584690708434,7522.599127579859,190.87029326980655,9378.584690708434
newton,2.0,0.25,95.0,549.5859367667587,-7819.121242269806,-9423.89131251374,7837.266695808298,133.98672315118688,9423.89131251374
newton,2.0,0.25,100.0,1381.0037130340527,-8012.6332314904375,-9200.61008957202,8130.712106534672,31.355995427219796,9200.61008957202
newton,2.0,0.25,105.0,1707.35084279674,-8024.91449351986,-8931.896736506122,8193.367077839926,427.8264326484118,8931.896736506122
newton,2.0,0.25,110.0,2147.764001891144,-7915.273064458607,-9209.210552293831,8172.502241933738,688.9448442012183,9209.210552293831
newton,2.0,0.25,115.0,3049.605535930178,-7919.2553956980155,-9253.553915136328,8466.101823242745,582.9407050069526,9253.553915136328
newton,2.0,0.25,120.0,3715.952245992471,-7947.7859697532185,-9153.608875980888,8740.960676644063,755.7839405972859,9153.608875980888
newton,2.0,0.25,125.0,4418.802067683045,-7889.939466922933,-9362.650420461085,8997.580786568593,905.8126154121396,9362.650420461085
newton,2.0,0.25,130.0,5400.265100554123,-7715.296450973986,-9410.8927400553,9381.483468943017,822.4538920957739,9410.8927400553
newton,2.0,0.25,135.0,6131.598963603647,-7708.066492982289,-9311.520402641223,9786.121293705131,1114.73088034404,9311.520402641223
newton,2.0,0.25,140.0,6576.497026708649,-7626.826936003447,-9682.607396606625,9940.318858185212,1615.1975890468948,9682.607396606625
newton,2.0,0.25,145.0,7429.458406672607,-6827.681814124419,-10313.901092173783,10002.05344527023,1331.5472388771977,10313.901092173783
newton,2.0,0.25,150.0,8254.715485705381,-5801.559367754084,-10246.438139600856,10049.572995510704,896.940051185934,10246.438139600856
newton,2.0,0.25,155.0,8479.517298892371,-5227.802168240616,-10159.578972470204,9894.417223364246,1154.3989529054675,10159.578972470204
newton,2.0,0.25,160.0,8707.107881758911,-4730.2106502734205,-10344.686513646302,9799.83234944279,1466.9377571536024,10344.686513646302
newton,2.0,0.25,165.0,8805.693889919216,-3810.675385228358,-10619.956114400058,9491.922511069302,1401.7484861421199,10619.956114400058
newton,2.0,0.25,170.0,8717.775480091052,-3184.5000916178096,-10204.679916680278,9138.315519502998,1622.2945542660461,10204.679916680278
newton,2.0,0.25,175.0,8675.433824831614,-3568.4720536437208,-10369.051451854,8953.434012252626,2798.779061467081,10369.051451854
newton,2.0,0.25,180.0,8676.556437401567,-3690.318727142876,-11576.968700008933,8676.556437401567,3690.318727142875,11576.968700008933
newton,2.0,0.25,185.0,8005.992356896611,-2582.5191142085855,-13265.599435153379,7750.4457673445695,3270.460059592581,13265.599435153379
newton,2.0,0.25,190.0,6964.9287068409285,-355.1193853856272,-14357.548495046072,6797.449955547824,1559.1715014957138,14357.548495046072
newton,2.0,0.25,195.0,6166.4098591083275,2181.1676227798525,-14332.361538743786,6520.822259732686,-510.86182686340476,14332.361538743786
