theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,2.0,0.25,0.0,-7628.507763759058,1599.8813446282875,-13631.886933872913,7628.507763759058,1599.8813446282875,13631.886933872913
newton,2.0,0.25,5.0,-7346.504968835861,-553.3927180025315,-14072.711326272525,7366.780652827605,89.00320552154835,14072.711326272525
newton,2.0,0.25,10.0,-6669.9345154319635,-3161.6257405726074,-13283.566168163534,7117.613771196415,-1955.3715676763472,13283.566168163534
newton,2.0,0.25,15.0,-5964.483372740494,-4312.433211923255,-11696.64320797331,6877.3883761801435,-2621.768722480834,11696.64320797331
newton,2.0,0.25,20.0,-5567.17113247407,-4258.173455832336,-10882.898606595576,6687.810727507547,-2097.2895058247695,10882.898606595576
newton,2.0,0.25,25.0,-5211.835720789549,-4277.097364010268,-10925.282650875293,6531.106751781086,-1673.7496941182703,10925.282650875293
newton,2.0,0.25,30.0,-5455.807916006022,-5037.103086331515,-11113.752110322275,7243.41979659521,-1634.3552762410823,11113.752110322275
newton,2.0,0.25,35.0,-5884.90427914078,-6093.393857654627,-11759.508273133872,8315.658504860101,-1615.9736104591839,11759.508273133872
newton,2.0,0.25,40.0,-5303.666285394797,-7712.714861723583,-11960.490928138555,9020.481636245306,-2499.1513870204994,11960.490928138555
newton,2.0,0.25,45.0,-4627.775468586751,-8630.714498630019,-11062.836431862212,9375.168164112785,-2830.505332819896,11062.836431862212
newton,2.0,0.25,50.0,-4198.74960912479,-8556.62056011689,-10510.50756433035,9253.655856876756,-2283.660870714206,10510.50756433035
newton,2.0,0.25,55.0,-3231.0829862650457,-8886.36940241744,-10164.219878112966,9132.560727113794,-2450.2638604711774,10164.219878112966
newton,2.0,0.25,60.0,-2510.8803574674444,-9054.371225469937,-9210.824107651988,9096.755675285527,-2352.69943730481,9210.824107651988
newton,2.0,0.25,65.0,-2285.028876883554,-8750.506713641213,-8677.363879347702,8896.347307065345,-1627.1844719461947,8677.363879347702
newton,2.0,0.25,70.0,-2216.6976709227974,-8297.041185496675,-8426.651425207634,8554.82363148668,-754.7407715630875,8426.651425207634
newton,2.0,0.25,75.0,-2040.6661219276307,-7673.378461608805,-8833.533115800066,7940.077688008599,-14.884376140785207,8833.533115800066
newton,2.0,0.25,80.0,-1340.8032632761078,-7693.822328711882,-9143.545284651353,7809.763922891671,-15.58477773557729,9143.545284651353
newton,2.0,0.25,85.0,-753.1240993265147,-7674.359601347383,-9189.976270308349,7710.795436369709,81.3937235861423,9189.976270308349
newton,2.0,0.25,90.0,-209.0843162421952,-7560.349210413231,-9222.32567428908,7560.349210413231,209.08431624219475,9222.32567428908
newton,2.0,0.25,95.0,523.1765627497231,-7820.084064124389,-9280.905255704207,7835.924125227085,160.3795169807495,9280.905255704207
newton,2.0,0.25,100.0,1402.799320495736,-7993.214684618881,-9070.287331327358,8115.373338540197,6.5195169401577004,9070.287331327358
newton,2.0,0.25,105.0,1690.7139411316107,-7985.871682936425,-8832.828854091633,8151.348671764042,433.7914226828684,8832.828854091633
newton,2.0,0.25,110.0,2110.9385880759214,-7914.3534078032535,-9100.573203233283,8159.043014049937,723.2348727196957,9100.573203233283
newton,2.0,0.25,115.0,3061.4481531393344,-7867.556865114564,-9117.300985097674,8424.251948696005,550.3589056816731,9117.300985097674
